ADDRESS,POINTS
1 5625 SILVERDALE DR NW,-8068.387 6026.636|-8062.920 6030.061|-8043.396 6115.203|-8043.389 6115.214|-8041.781 6123.120|-8040.565 6131.104|-8039.733 6139.132|-8039.299 6147.194|-8039.299 6147.205|-8043.794 6151.786|-8134.936 6151.908|-8190.916 6151.897|-8190.951 6151.897|-8194.677 6151.730|-8198.382 6151.230|-8202.031 6150.418|-8205.589 6149.284|-8209.035 6147.839|-8212.342 6146.104|-8215.480 6144.080|-8218.437 6141.801|-8221.178 6139.265|-8223.687 6136.497|-8225.938 6133.517|-8227.930 6130.359|-8229.629 6127.034|-8231.034 6123.576|-8232.132 6120.018|-8232.908 6116.359|-8232.915 6116.337|-8241.436 6065.588|-8240.954 6067.578|-8240.213 6069.468|-8239.227 6071.259|-8238.004 6072.893|-8236.578 6074.350|-8234.963 6075.606|-8233.201 6076.629|-8231.314 6077.408|-8229.342 6077.930|-8227.315 6078.186|-8225.274 6078.164|-8223.254 6077.875|-8221.289 6077.308|-8219.423 6076.485|-8217.682 6075.428|-8216.095 6074.139|-8216.082 6074.127|-8196.795 6056.158
2 5625 SILVERDALE DR NW,-8068.387 6026.636|-8062.920 6030.061|-8043.396 6115.203|-8043.389 6115.214|-8041.781 6123.120|-8040.565 6131.104|-8039.733 6139.132|-8039.299 6147.194|-8039.299 6147.205|-8043.794 6151.786|-8134.936 6151.908|-8190.916 6151.897|-8190.951 6151.897|-8194.677 6151.730|-8198.382 6151.230|-8202.031 6150.418|-8205.589 6149.284|-8209.035 6147.839|-8212.342 6146.104|-8215.480 6144.080|-8218.437 6141.801|-8221.178 6139.265|-8223.687 6136.497|-8225.938 6133.517|-8227.930 6130.359|-8229.629 6127.034|-8231.034 6123.576|-8232.132 6120.018|-8232.908 6116.359|-8232.915 6116.337|-8241.436 6065.588|-8240.954 6067.578|-8240.213 6069.468|-8239.227 6071.259|-8238.004 6072.893|-8236.578 6074.350|-8234.963 6075.606|-8233.201 6076.629|-8231.314 6077.408|-8229.342 6077.930|-8227.315 6078.186|-8225.274 6078.164|-8223.254 6077.875|-8221.289 6077.308|-8219.423 6076.485|-8217.682 6075.428|-8216.095 6074.139|-8216.082 6074.127|-8196.795 6056.158
3 5625 SILVERDALE DR NW,-8068.387 6026.636|-8062.920 6030.061|-8043.396 6115.203|-8043.389 6115.214|-8041.781 6123.120|-8040.565 6131.104|-8039.733 6139.132|-8039.299 6147.194|-8039.299 6147.205|-8043.794 6151.786|-8134.936 6151.908|-8190.916 6151.897|-8190.951 6151.897|-8194.677 6151.730|-8198.382 6151.230|-8202.031 6150.418|-8205.589 6149.284|-8209.035 6147.839|-8212.342 6146.104|-8215.480 6144.080|-8218.437 6141.801|-8221.178 6139.265|-8223.687 6136.497|-8225.938 6133.517|-8227.930 6130.359|-8229.629 6127.034|-8231.034 6123.576|-8232.132 6120.018|-8232.908 6116.359|-8232.915 6116.337|-8241.436 6065.588|-8240.954 6067.578|-8240.213 6069.468|-8239.227 6071.259|-8238.004 6072.893|-8236.578 6074.350|-8234.963 6075.606|-8233.201 6076.629|-8231.314 6077.408|-8229.342 6077.930|-8227.315 6078.186|-8225.274 6078.164|-8223.254 6077.875|-8221.289 6077.308|-8219.423 6076.485|-8217.682 6075.428|-8216.095 6074.139|-8216.082 6074.127|-8196.795 6056.158
4 5625 SILVERDALE DR NW,-8068.387 6026.636|-8062.920 6030.061|-8043.396 6115.203|-8043.389 6115.214|-8041.781 6123.120|-8040.565 6131.104|-8039.733 6139.132|-8039.299 6147.194|-8039.299 6147.205|-8043.794 6151.786|-8134.936 6151.908|-8190.916 6151.897|-8190.951 6151.897|-8194.677 6151.730|-8198.382 6151.230|-8202.031 6150.418|-8205.589 6149.284|-8209.035 6147.839|-8212.342 6146.104|-8215.480 6144.080|-8218.437 6141.801|-8221.178 6139.265|-8223.687 6136.497|-8225.938 6133.517|-8227.930 6130.359|-8229.629 6127.034|-8231.034 6123.576|-8232.132 6120.018|-8232.908 6116.359|-8232.915 6116.337|-8241.436 6065.588|-8240.954 6067.578|-8240.213 6069.468|-8239.227 6071.259|-8238.004 6072.893|-8236.578 6074.350|-8234.963 6075.606|-8233.201 6076.629|-8231.314 6077.408|-8229.342 6077.930|-8227.315 6078.186|-8225.274 6078.164|-8223.254 6077.875|-8221.289 6077.308|-8219.423 6076.485|-8217.682 6075.428|-8216.095 6074.139|-8216.082 6074.127|-8196.795 6056.158
5 5625 SILVERDALE DR NW,-8068.387 6026.636|-8062.920 6030.061|-8043.396 6115.203|-8043.389 6115.214|-8041.781 6123.120|-8040.565 6131.104|-8039.733 6139.132|-8039.299 6147.194|-8039.299 6147.205|-8043.794 6151.786|-8134.936 6151.908|-8190.916 6151.897|-8190.951 6151.897|-8194.677 6151.730|-8198.382 6151.230|-8202.031 6150.418|-8205.589 6149.284|-8209.035 6147.839|-8212.342 6146.104|-8215.480 6144.080|-8218.437 6141.801|-8221.178 6139.265|-8223.687 6136.497|-8225.938 6133.517|-8227.930 6130.359|-8229.629 6127.034|-8231.034 6123.576|-8232.132 6120.018|-8232.908 6116.359|-8232.915 6116.337|-8241.436 6065.588|-8240.954 6067.578|-8240.213 6069.468|-8239.227 6071.259|-8238.004 6072.893|-8236.578 6074.350|-8234.963 6075.606|-8233.201 6076.629|-8231.314 6077.408|-8229.342 6077.930|-8227.315 6078.186|-8225.274 6078.164|-8223.254 6077.875|-8221.289 6077.308|-8219.423 6076.485|-8217.682 6075.428|-8216.095 6074.139|-8216.082 6074.127|-8196.795 6056.158
6 5625 SILVERDALE DR NW,-8068.387 6026.636|-8062.920 6030.061|-8043.396 6115.203|-8043.389 6115.214|-8041.781 6123.120|-8040.565 6131.104|-8039.733 6139.132|-8039.299 6147.194|-8039.299 6147.205|-8043.794 6151.786|-8134.936 6151.908|-8190.916 6151.897|-8190.951 6151.897|-8194.677 6151.730|-8198.382 6151.230|-8202.031 6150.418|-8205.589 6149.284|-8209.035 6147.839|-8212.342 6146.104|-8215.480 6144.080|-8218.437 6141.801|-8221.178 6139.265|-8223.687 6136.497|-8225.938 6133.517|-8227.930 6130.359|-8229.629 6127.034|-8231.034 6123.576|-8232.132 6120.018|-8232.908 6116.359|-8232.915 6116.337|-8241.436 6065.588|-8240.954 6067.578|-8240.213 6069.468|-8239.227 6071.259|-8238.004 6072.893|-8236.578 6074.350|-8234.963 6075.606|-8233.201 6076.629|-8231.314 6077.408|-8229.342 6077.930|-8227.315 6078.186|-8225.274 6078.164|-8223.254 6077.875|-8221.289 6077.308|-8219.423 6076.485|-8217.682 6075.428|-8216.095 6074.139|-8216.082 6074.127|-8196.795 6056.158
7 5625 SILVERDALE DR NW,-8068.387 6026.636|-8062.920 6030.061|-8043.396 6115.203|-8043.389 6115.214|-8041.781 6123.120|-8040.565 6131.104|-8039.733 6139.132|-8039.299 6147.194|-8039.299 6147.205|-8043.794 6151.786|-8134.936 6151.908|-8190.916 6151.897|-8190.951 6151.897|-8194.677 6151.730|-8198.382 6151.230|-8202.031 6150.418|-8205.589 6149.284|-8209.035 6147.839|-8212.342 6146.104|-8215.480 6144.080|-8218.437 6141.801|-8221.178 6139.265|-8223.687 6136.497|-8225.938 6133.517|-8227.930 6130.359|-8229.629 6127.034|-8231.034 6123.576|-8232.132 6120.018|-8232.908 6116.359|-8232.915 6116.337|-8241.436 6065.588|-8240.954 6067.578|-8240.213 6069.468|-8239.227 6071.259|-8238.004 6072.893|-8236.578 6074.350|-8234.963 6075.606|-8233.201 6076.629|-8231.314 6077.408|-8229.342 6077.930|-8227.315 6078.186|-8225.274 6078.164|-8223.254 6077.875|-8221.289 6077.308|-8219.423 6076.485|-8217.682 6075.428|-8216.095 6074.139|-8216.082 6074.127|-8196.795 6056.158
8 5625 SILVERDALE DR NW,-8068.387 6026.636|-8062.920 6030.061|-8043.396 6115.203|-8043.389 6115.214|-8041.781 6123.120|-8040.565 6131.104|-8039.733 6139.132|-8039.299 6147.194|-8039.299 6147.205|-8043.794 6151.786|-8134.936 6151.908|-8190.916 6151.897|-8190.951 6151.897|-8194.677 6151.730|-8198.382 6151.230|-8202.031 6150.418|-8205.589 6149.284|-8209.035 6147.839|-8212.342 6146.104|-8215.480 6144.080|-8218.437 6141.801|-8221.178 6139.265|-8223.687 6136.497|-8225.938 6133.517|-8227.930 6130.359|-8229.629 6127.034|-8231.034 6123.576|-8232.132 6120.018|-8232.908 6116.359|-8232.915 6116.337|-8241.436 6065.588|-8240.954 6067.578|-8240.213 6069.468|-8239.227 6071.259|-8238.004 6072.893|-8236.578 6074.350|-8234.963 6075.606|-8233.201 6076.629|-8231.314 6077.408|-8229.342 6077.930|-8227.315 6078.186|-8225.274 6078.164|-8223.254 6077.875|-8221.289 6077.308|-8219.423 6076.485|-8217.682 6075.428|-8216.095 6074.139|-8216.082 6074.127|-8196.795 6056.158
9 5625 SILVERDALE DR NW,-8068.387 6026.636|-8062.920 6030.061|-8043.396 6115.203|-8043.389 6115.214|-8041.781 6123.120|-8040.565 6131.104|-8039.733 6139.132|-8039.299 6147.194|-8039.299 6147.205|-8043.794 6151.786|-8134.936 6151.908|-8190.916 6151.897|-8190.951 6151.897|-8194.677 6151.730|-8198.382 6151.230|-8202.031 6150.418|-8205.589 6149.284|-8209.035 6147.839|-8212.342 6146.104|-8215.480 6144.080|-8218.437 6141.801|-8221.178 6139.265|-8223.687 6136.497|-8225.938 6133.517|-8227.930 6130.359|-8229.629 6127.034|-8231.034 6123.576|-8232.132 6120.018|-8232.908 6116.359|-8232.915 6116.337|-8241.436 6065.588|-8240.954 6067.578|-8240.213 6069.468|-8239.227 6071.259|-8238.004 6072.893|-8236.578 6074.350|-8234.963 6075.606|-8233.201 6076.629|-8231.314 6077.408|-8229.342 6077.930|-8227.315 6078.186|-8225.274 6078.164|-8223.254 6077.875|-8221.289 6077.308|-8219.423 6076.485|-8217.682 6075.428|-8216.095 6074.139|-8216.082 6074.127|-8196.795 6056.158
10 5625 SILVERDALE DR NW,-8068.387 6026.636|-8062.920 6030.061|-8043.396 6115.203|-8043.389 6115.214|-8041.781 6123.120|-8040.565 6131.104|-8039.733 6139.132|-8039.299 6147.194|-8039.299 6147.205|-8043.794 6151.786|-8134.936 6151.908|-8190.916 6151.897|-8190.951 6151.897|-8194.677 6151.730|-8198.382 6151.230|-8202.031 6150.418|-8205.589 6149.284|-8209.035 6147.839|-8212.342 6146.104|-8215.480 6144.080|-8218.437 6141.801|-8221.178 6139.265|-8223.687 6136.497|-8225.938 6133.517|-8227.930 6130.359|-8229.629 6127.034|-8231.034 6123.576|-8232.132 6120.018|-8232.908 6116.359|-8232.915 6116.337|-8241.436 6065.588|-8240.954 6067.578|-8240.213 6069.468|-8239.227 6071.259|-8238.004 6072.893|-8236.578 6074.350|-8234.963 6075.606|-8233.201 6076.629|-8231.314 6077.408|-8229.342 6077.930|-8227.315 6078.186|-8225.274 6078.164|-8223.254 6077.875|-8221.289 6077.308|-8219.423 6076.485|-8217.682 6075.428|-8216.095 6074.139|-8216.082 6074.127|-8196.795 6056.158
