ADDRESS,POINTS
101 1501 6 ST SW,-389.893 -1057.026|-389.830 -1055.725|-389.452 -1047.152|-389.012 -1037.255|-388.579 -1027.359|-388.138 -1017.462|-395.366 -1017.129|-395.737 -1017.118|-403.329 -1016.773|-410.927 -1016.428|-418.519 -1016.084|-426.118 -1015.739|-427.865 -1055.313|-420.274 -1055.658|-412.675 -1056.003|-405.083 -1056.347|-397.485 -1056.681
102 1501 6 ST SW,-389.893 -1057.026|-389.830 -1055.725|-389.452 -1047.152|-389.012 -1037.255|-388.579 -1027.359|-388.138 -1017.462|-395.366 -1017.129|-395.737 -1017.118|-403.329 -1016.773|-410.927 -1016.428|-418.519 -1016.084|-426.118 -1015.739|-427.865 -1055.313|-420.274 -1055.658|-412.675 -1056.003|-405.083 -1056.347|-397.485 -1056.681
103 1501 6 ST SW,-389.893 -1057.026|-389.830 -1055.725|-389.452 -1047.152|-389.012 -1037.255|-388.579 -1027.359|-388.138 -1017.462|-395.366 -1017.129|-395.737 -1017.118|-403.329 -1016.773|-410.927 -1016.428|-418.519 -1016.084|-426.118 -1015.739|-427.865 -1055.313|-420.274 -1055.658|-412.675 -1056.003|-405.083 -1056.347|-397.485 -1056.681
104 1501 6 ST SW,-389.893 -1057.026|-389.830 -1055.725|-389.452 -1047.152|-389.012 -1037.255|-388.579 -1027.359|-388.138 -1017.462|-395.366 -1017.129|-395.737 -1017.118|-403.329 -1016.773|-410.927 -1016.428|-418.519 -1016.084|-426.118 -1015.739|-427.865 -1055.313|-420.274 -1055.658|-412.675 -1056.003|-405.083 -1056.347|-397.485 -1056.681
105 1501 6 ST SW,-389.893 -1057.026|-389.830 -1055.725|-389.452 -1047.152|-389.012 -1037.255|-388.579 -1027.359|-388.138 -1017.462|-395.366 -1017.129|-395.737 -1017.118|-403.329 -1016.773|-410.927 -1016.428|-418.519 -1016.084|-426.118 -1015.739|-427.865 -1055.313|-420.274 -1055.658|-412.675 -1056.003|-405.083 -1056.347|-397.485 -1056.681
106 1501 6 ST SW,-389.893 -1057.026|-389.830 -1055.725|-389.452 -1047.152|-389.012 -1037.255|-388.579 -1027.359|-388.138 -1017.462|-395.366 -1017.129|-395.737 -1017.118|-403.329 -1016.773|-410.927 -1016.428|-418.519 -1016.084|-426.118 -1015.739|-427.865 -1055.313|-420.274 -1055.658|-412.675 -1056.003|-405.083 -1056.347|-397.485 -1056.681
201 1501 6 ST SW,-389.893 -1057.026|-389.830 -1055.725|-389.452 -1047.152|-389.012 -1037.255|-388.579 -1027.359|-388.138 -1017.462|-395.366 -1017.129|-395.737 -1017.118|-403.329 -1016.773|-410.927 -1016.428|-418.519 -1016.084|-426.118 -1015.739|-427.865 -1055.313|-420.274 -1055.658|-412.675 -1056.003|-405.083 -1056.347|-397.485 -1056.681
305 1501 6 ST SW,-389.893 -1057.026|-389.830 -1055.725|-389.452 -1047.152|-389.012 -1037.255|-388.579 -1027.359|-388.138 -1017.462|-395.366 -1017.129|-395.737 -1017.118|-403.329 -1016.773|-410.927 -1016.428|-418.519 -1016.084|-426.118 -1015.739|-427.865 -1055.313|-420.274 -1055.658|-412.675 -1056.003|-405.083 -1056.347|-397.485 -1056.681
304 1501 6 ST SW,-389.893 -1057.026|-389.830 -1055.725|-389.452 -1047.152|-389.012 -1037.255|-388.579 -1027.359|-388.138 -1017.462|-395.366 -1017.129|-395.737 -1017.118|-403.329 -1016.773|-410.927 -1016.428|-418.519 -1016.084|-426.118 -1015.739|-427.865 -1055.313|-420.274 -1055.658|-412.675 -1056.003|-405.083 -1056.347|-397.485 -1056.681
303 1501 6 ST SW,-389.893 -1057.026|-389.830 -1055.725|-389.452 -1047.152|-389.012 -1037.255|-388.579 -1027.359|-388.138 -1017.462|-395.366 -1017.129|-395.737 -1017.118|-403.329 -1016.773|-410.927 -1016.428|-418.519 -1016.084|-426.118 -1015.739|-427.865 -1055.313|-420.274 -1055.658|-412.675 -1056.003|-405.083 -1056.347|-397.485 -1056.681
