ADDRESS,POINTS
808 5 ST SE,1560.457 -332.368|1457.285 -327.665|1454.111 -330.567|1450.916 -402.388|1453.817 -405.568|1556.990 -410.271
113 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
108 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
215 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
214 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
213 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
212 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
211 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
210 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
209 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
208 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
207 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
121V 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
120V 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
119V 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
118V 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
117V 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
116V 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
115V 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
114V 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
113V 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
112V 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
111V 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
110V 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
109V 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
108V 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
107V 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
615 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
614 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
613 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
612 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
611 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
610 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
609 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
608 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
607 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
605 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
604 535 8 AV SE,1387.023 -361.968|1432.566 -364.037|1434.335 -324.440|1388.806 -322.383
