ADDRESS,POINTS
51 PROVIDENCE BV SE,443.001 -14188.001|442.960 -14099.301|359.214 -14099.268|351.636 -14099.268|282.053 -14099.245|278.523 -14103.827|279.627 -14108.108|300.235 -14187.912
500 MIDPARK WY SE,914.013 -15574.235|914.985 -15579.772|915.753 -15584.821|916.285 -15589.902|916.571 -15595.006|916.620 -15600.121|916.439 -15605.225|916.005 -15610.318|915.341 -15615.388|914.439 -15620.425|913.300 -15625.407|911.937 -15630.322|910.336 -15635.181|908.511 -15639.951|906.463 -15644.632|904.205 -15649.214|901.724 -15653.684|899.046 -15658.031|921.227 -15716.231|938.990 -15762.810|944.303 -15760.742|989.489 -15743.129|990.824 -15742.606|1002.379 -15738.070|1011.998 -15734.433|1021.680 -15730.975|1031.425 -15727.695|1041.226 -15724.604|1048.684 -15722.402|1056.185 -15720.334|1063.728 -15718.410|1071.299 -15716.631|1081.610 -15714.441|1092.067 -15712.539|1102.567 -15710.894|1103.699 -15710.616|1104.783 -15710.160|1105.783 -15709.548|1106.670 -15708.781|1107.327 -15708.025|1107.873 -15707.191|1108.306 -15706.290|1108.621 -15705.334|1108.893 -15703.855|1108.865 -15702.343|1108.495 -15700.008|1108.320 -15698.985|1106.628 -15690.445|1104.510 -15682.005|1101.959 -15673.688|1098.988 -15665.515|1095.611 -15657.498|1091.823 -15649.670|1087.649 -15642.042|1083.092 -15634.636|1078.163 -15627.475|1072.871 -15620.581|1067.244 -15613.954|1061.281 -15607.638|1055.011 -15601.622|1048.440 -15595.940|1041.582 -15590.603|1034.473 -15585.621|1026.902 -15580.896|1019.094 -15576.570|1012.439 -15573.290|1006.762 -15570.777|1000.995 -15568.475|996.521 -15566.852|992.006 -15565.350|987.448 -15563.983|982.855 -15562.749|978.227 -15561.637|973.572 -15560.658|968.895 -15559.813|964.190 -15559.101|959.472 -15558.512|954.732 -15558.067|949.986 -15557.756|945.239 -15557.578|940.479 -15557.522|935.725 -15557.611|930.972 -15557.834|926.232 -15558.190|924.834 -15558.390|923.457 -15558.734|922.129 -15559.224|920.864 -15559.846|919.661 -15560.591|918.543 -15561.459|917.522 -15562.437|916.606 -15563.516|915.809 -15564.694|915.131 -15565.940|914.593 -15567.252|914.188 -15568.608|913.922 -15569.998|913.810 -15571.411|913.838 -15572.834
500 MIDPARK WY SE,914.013 -15574.235|914.985 -15579.772|915.753 -15584.821|916.285 -15589.902|916.571 -15595.006|916.620 -15600.121|916.439 -15605.225|916.005 -15610.318|915.341 -15615.388|914.439 -15620.425|913.300 -15625.407|911.937 -15630.322|910.336 -15635.181|908.511 -15639.951|906.463 -15644.632|904.205 -15649.214|901.724 -15653.684|899.046 -15658.031|921.227 -15716.231|938.990 -15762.810|944.303 -15760.742|989.489 -15743.129|990.824 -15742.606|1002.379 -15738.070|1011.998 -15734.433|1021.680 -15730.975|1031.425 -15727.695|1041.226 -15724.604|1048.684 -15722.402|1056.185 -15720.334|1063.728 -15718.410|1071.299 -15716.631|1081.610 -15714.441|1092.067 -15712.539|1102.567 -15710.894|1103.699 -15710.616|1104.783 -15710.160|1105.783 -15709.548|1106.670 -15708.781|1107.327 -15708.025|1107.873 -15707.191|1108.306 -15706.290|1108.621 -15705.334|1108.893 -15703.855|1108.865 -15702.343|1108.495 -15700.008|1108.320 -15698.985|1106.628 -15690.445|1104.510 -15682.005|1101.959 -15673.688|1098.988 -15665.515|1095.611 -15657.498|1091.823 -15649.670|1087.649 -15642.042|1083.092 -15634.636|1078.163 -15627.475|1072.871 -15620.581|1067.244 -15613.954|1061.281 -15607.638|1055.011 -15601.622|1048.440 -15595.940|1041.582 -15590.603|1034.473 -15585.621|1026.902 -15580.896|1019.094 -15576.570|1012.439 -15573.290|1006.762 -15570.777|1000.995 -15568.475|996.521 -15566.852|992.006 -15565.350|987.448 -15563.983|982.855 -15562.749|978.227 -15561.637|973.572 -15560.658|968.895 -15559.813|964.190 -15559.101|959.472 -15558.512|954.732 -15558.067|949.986 -15557.756|945.239 -15557.578|940.479 -15557.522|935.725 -15557.611|930.972 -15557.834|926.232 -15558.190|924.834 -15558.390|923.457 -15558.734|922.129 -15559.224|920.864 -15559.846|919.661 -15560.591|918.543 -15561.459|917.522 -15562.437|916.606 -15563.516|915.809 -15564.694|915.131 -15565.940|914.593 -15567.252|914.188 -15568.608|913.922 -15569.998|913.810 -15571.411|913.838 -15572.834
