ADDRESS,POINTS
9600 SOUTHLAND CI SW,-181.891 -8982.900|-175.879 -8976.873|-168.050 -8969.045|-142.080 -8943.037|-158.375 -8926.613|-141.109 -8909.322|-232.796 -8909.200|-232.845 -8926.891|-232.705 -8944.571|-232.460 -8959.527|-205.086 -8959.582|-201.828 -8962.851
807 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
808 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
809 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
810 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
901 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
902 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
903 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
904 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
905 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
906 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
907 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
908 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
909 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
910 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1001 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1003 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1004 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1005 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1006 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1007 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1008 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1009 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1010 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1101 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1102 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1103 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1104 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1105 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1106 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1107 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1108 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1109 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1110 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1201 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1202 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1203 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1204 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1205 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1206 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1207 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1208 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1209 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1210 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1401 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1402 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1403 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1404 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1405 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1406 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1407 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1408 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1409 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1410 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1501 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1502 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1503 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1504 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1505 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1506 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1507 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1508 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1509 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1510 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1601 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1602 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1603 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1604 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1605 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1606 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1607 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1608 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1609 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1610 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1701 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1702 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1703 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1704 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1705 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1706 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1707 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1708 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1709 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1710 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1801 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1802 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1803 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1804 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1805 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1806 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1807 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1808 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1809 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1810 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
1901 9800 HORTON RD SW,-181.891 -8982.900|-205.086 -8959.582|-232.460 -8959.527|-231.999 -8976.106|-231.370 -8992.674|-230.566 -9009.242|-229.587 -9025.799|-217.682 -9025.821|-196.613 -9047.048|-185.219 -9047.059|-157.313 -9019.127|-187.595 -8988.615
