ADDRESS,POINTS
208 500 ROYAL OAK DR NW,-11275.072 10184.103|-11362.313 10184.159|-11362.139 10096.437|-11361.999 10094.980|-11361.572 10093.579|-11360.880 10092.278|-11359.951 10091.155|-11358.811 10090.221|-11357.518 10089.532|-11356.120 10089.098|-11354.659 10088.954|-11275.191 10088.876
212 500 ROYAL OAK DR NW,-11275.072 10184.103|-11362.313 10184.159|-11362.139 10096.437|-11361.999 10094.980|-11361.572 10093.579|-11360.880 10092.278|-11359.951 10091.155|-11358.811 10090.221|-11357.518 10089.532|-11356.120 10089.098|-11354.659 10088.954|-11275.191 10088.876
216 500 ROYAL OAK DR NW,-11275.072 10184.103|-11362.313 10184.159|-11362.139 10096.437|-11361.999 10094.980|-11361.572 10093.579|-11360.880 10092.278|-11359.951 10091.155|-11358.811 10090.221|-11357.518 10089.532|-11356.120 10089.098|-11354.659 10088.954|-11275.191 10088.876
220 500 ROYAL OAK DR NW,-11275.072 10184.103|-11362.313 10184.159|-11362.139 10096.437|-11361.999 10094.980|-11361.572 10093.579|-11360.880 10092.278|-11359.951 10091.155|-11358.811 10090.221|-11357.518 10089.532|-11356.120 10089.098|-11354.659 10088.954|-11275.191 10088.876
224 500 ROYAL OAK DR NW,-11275.072 10184.103|-11362.313 10184.159|-11362.139 10096.437|-11361.999 10094.980|-11361.572 10093.579|-11360.880 10092.278|-11359.951 10091.155|-11358.811 10090.221|-11357.518 10089.532|-11356.120 10089.098|-11354.659 10088.954|-11275.191 10088.876
228 500 ROYAL OAK DR NW,-11275.072 10184.103|-11362.313 10184.159|-11362.139 10096.437|-11361.999 10094.980|-11361.572 10093.579|-11360.880 10092.278|-11359.951 10091.155|-11358.811 10090.221|-11357.518 10089.532|-11356.120 10089.098|-11354.659 10088.954|-11275.191 10088.876
232 500 ROYAL OAK DR NW,-11275.072 10184.103|-11362.313 10184.159|-11362.139 10096.437|-11361.999 10094.980|-11361.572 10093.579|-11360.880 10092.278|-11359.951 10091.155|-11358.811 10090.221|-11357.518 10089.532|-11356.120 10089.098|-11354.659 10088.954|-11275.191 10088.876
236 500 ROYAL OAK DR NW,-11275.072 10184.103|-11362.313 10184.159|-11362.139 10096.437|-11361.999 10094.980|-11361.572 10093.579|-11360.880 10092.278|-11359.951 10091.155|-11358.811 10090.221|-11357.518 10089.532|-11356.120 10089.098|-11354.659 10088.954|-11275.191 10088.876
240 500 ROYAL OAK DR NW,-11275.072 10184.103|-11362.313 10184.159|-11362.139 10096.437|-11361.999 10094.980|-11361.572 10093.579|-11360.880 10092.278|-11359.951 10091.155|-11358.811 10090.221|-11357.518 10089.532|-11356.120 10089.098|-11354.659 10088.954|-11275.191 10088.876
248 500 ROYAL OAK DR NW,-11275.072 10184.103|-11362.313 10184.159|-11362.139 10096.437|-11361.999 10094.980|-11361.572 10093.579|-11360.880 10092.278|-11359.951 10091.155|-11358.811 10090.221|-11357.518 10089.532|-11356.120 10089.098|-11354.659 10088.954|-11275.191 10088.876
124 500 ROYAL OAK DR NW,-11275.072 10184.103|-11362.313 10184.159|-11362.139 10096.437|-11361.999 10094.980|-11361.572 10093.579|-11360.880 10092.278|-11359.951 10091.155|-11358.811 10090.221|-11357.518 10089.532|-11356.120 10089.098|-11354.659 10088.954|-11275.191 10088.876
120 500 ROYAL OAK DR NW,-11275.072 10184.103|-11362.313 10184.159|-11362.139 10096.437|-11361.999 10094.980|-11361.572 10093.579|-11360.880 10092.278|-11359.951 10091.155|-11358.811 10090.221|-11357.518 10089.532|-11356.120 10089.098|-11354.659 10088.954|-11275.191 10088.876
116 500 ROYAL OAK DR NW,-11275.072 10184.103|-11362.313 10184.159|-11362.139 10096.437|-11361.999 10094.980|-11361.572 10093.579|-11360.880 10092.278|-11359.951 10091.155|-11358.811 10090.221|-11357.518 10089.532|-11356.120 10089.098|-11354.659 10088.954|-11275.191 10088.876
112 500 ROYAL OAK DR NW,-11275.072 10184.103|-11362.313 10184.159|-11362.139 10096.437|-11361.999 10094.980|-11361.572 10093.579|-11360.880 10092.278|-11359.951 10091.155|-11358.811 10090.221|-11357.518 10089.532|-11356.120 10089.098|-11354.659 10088.954|-11275.191 10088.876
108 500 ROYAL OAK DR NW,-11275.072 10184.103|-11362.313 10184.159|-11362.139 10096.437|-11361.999 10094.980|-11361.572 10093.579|-11360.880 10092.278|-11359.951 10091.155|-11358.811 10090.221|-11357.518 10089.532|-11356.120 10089.098|-11354.659 10088.954|-11275.191 10088.876
104 500 ROYAL OAK DR NW,-11275.072 10184.103|-11362.313 10184.159|-11362.139 10096.437|-11361.999 10094.980|-11361.572 10093.579|-11360.880 10092.278|-11359.951 10091.155|-11358.811 10090.221|-11357.518 10089.532|-11356.120 10089.098|-11354.659 10088.954|-11275.191 10088.876
