ADDRESS,POINTS
33 25 AV SW,727.794 -1957.504|720.202 -1957.471|712.617 -1957.449|712.575 -1994.677|720.160 -1994.710|727.752 -1994.732
37 25 AV SW,712.617 -1957.449|705.026 -1957.415|697.441 -1957.382|697.399 -1994.610|704.984 -1994.643|712.575 -1994.677
29 25 AV SW,742.970 -1957.571|735.378 -1957.538|727.794 -1957.504|727.752 -1994.732|735.336 -1994.766|742.921 -1994.799
