ADDRESS,POINTS
12501 14 ST SW,-1614.261 -12010.560|-1614.268 -11998.117|-1614.268 -11976.379|-1614.268 -11960.433|-1616.498 -11954.451|-1618.889 -11946.956|-1620.979 -11939.373|-1622.775 -11931.712|-1624.264 -11923.983|-1625.159 -11918.290|-1628.801 -11892.782|-1630.584 -11880.273|-1644.306 -11784.022|-1650.073 -11743.547|-1651.366 -11665.011|-1653.883 -11512.507|-1653.687 -11339.498|-1674.470 -11134.944|-1675.372 -11127.605|-1676.595 -11120.311|-1678.133 -11113.083|-1679.985 -11105.922|-1682.145 -11098.850|-1684.606 -11091.878|-1687.374 -11085.018|-1690.429 -11078.290|-1693.778 -11071.697|-1697.413 -11065.258|-1701.320 -11058.987|-1705.494 -11052.894|-1709.926 -11046.978|-1714.616 -11041.274|-1719.545 -11035.770|-1724.711 -11030.488|-1790.071 -10966.528|-1795.258 -10961.658|-1800.648 -10957.010|-1806.226 -10952.596|-1811.987 -10948.426|-1817.915 -10944.490|-1824.003 -10940.820|-1830.239 -10937.407|-1836.614 -10934.249|-1843.122 -10931.380|-1849.735 -10928.778|-1856.460 -10926.454|-1863.269 -10924.419|-1870.161 -10922.673|-1877.124 -10921.217|-1884.135 -10920.060|-1891.189 -10919.204|-1997.626 -10908.496|-2106.628 -10902.569|-2290.219 -10892.595|-2341.557 -10892.528|-2432.336 -10896.476|-2432.217 -10941.332|-2432.154 -10966.784|-2432.098 -10989.635|-2432.042 -11012.174|-2431.993 -11034.724|-2431.937 -11057.564|-2431.881 -11079.803|-2431.825 -11101.730|-2431.769 -11124.570|-2431.713 -11147.120|-2431.664 -11169.659|-2431.609 -11192.510|-2431.553 -11214.438|-2431.504 -11236.065|-2431.448 -11257.692|-2431.392 -11280.532|-2431.343 -11301.859|-2431.287 -11324.398|-2431.231 -11346.949|-2431.175 -11368.276|-2431.126 -11390.203|-2431.070 -11413.054|-2431.021 -11434.370|-2430.951 -11460.568|-2430.861 -11500.153|-2430.763 -11539.761|-2430.700 -11565.736|-2430.686 -11572.330|-2278.881 -11627.282|-2278.832 -11652.268|-2251.639 -11652.301|-2218.294 -11652.334|-2191.094 -11652.368|-2152.164 -11652.423|-2125.188 -11652.457|-2125.188 -11662.509|-2090.627 -11696.089|-2072.081 -11714.103|-2054.654 -11731.038|-2038.527 -11746.717|-2022.183 -11762.595|-2000.394 -11783.767|-1985.141 -11798.589|-1985.141 -11810.209|-1985.134 -11821.162|-1985.134 -11827.867|-1985.134 -11844.924|-1985.134 -11862.604|-1985.127 -11879.661|-1985.127 -11896.730|-1985.127 -11913.798|-1985.113 -12008.981|-1985.106 -12031.820|-1985.106 -12034.111|-1985.099 -12071.139|-1985.099 -12093.344|-1985.092 -12119.042|-1985.092 -12143.115|-1985.092 -12149.820|-1985.092 -12161.752|-1985.064 -12300.979|-1981.282 -12300.979|-1975.158 -12300.990|-1701.705 -12301.201|-1670.199 -12301.235|-1644.215 -12301.246|-1624.187 -12301.268|-1614.170 -12301.257|-1614.177 -12271.334|-1614.198 -12206.774|-1614.240 -12126.380|-1614.261 -12022.591|-1614.261 -12020.401
12501 14 ST SW,-1614.261 -12010.560|-1614.268 -11998.117|-1614.268 -11976.379|-1614.268 -11960.433|-1616.498 -11954.451|-1618.889 -11946.956|-1620.979 -11939.373|-1622.775 -11931.712|-1624.264 -11923.983|-1625.159 -11918.290|-1628.801 -11892.782|-1630.584 -11880.273|-1644.306 -11784.022|-1650.073 -11743.547|-1651.366 -11665.011|-1653.883 -11512.507|-1653.687 -11339.498|-1674.470 -11134.944|-1675.372 -11127.605|-1676.595 -11120.311|-1678.133 -11113.083|-1679.985 -11105.922|-1682.145 -11098.850|-1684.606 -11091.878|-1687.374 -11085.018|-1690.429 -11078.290|-1693.778 -11071.697|-1697.413 -11065.258|-1701.320 -11058.987|-1705.494 -11052.894|-1709.926 -11046.978|-1714.616 -11041.274|-1719.545 -11035.770|-1724.711 -11030.488|-1790.071 -10966.528|-1795.258 -10961.658|-1800.648 -10957.010|-1806.226 -10952.596|-1811.987 -10948.426|-1817.915 -10944.490|-1824.003 -10940.820|-1830.239 -10937.407|-1836.614 -10934.249|-1843.122 -10931.380|-1849.735 -10928.778|-1856.460 -10926.454|-1863.269 -10924.419|-1870.161 -10922.673|-1877.124 -10921.217|-1884.135 -10920.060|-1891.189 -10919.204|-1997.626 -10908.496|-2106.628 -10902.569|-2290.219 -10892.595|-2341.557 -10892.528|-2432.336 -10896.476|-2432.217 -10941.332|-2432.154 -10966.784|-2432.098 -10989.635|-2432.042 -11012.174|-2431.993 -11034.724|-2431.937 -11057.564|-2431.881 -11079.803|-2431.825 -11101.730|-2431.769 -11124.570|-2431.713 -11147.120|-2431.664 -11169.659|-2431.609 -11192.510|-2431.553 -11214.438|-2431.504 -11236.065|-2431.448 -11257.692|-2431.392 -11280.532|-2431.343 -11301.859|-2431.287 -11324.398|-2431.231 -11346.949|-2431.175 -11368.276|-2431.126 -11390.203|-2431.070 -11413.054|-2431.021 -11434.370|-2430.951 -11460.568|-2430.861 -11500.153|-2430.763 -11539.761|-2430.700 -11565.736|-2430.686 -11572.330|-2278.881 -11627.282|-2278.832 -11652.268|-2251.639 -11652.301|-2218.294 -11652.334|-2191.094 -11652.368|-2152.164 -11652.423|-2125.188 -11652.457|-2125.188 -11662.509|-2090.627 -11696.089|-2072.081 -11714.103|-2054.654 -11731.038|-2038.527 -11746.717|-2022.183 -11762.595|-2000.394 -11783.767|-1985.141 -11798.589|-1985.141 -11810.209|-1985.134 -11821.162|-1985.134 -11827.867|-1985.134 -11844.924|-1985.134 -11862.604|-1985.127 -11879.661|-1985.127 -11896.730|-1985.127 -11913.798|-1985.113 -12008.981|-1985.106 -12031.820|-1985.106 -12034.111|-1985.099 -12071.139|-1985.099 -12093.344|-1985.092 -12119.042|-1985.092 -12143.115|-1985.092 -12149.820|-1985.092 -12161.752|-1985.064 -12300.979|-1981.282 -12300.979|-1975.158 -12300.990|-1701.705 -12301.201|-1670.199 -12301.235|-1644.215 -12301.246|-1624.187 -12301.268|-1614.170 -12301.257|-1614.177 -12271.334|-1614.198 -12206.774|-1614.240 -12126.380|-1614.261 -12022.591|-1614.261 -12020.401
