ADDRESS,POINTS
158 3359 27 ST NE,5345.192 3905.571|5235.484 3905.626|5235.477 3863.283|5235.477 3850.496|5345.248 3850.429
150 3359 27 ST NE,5345.192 3905.571|5235.484 3905.626|5235.477 3863.283|5235.477 3850.496|5345.248 3850.429
142 3359 27 ST NE,5345.192 3905.571|5235.484 3905.626|5235.477 3863.283|5235.477 3850.496|5345.248 3850.429
134 3359 27 ST NE,5345.192 3905.571|5235.484 3905.626|5235.477 3863.283|5235.477 3850.496|5345.248 3850.429
184 3359 27 ST NE,5345.192 3905.571|5235.484 3905.626|5235.477 3863.283|5235.477 3850.496|5345.248 3850.429
174 3359 27 ST NE,5345.192 3905.571|5235.484 3905.626|5235.477 3863.283|5235.477 3850.496|5345.248 3850.429
164 3359 27 ST NE,5345.192 3905.571|5235.484 3905.626|5235.477 3863.283|5235.477 3850.496|5345.248 3850.429
110 3359 27 ST NE,5345.192 3905.571|5235.484 3905.626|5235.477 3863.283|5235.477 3850.496|5345.248 3850.429
120 3359 27 ST NE,5345.192 3905.571|5235.484 3905.626|5235.477 3863.283|5235.477 3850.496|5345.248 3850.429
130 3359 27 ST NE,5345.192 3905.571|5235.484 3905.626|5235.477 3863.283|5235.477 3850.496|5345.248 3850.429
