ADDRESS,POINTS
101 8607 ELBOW DR SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
102 8607 ELBOW DR SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
103 8607 ELBOW DR SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
104 8607 ELBOW DR SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
105 8607 ELBOW DR SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
106 8607 ELBOW DR SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
107 8607 ELBOW DR SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
108 8607 ELBOW DR SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
109 8607 ELBOW DR SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
110 8607 ELBOW DR SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
111 8607 ELBOW DR SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
112 8607 ELBOW DR SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
114 60 HAMLET RD SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
115 60 HAMLET RD SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
116 60 HAMLET RD SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
117 60 HAMLET RD SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
118 60 HAMLET RD SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
119 60 HAMLET RD SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
120 60 HAMLET RD SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
121 60 HAMLET RD SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
122 60 HAMLET RD SW,-935.723 -7798.073|-879.492 -7828.129|-862.876 -7831.577|-851.264 -7775.256|-911.536 -7762.736|-915.996 -7760.845
