ADDRESS,POINTS
311 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
310 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
409 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
408 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
407 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
406 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
405 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
404 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
403 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
402 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
401 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
412 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
411 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
410 3810 43 ST SW,-5410.202 -3041.310|-5454.151 -3041.121|-5458.702 -3045.658|-5458.674 -3110.540|-5454.515 -3113.187|-5410.146 -3092.760
