ADDRESS,POINTS
6016 3 ST SW,173.561 -5393.728|173.561 -5386.111|173.568 -5378.494|137.175 -5378.605|137.175 -5386.222|137.168 -5393.839
5980 CENTRE ST SE,665.417 -5445.967|665.494 -5320.172|641.049 -5320.228|539.694 -5320.428|539.575 -5440.118|544.119 -5446.201
