ADDRESS,POINTS
1215 CREEKSIDE BV SW,-264.805 -21015.692|-264.805 -21013.290|-264.805 -21012.089|-264.756 -20990.395|-264.735 -20982.834|-264.756 -20945.384|-264.763 -20942.982|-361.099 -20942.971|-361.134 -21015.625|-266.588 -21015.692
319 CREEKSIDE BV SW,521.260 -20876.643|469.992 -20876.710|470.083 -20878.455|469.901 -20994.699|470.132 -20997.690|470.747 -21000.625|471.746 -21003.461|473.102 -21006.129|474.794 -21008.609|476.793 -21010.833|479.072 -21012.779|481.582 -21014.402|483.078 -21015.236|484.630 -21015.948|486.231 -21016.537|487.873 -21017.015|489.544 -21017.360|491.236 -21017.571|492.941 -21017.660|494.647 -21017.616|501.372 -21016.882|508.055 -21015.814|514.668 -21014.424|521.218 -21012.701|527.670 -21010.666|534.011 -21008.320|540.232 -21005.651|546.321 -21002.693|550.606 -21000.381|557.729 -20996.166|583.971 -20979.320|585.391 -20978.397|586.900 -20977.430|568.704 -20948.764|563.811 -20943.771|559.085 -20938.623|554.528 -20933.330|550.138 -20927.881|544.762 -20920.543|539.701 -20912.981|534.954 -20905.209|530.543 -20897.247|529.439 -20895.112|525.538 -20886.862|521.987 -20878.444
323 CREEKSIDE BV SW,521.260 -20876.643|469.992 -20876.710|470.083 -20878.455|469.901 -20994.699|470.132 -20997.690|470.747 -21000.625|471.746 -21003.461|473.102 -21006.129|474.794 -21008.609|476.793 -21010.833|479.072 -21012.779|481.582 -21014.402|483.078 -21015.236|484.630 -21015.948|486.231 -21016.537|487.873 -21017.015|489.544 -21017.360|491.236 -21017.571|492.941 -21017.660|494.647 -21017.616|501.372 -21016.882|508.055 -21015.814|514.668 -21014.424|521.218 -21012.701|527.670 -21010.666|534.011 -21008.320|540.232 -21005.651|546.321 -21002.693|550.606 -21000.381|557.729 -20996.166|583.971 -20979.320|585.391 -20978.397|586.900 -20977.430|568.704 -20948.764|563.811 -20943.771|559.085 -20938.623|554.528 -20933.330|550.138 -20927.881|544.762 -20920.543|539.701 -20912.981|534.954 -20905.209|530.543 -20897.247|529.439 -20895.112|525.538 -20886.862|521.987 -20878.444
327 CREEKSIDE BV SW,521.260 -20876.643|469.992 -20876.710|470.083 -20878.455|469.901 -20994.699|470.132 -20997.690|470.747 -21000.625|471.746 -21003.461|473.102 -21006.129|474.794 -21008.609|476.793 -21010.833|479.072 -21012.779|481.582 -21014.402|483.078 -21015.236|484.630 -21015.948|486.231 -21016.537|487.873 -21017.015|489.544 -21017.360|491.236 -21017.571|492.941 -21017.660|494.647 -21017.616|501.372 -21016.882|508.055 -21015.814|514.668 -21014.424|521.218 -21012.701|527.670 -21010.666|534.011 -21008.320|540.232 -21005.651|546.321 -21002.693|550.606 -21000.381|557.729 -20996.166|583.971 -20979.320|585.391 -20978.397|586.900 -20977.430|568.704 -20948.764|563.811 -20943.771|559.085 -20938.623|554.528 -20933.330|550.138 -20927.881|544.762 -20920.543|539.701 -20912.981|534.954 -20905.209|530.543 -20897.247|529.439 -20895.112|525.538 -20886.862|521.987 -20878.444
331 CREEKSIDE BV SW,521.260 -20876.643|469.992 -20876.710|470.083 -20878.455|469.901 -20994.699|470.132 -20997.690|470.747 -21000.625|471.746 -21003.461|473.102 -21006.129|474.794 -21008.609|476.793 -21010.833|479.072 -21012.779|481.582 -21014.402|483.078 -21015.236|484.630 -21015.948|486.231 -21016.537|487.873 -21017.015|489.544 -21017.360|491.236 -21017.571|492.941 -21017.660|494.647 -21017.616|501.372 -21016.882|508.055 -21015.814|514.668 -21014.424|521.218 -21012.701|527.670 -21010.666|534.011 -21008.320|540.232 -21005.651|546.321 -21002.693|550.606 -21000.381|557.729 -20996.166|583.971 -20979.320|585.391 -20978.397|586.900 -20977.430|568.704 -20948.764|563.811 -20943.771|559.085 -20938.623|554.528 -20933.330|550.138 -20927.881|544.762 -20920.543|539.701 -20912.981|534.954 -20905.209|530.543 -20897.247|529.439 -20895.112|525.538 -20886.862|521.987 -20878.444
339 CREEKSIDE BV SW,521.260 -20876.643|469.992 -20876.710|470.083 -20878.455|469.901 -20994.699|470.132 -20997.690|470.747 -21000.625|471.746 -21003.461|473.102 -21006.129|474.794 -21008.609|476.793 -21010.833|479.072 -21012.779|481.582 -21014.402|483.078 -21015.236|484.630 -21015.948|486.231 -21016.537|487.873 -21017.015|489.544 -21017.360|491.236 -21017.571|492.941 -21017.660|494.647 -21017.616|501.372 -21016.882|508.055 -21015.814|514.668 -21014.424|521.218 -21012.701|527.670 -21010.666|534.011 -21008.320|540.232 -21005.651|546.321 -21002.693|550.606 -21000.381|557.729 -20996.166|583.971 -20979.320|585.391 -20978.397|586.900 -20977.430|568.704 -20948.764|563.811 -20943.771|559.085 -20938.623|554.528 -20933.330|550.138 -20927.881|544.762 -20920.543|539.701 -20912.981|534.954 -20905.209|530.543 -20897.247|529.439 -20895.112|525.538 -20886.862|521.987 -20878.444
343 CREEKSIDE BV SW,521.260 -20876.643|469.992 -20876.710|470.083 -20878.455|469.901 -20994.699|470.132 -20997.690|470.747 -21000.625|471.746 -21003.461|473.102 -21006.129|474.794 -21008.609|476.793 -21010.833|479.072 -21012.779|481.582 -21014.402|483.078 -21015.236|484.630 -21015.948|486.231 -21016.537|487.873 -21017.015|489.544 -21017.360|491.236 -21017.571|492.941 -21017.660|494.647 -21017.616|501.372 -21016.882|508.055 -21015.814|514.668 -21014.424|521.218 -21012.701|527.670 -21010.666|534.011 -21008.320|540.232 -21005.651|546.321 -21002.693|550.606 -21000.381|557.729 -20996.166|583.971 -20979.320|585.391 -20978.397|586.900 -20977.430|568.704 -20948.764|563.811 -20943.771|559.085 -20938.623|554.528 -20933.330|550.138 -20927.881|544.762 -20920.543|539.701 -20912.981|534.954 -20905.209|530.543 -20897.247|529.439 -20895.112|525.538 -20886.862|521.987 -20878.444
347 CREEKSIDE BV SW,521.260 -20876.643|469.992 -20876.710|470.083 -20878.455|469.901 -20994.699|470.132 -20997.690|470.747 -21000.625|471.746 -21003.461|473.102 -21006.129|474.794 -21008.609|476.793 -21010.833|479.072 -21012.779|481.582 -21014.402|483.078 -21015.236|484.630 -21015.948|486.231 -21016.537|487.873 -21017.015|489.544 -21017.360|491.236 -21017.571|492.941 -21017.660|494.647 -21017.616|501.372 -21016.882|508.055 -21015.814|514.668 -21014.424|521.218 -21012.701|527.670 -21010.666|534.011 -21008.320|540.232 -21005.651|546.321 -21002.693|550.606 -21000.381|557.729 -20996.166|583.971 -20979.320|585.391 -20978.397|586.900 -20977.430|568.704 -20948.764|563.811 -20943.771|559.085 -20938.623|554.528 -20933.330|550.138 -20927.881|544.762 -20920.543|539.701 -20912.981|534.954 -20905.209|530.543 -20897.247|529.439 -20895.112|525.538 -20886.862|521.987 -20878.444
353 CREEKSIDE BV SW,521.260 -20876.643|469.992 -20876.710|470.083 -20878.455|469.901 -20994.699|470.132 -20997.690|470.747 -21000.625|471.746 -21003.461|473.102 -21006.129|474.794 -21008.609|476.793 -21010.833|479.072 -21012.779|481.582 -21014.402|483.078 -21015.236|484.630 -21015.948|486.231 -21016.537|487.873 -21017.015|489.544 -21017.360|491.236 -21017.571|492.941 -21017.660|494.647 -21017.616|501.372 -21016.882|508.055 -21015.814|514.668 -21014.424|521.218 -21012.701|527.670 -21010.666|534.011 -21008.320|540.232 -21005.651|546.321 -21002.693|550.606 -21000.381|557.729 -20996.166|583.971 -20979.320|585.391 -20978.397|586.900 -20977.430|568.704 -20948.764|563.811 -20943.771|559.085 -20938.623|554.528 -20933.330|550.138 -20927.881|544.762 -20920.543|539.701 -20912.981|534.954 -20905.209|530.543 -20897.247|529.439 -20895.112|525.538 -20886.862|521.987 -20878.444
357 CREEKSIDE BV SW,521.260 -20876.643|469.992 -20876.710|470.083 -20878.455|469.901 -20994.699|470.132 -20997.690|470.747 -21000.625|471.746 -21003.461|473.102 -21006.129|474.794 -21008.609|476.793 -21010.833|479.072 -21012.779|481.582 -21014.402|483.078 -21015.236|484.630 -21015.948|486.231 -21016.537|487.873 -21017.015|489.544 -21017.360|491.236 -21017.571|492.941 -21017.660|494.647 -21017.616|501.372 -21016.882|508.055 -21015.814|514.668 -21014.424|521.218 -21012.701|527.670 -21010.666|534.011 -21008.320|540.232 -21005.651|546.321 -21002.693|550.606 -21000.381|557.729 -20996.166|583.971 -20979.320|585.391 -20978.397|586.900 -20977.430|568.704 -20948.764|563.811 -20943.771|559.085 -20938.623|554.528 -20933.330|550.138 -20927.881|544.762 -20920.543|539.701 -20912.981|534.954 -20905.209|530.543 -20897.247|529.439 -20895.112|525.538 -20886.862|521.987 -20878.444
361 CREEKSIDE BV SW,521.260 -20876.643|469.992 -20876.710|470.083 -20878.455|469.901 -20994.699|470.132 -20997.690|470.747 -21000.625|471.746 -21003.461|473.102 -21006.129|474.794 -21008.609|476.793 -21010.833|479.072 -21012.779|481.582 -21014.402|483.078 -21015.236|484.630 -21015.948|486.231 -21016.537|487.873 -21017.015|489.544 -21017.360|491.236 -21017.571|492.941 -21017.660|494.647 -21017.616|501.372 -21016.882|508.055 -21015.814|514.668 -21014.424|521.218 -21012.701|527.670 -21010.666|534.011 -21008.320|540.232 -21005.651|546.321 -21002.693|550.606 -21000.381|557.729 -20996.166|583.971 -20979.320|585.391 -20978.397|586.900 -20977.430|568.704 -20948.764|563.811 -20943.771|559.085 -20938.623|554.528 -20933.330|550.138 -20927.881|544.762 -20920.543|539.701 -20912.981|534.954 -20905.209|530.543 -20897.247|529.439 -20895.112|525.538 -20886.862|521.987 -20878.444
