ADDRESS,POINTS
2487 ERLTON ST SW,605.586 -1939.046|581.322 -1938.846|575.240 -1938.846|578.316 -1945.662|601.112 -1943.427
108 MISSION RD SW,451.621 -2753.015|443.127 -2752.859|434.655 -2752.871|426.329 -2752.882|418.011 -2752.882|409.615 -2752.893|403.317 -2753.048|380.164 -2753.060|397.689 -2778.735|405.484 -2780.658|412.977 -2782.515|420.471 -2784.361|427.972 -2786.218|435.738 -2788.075|438.919 -2781.058|442.093 -2774.042|445.273 -2767.037|448.447 -2760.020
