ADDRESS,POINTS
6503 ELBOW DR SW,-851.250 -5885.154|-850.894 -5885.154|-850.628 -5847.081|-869.153 -5847.092|-869.104 -5885.176
6507 ELBOW DR SW,-850.894 -5885.154|-841.051 -5885.143|-840.821 -5851.562|-845.260 -5847.070|-850.628 -5847.081
