ADDRESS,POINTS
145 720 NOLAN HILL BV NW,-6902.529 14554.030|-6898.558 14549.572|-6839.957 14549.560|-6839.950 14582.363|-6839.950 14611.852|-6839.943 14654.695|-6891.414 14654.695|-6896.412 14654.695|-6899.914 14654.695|-6899.928 14600.232|-6900.096 14588.657|-6900.586 14577.092|-6901.396 14565.550
135 720 NOLAN HILL BV NW,-6902.529 14554.030|-6898.558 14549.572|-6839.957 14549.560|-6839.950 14582.363|-6839.950 14611.852|-6839.943 14654.695|-6891.414 14654.695|-6896.412 14654.695|-6899.914 14654.695|-6899.928 14600.232|-6900.096 14588.657|-6900.586 14577.092|-6901.396 14565.550
125 720 NOLAN HILL BV NW,-6902.529 14554.030|-6898.558 14549.572|-6839.957 14549.560|-6839.950 14582.363|-6839.950 14611.852|-6839.943 14654.695|-6891.414 14654.695|-6896.412 14654.695|-6899.914 14654.695|-6899.928 14600.232|-6900.096 14588.657|-6900.586 14577.092|-6901.396 14565.550
115 720 NOLAN HILL BV NW,-6902.529 14554.030|-6898.558 14549.572|-6839.957 14549.560|-6839.950 14582.363|-6839.950 14611.852|-6839.943 14654.695|-6891.414 14654.695|-6896.412 14654.695|-6899.914 14654.695|-6899.928 14600.232|-6900.096 14588.657|-6900.586 14577.092|-6901.396 14565.550
105 720 NOLAN HILL BV NW,-6902.529 14554.030|-6898.558 14549.572|-6839.957 14549.560|-6839.950 14582.363|-6839.950 14611.852|-6839.943 14654.695|-6891.414 14654.695|-6896.412 14654.695|-6899.914 14654.695|-6899.928 14600.232|-6900.096 14588.657|-6900.586 14577.092|-6901.396 14565.550
110 750 NOLAN HILL BV NW,-6902.529 14554.030|-6898.558 14549.572|-6839.957 14549.560|-6839.950 14582.363|-6839.950 14611.852|-6839.943 14654.695|-6891.414 14654.695|-6896.412 14654.695|-6899.914 14654.695|-6899.928 14600.232|-6900.096 14588.657|-6900.586 14577.092|-6901.396 14565.550
120 750 NOLAN HILL BV NW,-6902.529 14554.030|-6898.558 14549.572|-6839.957 14549.560|-6839.950 14582.363|-6839.950 14611.852|-6839.943 14654.695|-6891.414 14654.695|-6896.412 14654.695|-6899.914 14654.695|-6899.928 14600.232|-6900.096 14588.657|-6900.586 14577.092|-6901.396 14565.550
130 750 NOLAN HILL BV NW,-6902.529 14554.030|-6898.558 14549.572|-6839.957 14549.560|-6839.950 14582.363|-6839.950 14611.852|-6839.943 14654.695|-6891.414 14654.695|-6896.412 14654.695|-6899.914 14654.695|-6899.928 14600.232|-6900.096 14588.657|-6900.586 14577.092|-6901.396 14565.550
140 750 NOLAN HILL BV NW,-6902.529 14554.030|-6898.558 14549.572|-6839.957 14549.560|-6839.950 14582.363|-6839.950 14611.852|-6839.943 14654.695|-6891.414 14654.695|-6896.412 14654.695|-6899.914 14654.695|-6899.928 14600.232|-6900.096 14588.657|-6900.586 14577.092|-6901.396 14565.550
150 750 NOLAN HILL BV NW,-6902.529 14554.030|-6898.558 14549.572|-6839.957 14549.560|-6839.950 14582.363|-6839.950 14611.852|-6839.943 14654.695|-6891.414 14654.695|-6896.412 14654.695|-6899.914 14654.695|-6899.928 14600.232|-6900.096 14588.657|-6900.586 14577.092|-6901.396 14565.550
160 750 NOLAN HILL BV NW,-6902.529 14554.030|-6898.558 14549.572|-6839.957 14549.560|-6839.950 14582.363|-6839.950 14611.852|-6839.943 14654.695|-6891.414 14654.695|-6896.412 14654.695|-6899.914 14654.695|-6899.928 14600.232|-6900.096 14588.657|-6900.586 14577.092|-6901.396 14565.550
170 750 NOLAN HILL BV NW,-6902.529 14554.030|-6898.558 14549.572|-6839.957 14549.560|-6839.950 14582.363|-6839.950 14611.852|-6839.943 14654.695|-6891.414 14654.695|-6896.412 14654.695|-6899.914 14654.695|-6899.928 14600.232|-6900.096 14588.657|-6900.586 14577.092|-6901.396 14565.550
180 750 NOLAN HILL BV NW,-6902.529 14554.030|-6898.558 14549.572|-6839.957 14549.560|-6839.950 14582.363|-6839.950 14611.852|-6839.943 14654.695|-6891.414 14654.695|-6896.412 14654.695|-6899.914 14654.695|-6899.928 14600.232|-6900.096 14588.657|-6900.586 14577.092|-6901.396 14565.550
