ADDRESS,POINTS
211 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
209 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
207 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
205 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
203 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
301 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
302 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
304 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
306 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
308 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
310 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
312 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
314 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
313 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
311 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
309 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
307 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
305 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
303 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
401 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
402 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
404 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
406 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
408 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
410 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
412 6315 RANCHVIEW DR NW,-7638.423 7490.506|-7648.944 7575.059|-7649.468 7579.206|-7651.377 7578.372|-7656.403 7576.271|-7661.485 7574.303|-7666.616 7572.479|-7671.796 7570.778|-7677.018 7569.221|-7682.275 7567.798|-7687.566 7566.508|-7692.893 7565.363|-7696.836 7559.914|-7687.413 7484.390
