ADDRESS,POINTS
917 9 AV SE,2183.092 -567.067|2173.732 -563.487|2164.875 -586.805|2173.347 -592.776
921 9 AV SE,2201.819 -574.228|2192.459 -570.648|2181.750 -598.925|2190.089 -605.252
901 9 AV SE,2097.571 -546.330|2101.527 -535.899|2098.682 -534.821|2094.851 -544.929
