ADDRESS,POINTS
2825 16 AV NW,-3986.032 2229.229|-3965.683 2228.673|-3945.347 2227.673|-3925.040 2226.249|-3904.761 2224.370|-3902.531 2224.137|-3887.963 2222.480|-3873.415 2220.589|-3858.903 2218.488|-3844.426 2216.153|-3840.798 2224.681|-3837.240 2233.043|-3839.868 2243.407|-3840.609 2246.342|-3853.458 2248.433|-3866.327 2250.345|-3879.217 2252.091|-3892.136 2253.670|-3925.494 2253.959|-3993.596 2256.261|-3994.099 2256.205|-3996.560 2255.816|-3998.950 2255.149|-4001.264 2254.237|-4003.459 2253.069|-4005.514 2251.668|-4007.402 2250.056|-4009.108 2248.244|-4010.597 2246.253|-4021.641 2206.012|-4020.691 2208.091|-4019.614 2210.104|-4018.412 2212.061|-4017.105 2213.940|-4015.762 2215.663|-4014.176 2217.431|-4012.484 2219.099|-4010.694 2220.656|-4008.807 2222.102|-4006.829 2223.425|-4004.780 2224.626|-4002.655 2225.693|-4000.467 2226.627|-3996.895 2227.828|-3994.225 2228.473|-3991.513 2228.918|-3988.779 2229.174
2825 16 AV NW,-3986.032 2229.229|-3965.683 2228.673|-3945.347 2227.673|-3925.040 2226.249|-3904.761 2224.370|-3902.531 2224.137|-3887.963 2222.480|-3873.415 2220.589|-3858.903 2218.488|-3844.426 2216.153|-3840.798 2224.681|-3837.240 2233.043|-3839.868 2243.407|-3840.609 2246.342|-3853.458 2248.433|-3866.327 2250.345|-3879.217 2252.091|-3892.136 2253.670|-3925.494 2253.959|-3993.596 2256.261|-3994.099 2256.205|-3996.560 2255.816|-3998.950 2255.149|-4001.264 2254.237|-4003.459 2253.069|-4005.514 2251.668|-4007.402 2250.056|-4009.108 2248.244|-4010.597 2246.253|-4021.641 2206.012|-4020.691 2208.091|-4019.614 2210.104|-4018.412 2212.061|-4017.105 2213.940|-4015.762 2215.663|-4014.176 2217.431|-4012.484 2219.099|-4010.694 2220.656|-4008.807 2222.102|-4006.829 2223.425|-4004.780 2224.626|-4002.655 2225.693|-4000.467 2226.627|-3996.895 2227.828|-3994.225 2228.473|-3991.513 2228.918|-3988.779 2229.174
