ADDRESS,POINTS
101 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
102 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
203 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
204 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
205 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
206 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
27S 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
28S 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
29S 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
30S 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
31S 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
32S 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
33S 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
34S 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
35S 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
36S 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
37S 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
38S 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
39S 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
207 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
208 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
209 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
210 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
211 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
212 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
213 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
214 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
201 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
202 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
305 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
306 103 VALLEY RIDGE MR NW,-12895.276 5529.439|-12886.105 5525.325|-12877.010 5521.044|-12867.999 5516.596|-12859.066 5511.993|-12849.677 5506.878|-12840.394 5501.574|-12831.208 5496.092|-12822.135 5490.432|-12787.686 5468.771|-12818.192 5525.536|-12808.720 5547.875|-12782.219 5551.256|-12764.079 5575.196|-12766.456 5586.415|-12774.369 5623.777|-12817.409 5606.608|-12843.218 5620.341|-12855.773 5627.024|-12866.482 5605.363|-12871.075 5596.078|-12898.981 5539.636|-12899.498 5538.212|-12899.722 5536.722|-12899.645 5535.221|-12899.275 5533.765|-12898.618 5532.397|-12897.709 5531.196|-12896.583 5530.195
