ADDRESS,POINTS
150 LEGACY MAIN ST SE,3416.639 -20712.686|3416.632 -20692.915|3416.632 -20691.970|3311.935 -20691.993|3311.942 -20703.568|3291.097 -20703.568|3265.323 -20703.579|3259.360 -20703.579|3259.360 -20704.002|3259.353 -20707.804|3259.290 -20745.944|3259.220 -20764.469|3259.136 -20789.433|3265.092 -20790.778|3274.606 -20792.435|3284.155 -20793.847|3297.437 -20795.504|3310.768 -20796.694|3324.134 -20797.416|3337.520 -20797.672|3455.219 -20797.895|3456.939 -20797.795|3458.637 -20797.472|3460.280 -20796.938|3461.846 -20796.216|3463.307 -20795.293|3464.642 -20794.203|3465.838 -20792.958|3466.865 -20791.568|3469.109 -20788.121|3469.242 -20712.675|3423.503 -20712.686
1101 81 LEGACY BV SE,3364.853 -20575.883|3364.867 -20613.111|3438.645 -20613.089|3438.659 -20654.664|3438.666 -20684.176|3438.673 -20699.220|3469.270 -20699.220|3469.438 -20608.574|3469.445 -20601.802|3469.368 -20599.957|3469.116 -20598.122|3468.697 -20596.309|3468.109 -20594.552|3467.361 -20592.862|3466.467 -20591.239|3465.425 -20589.715|3464.244 -20588.292|3462.937 -20586.980|3461.510 -20585.801|3459.987 -20584.756|3458.372 -20583.855|3456.687 -20583.110|3454.932 -20582.532|3453.136 -20582.110|3451.304 -20581.865|3440.183 -20580.764|3429.096 -20579.397|3418.037 -20577.784|3407.020 -20575.916|3395.422 -20575.938
1102 81 LEGACY BV SE,3364.853 -20575.883|3364.867 -20613.111|3438.645 -20613.089|3438.659 -20654.664|3438.666 -20684.176|3438.673 -20699.220|3469.270 -20699.220|3469.438 -20608.574|3469.445 -20601.802|3469.368 -20599.957|3469.116 -20598.122|3468.697 -20596.309|3468.109 -20594.552|3467.361 -20592.862|3466.467 -20591.239|3465.425 -20589.715|3464.244 -20588.292|3462.937 -20586.980|3461.510 -20585.801|3459.987 -20584.756|3458.372 -20583.855|3456.687 -20583.110|3454.932 -20582.532|3453.136 -20582.110|3451.304 -20581.865|3440.183 -20580.764|3429.096 -20579.397|3418.037 -20577.784|3407.020 -20575.916|3395.422 -20575.938
1104 81 LEGACY BV SE,3364.853 -20575.883|3364.867 -20613.111|3438.645 -20613.089|3438.659 -20654.664|3438.666 -20684.176|3438.673 -20699.220|3469.270 -20699.220|3469.438 -20608.574|3469.445 -20601.802|3469.368 -20599.957|3469.116 -20598.122|3468.697 -20596.309|3468.109 -20594.552|3467.361 -20592.862|3466.467 -20591.239|3465.425 -20589.715|3464.244 -20588.292|3462.937 -20586.980|3461.510 -20585.801|3459.987 -20584.756|3458.372 -20583.855|3456.687 -20583.110|3454.932 -20582.532|3453.136 -20582.110|3451.304 -20581.865|3440.183 -20580.764|3429.096 -20579.397|3418.037 -20577.784|3407.020 -20575.916|3395.422 -20575.938
1106 81 LEGACY BV SE,3364.853 -20575.883|3364.867 -20613.111|3438.645 -20613.089|3438.659 -20654.664|3438.666 -20684.176|3438.673 -20699.220|3469.270 -20699.220|3469.438 -20608.574|3469.445 -20601.802|3469.368 -20599.957|3469.116 -20598.122|3468.697 -20596.309|3468.109 -20594.552|3467.361 -20592.862|3466.467 -20591.239|3465.425 -20589.715|3464.244 -20588.292|3462.937 -20586.980|3461.510 -20585.801|3459.987 -20584.756|3458.372 -20583.855|3456.687 -20583.110|3454.932 -20582.532|3453.136 -20582.110|3451.304 -20581.865|3440.183 -20580.764|3429.096 -20579.397|3418.037 -20577.784|3407.020 -20575.916|3395.422 -20575.938
1108 81 LEGACY BV SE,3364.853 -20575.883|3364.867 -20613.111|3438.645 -20613.089|3438.659 -20654.664|3438.666 -20684.176|3438.673 -20699.220|3469.270 -20699.220|3469.438 -20608.574|3469.445 -20601.802|3469.368 -20599.957|3469.116 -20598.122|3468.697 -20596.309|3468.109 -20594.552|3467.361 -20592.862|3466.467 -20591.239|3465.425 -20589.715|3464.244 -20588.292|3462.937 -20586.980|3461.510 -20585.801|3459.987 -20584.756|3458.372 -20583.855|3456.687 -20583.110|3454.932 -20582.532|3453.136 -20582.110|3451.304 -20581.865|3440.183 -20580.764|3429.096 -20579.397|3418.037 -20577.784|3407.020 -20575.916|3395.422 -20575.938
1110 81 LEGACY BV SE,3364.853 -20575.883|3364.867 -20613.111|3438.645 -20613.089|3438.659 -20654.664|3438.666 -20684.176|3438.673 -20699.220|3469.270 -20699.220|3469.438 -20608.574|3469.445 -20601.802|3469.368 -20599.957|3469.116 -20598.122|3468.697 -20596.309|3468.109 -20594.552|3467.361 -20592.862|3466.467 -20591.239|3465.425 -20589.715|3464.244 -20588.292|3462.937 -20586.980|3461.510 -20585.801|3459.987 -20584.756|3458.372 -20583.855|3456.687 -20583.110|3454.932 -20582.532|3453.136 -20582.110|3451.304 -20581.865|3440.183 -20580.764|3429.096 -20579.397|3418.037 -20577.784|3407.020 -20575.916|3395.422 -20575.938
1112 81 LEGACY BV SE,3364.853 -20575.883|3364.867 -20613.111|3438.645 -20613.089|3438.659 -20654.664|3438.666 -20684.176|3438.673 -20699.220|3469.270 -20699.220|3469.438 -20608.574|3469.445 -20601.802|3469.368 -20599.957|3469.116 -20598.122|3468.697 -20596.309|3468.109 -20594.552|3467.361 -20592.862|3466.467 -20591.239|3465.425 -20589.715|3464.244 -20588.292|3462.937 -20586.980|3461.510 -20585.801|3459.987 -20584.756|3458.372 -20583.855|3456.687 -20583.110|3454.932 -20582.532|3453.136 -20582.110|3451.304 -20581.865|3440.183 -20580.764|3429.096 -20579.397|3418.037 -20577.784|3407.020 -20575.916|3395.422 -20575.938
1114 81 LEGACY BV SE,3364.853 -20575.883|3364.867 -20613.111|3438.645 -20613.089|3438.659 -20654.664|3438.666 -20684.176|3438.673 -20699.220|3469.270 -20699.220|3469.438 -20608.574|3469.445 -20601.802|3469.368 -20599.957|3469.116 -20598.122|3468.697 -20596.309|3468.109 -20594.552|3467.361 -20592.862|3466.467 -20591.239|3465.425 -20589.715|3464.244 -20588.292|3462.937 -20586.980|3461.510 -20585.801|3459.987 -20584.756|3458.372 -20583.855|3456.687 -20583.110|3454.932 -20582.532|3453.136 -20582.110|3451.304 -20581.865|3440.183 -20580.764|3429.096 -20579.397|3418.037 -20577.784|3407.020 -20575.916|3395.422 -20575.938
1116 81 LEGACY BV SE,3364.853 -20575.883|3364.867 -20613.111|3438.645 -20613.089|3438.659 -20654.664|3438.666 -20684.176|3438.673 -20699.220|3469.270 -20699.220|3469.438 -20608.574|3469.445 -20601.802|3469.368 -20599.957|3469.116 -20598.122|3468.697 -20596.309|3468.109 -20594.552|3467.361 -20592.862|3466.467 -20591.239|3465.425 -20589.715|3464.244 -20588.292|3462.937 -20586.980|3461.510 -20585.801|3459.987 -20584.756|3458.372 -20583.855|3456.687 -20583.110|3454.932 -20582.532|3453.136 -20582.110|3451.304 -20581.865|3440.183 -20580.764|3429.096 -20579.397|3418.037 -20577.784|3407.020 -20575.916|3395.422 -20575.938
1118 81 LEGACY BV SE,3364.853 -20575.883|3364.867 -20613.111|3438.645 -20613.089|3438.659 -20654.664|3438.666 -20684.176|3438.673 -20699.220|3469.270 -20699.220|3469.438 -20608.574|3469.445 -20601.802|3469.368 -20599.957|3469.116 -20598.122|3468.697 -20596.309|3468.109 -20594.552|3467.361 -20592.862|3466.467 -20591.239|3465.425 -20589.715|3464.244 -20588.292|3462.937 -20586.980|3461.510 -20585.801|3459.987 -20584.756|3458.372 -20583.855|3456.687 -20583.110|3454.932 -20582.532|3453.136 -20582.110|3451.304 -20581.865|3440.183 -20580.764|3429.096 -20579.397|3418.037 -20577.784|3407.020 -20575.916|3395.422 -20575.938
