ADDRESS,POINTS
2605 EVERSYDE AV SW,-3546.471 -15570.176|-3546.408 -15605.837|-3545.045 -15605.837|-3545.038 -15607.660|-3541.305 -15607.660|-3541.298 -15613.642|-3544.276 -15613.654|-3544.164 -15681.027|-3523.269 -15682.172|-3502.354 -15682.884|-3501.159 -15682.906|-3501.333 -15579.094|-3502.529 -15578.794|-3523.933 -15573.401|-3529.498 -15572.156|-3535.118 -15571.199|-3540.781 -15570.532
106 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
107 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
118 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
119 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
120 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
121 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
122 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
123 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
124 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
113 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
114 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
115 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
116 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
117 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
208 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
209 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
210 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
211 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
212 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
213 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
214 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
215 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
216 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
217 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
218 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
219 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
201 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
202 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
203 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
204 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
205 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
206 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
207 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
227 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
228 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
229 2635 EVERSYDE AV SW,-3546.408 -15605.837|-3546.471 -15570.176|-3550.693 -15570.098|-3608.162 -15570.199|-3610.643 -15572.700|-3612.132 -15574.202|-3612.629 -15574.702|-3612.545 -15624.484|-3612.531 -15634.870|-3612.468 -15674.155|-3611.272 -15674.321|-3608.987 -15674.622|-3603.877 -15675.278|-3590.923 -15676.835|-3579.256 -15678.091|-3567.568 -15679.214|-3555.873 -15680.193|-3544.164 -15681.027|-3544.276 -15613.654|-3541.298 -15613.642|-3541.305 -15607.649|-3545.038 -15607.660|-3545.045 -15605.837
