ADDRESS,POINTS
815 MACDONALD AV SE,2000.522 -805.047|1997.166 -772.311|1992.636 -772.734|1982.556 -803.323
1046 8 ST SE,2099.989 -862.490|2098.969 -852.494|2097.948 -842.486|2080.262 -844.276|2081.283 -854.284|2082.303 -864.280
1101 8 ST SE,2066.421 -906.345|2065.407 -896.327|2064.401 -886.308|2042.625 -888.465|2043.646 -898.484|2044.667 -908.503
