ADDRESS,POINTS
1121 CENTRE ST NW,609.431 1553.298|609.445 1560.914|609.459 1568.531|609.473 1576.148|609.487 1583.765|609.508 1594.417|571.521 1594.718|571.500 1584.054|571.486 1576.437|571.472 1568.820|571.458 1561.215|571.445 1553.598|571.431 1545.981|571.417 1538.364|571.396 1530.758|571.382 1523.141|571.368 1515.525|583.524 1515.425|583.538 1523.041|583.552 1530.658|583.566 1538.275|583.580 1545.892|583.594 1553.498|595.757 1553.409
22 1015 CENTRE ST NW,605.355 1454.056|605.425 1490.606|600.874 1495.220|571.235 1495.454|571.158 1454.301
18 1015 CENTRE ST NW,605.355 1454.056|605.425 1490.606|600.874 1495.220|571.235 1495.454|571.158 1454.301
14 1015 CENTRE ST NW,605.355 1454.056|605.425 1490.606|600.874 1495.220|571.235 1495.454|571.158 1454.301
10 1015 CENTRE ST NW,605.355 1454.056|605.425 1490.606|600.874 1495.220|571.235 1495.454|571.158 1454.301
6 1015 CENTRE ST NW,605.355 1454.056|605.425 1490.606|600.874 1495.220|571.235 1495.454|571.158 1454.301
2 1015 CENTRE ST NW,605.355 1454.056|605.425 1490.606|600.874 1495.220|571.235 1495.454|571.158 1454.301
21 1015 CENTRE ST NW,605.355 1454.056|605.425 1490.606|600.874 1495.220|571.235 1495.454|571.158 1454.301
15 1015 CENTRE ST NW,605.355 1454.056|605.425 1490.606|600.874 1495.220|571.235 1495.454|571.158 1454.301
9 1015 CENTRE ST NW,605.355 1454.056|605.425 1490.606|600.874 1495.220|571.235 1495.454|571.158 1454.301
5 1015 CENTRE ST NW,605.355 1454.056|605.425 1490.606|600.874 1495.220|571.235 1495.454|571.158 1454.301
