ADDRESS,POINTS
9404 COUNTRY HILLS BV NW,-10589.572 12070.747|-10796.630 12070.647|-10796.735 12277.492|-10796.742 12301.799|-10826.710 12301.788|-10826.605 12055.380|-10826.605 12055.358|-10826.598 12040.647|-10826.591 12040.647|-10805.606 12040.680|-10748.759 12040.692|-10589.558 12040.736|-10589.544 12040.736|-10568.230 12040.758|-10522.268 12040.747|-10522.401 12301.933|-10568.356 12301.877|-10568.342 12277.581|-10568.286 12145.860|-10568.244 12070.725
11877 85 ST NW,-9830.756 11809.328|-9820.403 11809.328|-9777.237 11968.259|-9775.587 11974.786|-9774.154 11981.358|-9772.938 11987.974|-9771.938 11994.635|-9771.162 12001.317|-9770.603 12008.022|-9770.274 12014.739|-9770.162 12021.466|-9770.183 12101.170|-9770.190 12110.122|-9770.197 12144.147|-9775.049 12144.147|-9775.098 12223.785|-9775.356 12612.634|-9781.445 12612.623|-9786.443 12612.634|-10568.398 12613.301|-10568.356 12301.877|-10522.401 12301.933|-10522.268 12040.747|-10568.230 12040.758|-10568.118 11818.291|-10522.310 11818.213|-10522.177 11818.213|-10507.322 11818.202|-10507.182 11818.202|-10493.369 11818.179|-10476.326 11817.912|-10459.298 11817.179|-10442.304 11815.978|-10425.345 11814.310|-10413.279 11812.809|-10401.256 11810.985|-10396.265 11810.140|-10396.258 11815.133|-10396.125 11915.119|-10336.685 11915.041|-10336.496 12058.294|-10205.739 12074.317|-10150.570 12091.474|-10140.329 12058.349|-10141.504 12051.333|-10142.468 12044.294|-10143.244 12037.233|-10143.810 12030.150|-10144.174 12023.056|-10144.342 12015.951|-10144.307 12008.845|-10144.062 12001.740|-10143.496 11996.792|-10142.804 11991.877|-10141.979 11986.962|-10141.035 11982.081|-10139.959 11977.221|-10138.763 11972.396|-10137.442 11967.603|-10136.002 11962.844|-10134.436 11958.118|-10132.751 11953.437|-10130.941 11948.800|-10129.019 11944.208|-10126.977 11939.671|-10124.817 11935.190|-10122.545 11930.764|-10120.162 11926.394|-10117.666 11922.091|-10115.059 11917.854|-10112.346 11913.674|-10109.522 11909.582|-10106.600 11905.545|-10103.573 11901.598|-10100.441 11897.728|-10097.212 11893.936|-10093.891 11890.223|-10090.473 11886.609|-10086.964 11883.073|-10083.364 11879.626|-10079.680 11876.279|-10075.905 11873.021|-10072.053 11869.874|-10068.125 11866.816|-10083.657 11814.688|-10085.139 11809.695|-9837.061 11809.339
11877 85 ST NW,-9830.756 11809.328|-9820.403 11809.328|-9777.237 11968.259|-9775.587 11974.786|-9774.154 11981.358|-9772.938 11987.974|-9771.938 11994.635|-9771.162 12001.317|-9770.603 12008.022|-9770.274 12014.739|-9770.162 12021.466|-9770.183 12101.170|-9770.190 12110.122|-9770.197 12144.147|-9775.049 12144.147|-9775.098 12223.785|-9775.356 12612.634|-9781.445 12612.623|-9786.443 12612.634|-10568.398 12613.301|-10568.356 12301.877|-10522.401 12301.933|-10522.268 12040.747|-10568.230 12040.758|-10568.118 11818.291|-10522.310 11818.213|-10522.177 11818.213|-10507.322 11818.202|-10507.182 11818.202|-10493.369 11818.179|-10476.326 11817.912|-10459.298 11817.179|-10442.304 11815.978|-10425.345 11814.310|-10413.279 11812.809|-10401.256 11810.985|-10396.265 11810.140|-10396.258 11815.133|-10396.125 11915.119|-10336.685 11915.041|-10336.496 12058.294|-10205.739 12074.317|-10150.570 12091.474|-10140.329 12058.349|-10141.504 12051.333|-10142.468 12044.294|-10143.244 12037.233|-10143.810 12030.150|-10144.174 12023.056|-10144.342 12015.951|-10144.307 12008.845|-10144.062 12001.740|-10143.496 11996.792|-10142.804 11991.877|-10141.979 11986.962|-10141.035 11982.081|-10139.959 11977.221|-10138.763 11972.396|-10137.442 11967.603|-10136.002 11962.844|-10134.436 11958.118|-10132.751 11953.437|-10130.941 11948.800|-10129.019 11944.208|-10126.977 11939.671|-10124.817 11935.190|-10122.545 11930.764|-10120.162 11926.394|-10117.666 11922.091|-10115.059 11917.854|-10112.346 11913.674|-10109.522 11909.582|-10106.600 11905.545|-10103.573 11901.598|-10100.441 11897.728|-10097.212 11893.936|-10093.891 11890.223|-10090.473 11886.609|-10086.964 11883.073|-10083.364 11879.626|-10079.680 11876.279|-10075.905 11873.021|-10072.053 11869.874|-10068.125 11866.816|-10083.657 11814.688|-10085.139 11809.695|-9837.061 11809.339
11877 85 ST NW,-9830.756 11809.328|-9820.403 11809.328|-9777.237 11968.259|-9775.587 11974.786|-9774.154 11981.358|-9772.938 11987.974|-9771.938 11994.635|-9771.162 12001.317|-9770.603 12008.022|-9770.274 12014.739|-9770.162 12021.466|-9770.183 12101.170|-9770.190 12110.122|-9770.197 12144.147|-9775.049 12144.147|-9775.098 12223.785|-9775.356 12612.634|-9781.445 12612.623|-9786.443 12612.634|-10568.398 12613.301|-10568.356 12301.877|-10522.401 12301.933|-10522.268 12040.747|-10568.230 12040.758|-10568.118 11818.291|-10522.310 11818.213|-10522.177 11818.213|-10507.322 11818.202|-10507.182 11818.202|-10493.369 11818.179|-10476.326 11817.912|-10459.298 11817.179|-10442.304 11815.978|-10425.345 11814.310|-10413.279 11812.809|-10401.256 11810.985|-10396.265 11810.140|-10396.258 11815.133|-10396.125 11915.119|-10336.685 11915.041|-10336.496 12058.294|-10205.739 12074.317|-10150.570 12091.474|-10140.329 12058.349|-10141.504 12051.333|-10142.468 12044.294|-10143.244 12037.233|-10143.810 12030.150|-10144.174 12023.056|-10144.342 12015.951|-10144.307 12008.845|-10144.062 12001.740|-10143.496 11996.792|-10142.804 11991.877|-10141.979 11986.962|-10141.035 11982.081|-10139.959 11977.221|-10138.763 11972.396|-10137.442 11967.603|-10136.002 11962.844|-10134.436 11958.118|-10132.751 11953.437|-10130.941 11948.800|-10129.019 11944.208|-10126.977 11939.671|-10124.817 11935.190|-10122.545 11930.764|-10120.162 11926.394|-10117.666 11922.091|-10115.059 11917.854|-10112.346 11913.674|-10109.522 11909.582|-10106.600 11905.545|-10103.573 11901.598|-10100.441 11897.728|-10097.212 11893.936|-10093.891 11890.223|-10090.473 11886.609|-10086.964 11883.073|-10083.364 11879.626|-10079.680 11876.279|-10075.905 11873.021|-10072.053 11869.874|-10068.125 11866.816|-10083.657 11814.688|-10085.139 11809.695|-9837.061 11809.339
