ADDRESS,POINTS
171 SKYVIEW BA NE,8008.166 12126.934|8008.173 12129.514|8008.243 12177.461|8008.285 12216.791|8008.040 12216.780|8007.082 12216.780|7933.990 12216.680|7922.015 12216.669|7920.987 12216.580|7919.988 12216.313|7919.044 12215.879|7918.198 12215.290|7916.101 12213.544|7915.185 12212.599|7914.500 12211.487|7914.081 12210.242|7913.934 12208.929|7913.927 12184.922|7913.906 12129.558|7913.906 12126.979|7998.183 12126.945
1106 4641 128 AV NE,7921.728 12979.677|7935.479 12979.666|7935.479 12973.806|8022.503 12973.773|8041.671 12973.773|8041.678 12992.654|8041.685 13025.311|7962.511 13025.334|7960.665 13025.089|7958.939 13024.400|7957.429 13023.310|7956.247 13021.876|7955.723 13020.941|7955.339 13019.952|7955.101 13018.907|7955.017 13017.839|7951.571 13017.839|7932.592 13017.839|7928.034 13017.839|7924.238 13017.839|7923.175 13018.740|7922.036 13019.540|7922.036 13015.348|7922.029 13012.346|7922.029 13010.856|7922.015 12984.025
1108 4641 128 AV NE,7921.728 12979.677|7935.479 12979.666|7935.479 12973.806|8022.503 12973.773|8041.671 12973.773|8041.678 12992.654|8041.685 13025.311|7962.511 13025.334|7960.665 13025.089|7958.939 13024.400|7957.429 13023.310|7956.247 13021.876|7955.723 13020.941|7955.339 13019.952|7955.101 13018.907|7955.017 13017.839|7951.571 13017.839|7932.592 13017.839|7928.034 13017.839|7924.238 13017.839|7923.175 13018.740|7922.036 13019.540|7922.036 13015.348|7922.029 13012.346|7922.029 13010.856|7922.015 12984.025
1112 4641 128 AV NE,7921.728 12979.677|7935.479 12979.666|7935.479 12973.806|8022.503 12973.773|8041.671 12973.773|8041.678 12992.654|8041.685 13025.311|7962.511 13025.334|7960.665 13025.089|7958.939 13024.400|7957.429 13023.310|7956.247 13021.876|7955.723 13020.941|7955.339 13019.952|7955.101 13018.907|7955.017 13017.839|7951.571 13017.839|7932.592 13017.839|7928.034 13017.839|7924.238 13017.839|7923.175 13018.740|7922.036 13019.540|7922.036 13015.348|7922.029 13012.346|7922.029 13010.856|7922.015 12984.025
1114 4641 128 AV NE,7921.728 12979.677|7935.479 12979.666|7935.479 12973.806|8022.503 12973.773|8041.671 12973.773|8041.678 12992.654|8041.685 13025.311|7962.511 13025.334|7960.665 13025.089|7958.939 13024.400|7957.429 13023.310|7956.247 13021.876|7955.723 13020.941|7955.339 13019.952|7955.101 13018.907|7955.017 13017.839|7951.571 13017.839|7932.592 13017.839|7928.034 13017.839|7924.238 13017.839|7923.175 13018.740|7922.036 13019.540|7922.036 13015.348|7922.029 13012.346|7922.029 13010.856|7922.015 12984.025
1116 4641 128 AV NE,7921.728 12979.677|7935.479 12979.666|7935.479 12973.806|8022.503 12973.773|8041.671 12973.773|8041.678 12992.654|8041.685 13025.311|7962.511 13025.334|7960.665 13025.089|7958.939 13024.400|7957.429 13023.310|7956.247 13021.876|7955.723 13020.941|7955.339 13019.952|7955.101 13018.907|7955.017 13017.839|7951.571 13017.839|7932.592 13017.839|7928.034 13017.839|7924.238 13017.839|7923.175 13018.740|7922.036 13019.540|7922.036 13015.348|7922.029 13012.346|7922.029 13010.856|7922.015 12984.025
1117 4641 128 AV NE,7921.728 12979.677|7935.479 12979.666|7935.479 12973.806|8022.503 12973.773|8041.671 12973.773|8041.678 12992.654|8041.685 13025.311|7962.511 13025.334|7960.665 13025.089|7958.939 13024.400|7957.429 13023.310|7956.247 13021.876|7955.723 13020.941|7955.339 13019.952|7955.101 13018.907|7955.017 13017.839|7951.571 13017.839|7932.592 13017.839|7928.034 13017.839|7924.238 13017.839|7923.175 13018.740|7922.036 13019.540|7922.036 13015.348|7922.029 13012.346|7922.029 13010.856|7922.015 12984.025
1115 4641 128 AV NE,7921.728 12979.677|7935.479 12979.666|7935.479 12973.806|8022.503 12973.773|8041.671 12973.773|8041.678 12992.654|8041.685 13025.311|7962.511 13025.334|7960.665 13025.089|7958.939 13024.400|7957.429 13023.310|7956.247 13021.876|7955.723 13020.941|7955.339 13019.952|7955.101 13018.907|7955.017 13017.839|7951.571 13017.839|7932.592 13017.839|7928.034 13017.839|7924.238 13017.839|7923.175 13018.740|7922.036 13019.540|7922.036 13015.348|7922.029 13012.346|7922.029 13010.856|7922.015 12984.025
1113 4641 128 AV NE,7921.728 12979.677|7935.479 12979.666|7935.479 12973.806|8022.503 12973.773|8041.671 12973.773|8041.678 12992.654|8041.685 13025.311|7962.511 13025.334|7960.665 13025.089|7958.939 13024.400|7957.429 13023.310|7956.247 13021.876|7955.723 13020.941|7955.339 13019.952|7955.101 13018.907|7955.017 13017.839|7951.571 13017.839|7932.592 13017.839|7928.034 13017.839|7924.238 13017.839|7923.175 13018.740|7922.036 13019.540|7922.036 13015.348|7922.029 13012.346|7922.029 13010.856|7922.015 12984.025
1111 4641 128 AV NE,7921.728 12979.677|7935.479 12979.666|7935.479 12973.806|8022.503 12973.773|8041.671 12973.773|8041.678 12992.654|8041.685 13025.311|7962.511 13025.334|7960.665 13025.089|7958.939 13024.400|7957.429 13023.310|7956.247 13021.876|7955.723 13020.941|7955.339 13019.952|7955.101 13018.907|7955.017 13017.839|7951.571 13017.839|7932.592 13017.839|7928.034 13017.839|7924.238 13017.839|7923.175 13018.740|7922.036 13019.540|7922.036 13015.348|7922.029 13012.346|7922.029 13010.856|7922.015 12984.025
1107 4641 128 AV NE,7921.728 12979.677|7935.479 12979.666|7935.479 12973.806|8022.503 12973.773|8041.671 12973.773|8041.678 12992.654|8041.685 13025.311|7962.511 13025.334|7960.665 13025.089|7958.939 13024.400|7957.429 13023.310|7956.247 13021.876|7955.723 13020.941|7955.339 13019.952|7955.101 13018.907|7955.017 13017.839|7951.571 13017.839|7932.592 13017.839|7928.034 13017.839|7924.238 13017.839|7923.175 13018.740|7922.036 13019.540|7922.036 13015.348|7922.029 13012.346|7922.029 13010.856|7922.015 12984.025
1105 4641 128 AV NE,7921.728 12979.677|7935.479 12979.666|7935.479 12973.806|8022.503 12973.773|8041.671 12973.773|8041.678 12992.654|8041.685 13025.311|7962.511 13025.334|7960.665 13025.089|7958.939 13024.400|7957.429 13023.310|7956.247 13021.876|7955.723 13020.941|7955.339 13019.952|7955.101 13018.907|7955.017 13017.839|7951.571 13017.839|7932.592 13017.839|7928.034 13017.839|7924.238 13017.839|7923.175 13018.740|7922.036 13019.540|7922.036 13015.348|7922.029 13012.346|7922.029 13010.856|7922.015 12984.025
1103 4641 128 AV NE,7921.728 12979.677|7935.479 12979.666|7935.479 12973.806|8022.503 12973.773|8041.671 12973.773|8041.678 12992.654|8041.685 13025.311|7962.511 13025.334|7960.665 13025.089|7958.939 13024.400|7957.429 13023.310|7956.247 13021.876|7955.723 13020.941|7955.339 13019.952|7955.101 13018.907|7955.017 13017.839|7951.571 13017.839|7932.592 13017.839|7928.034 13017.839|7924.238 13017.839|7923.175 13018.740|7922.036 13019.540|7922.036 13015.348|7922.029 13012.346|7922.029 13010.856|7922.015 12984.025
1202 4641 128 AV NE,7921.728 12979.677|7935.479 12979.666|7935.479 12973.806|8022.503 12973.773|8041.671 12973.773|8041.678 12992.654|8041.685 13025.311|7962.511 13025.334|7960.665 13025.089|7958.939 13024.400|7957.429 13023.310|7956.247 13021.876|7955.723 13020.941|7955.339 13019.952|7955.101 13018.907|7955.017 13017.839|7951.571 13017.839|7932.592 13017.839|7928.034 13017.839|7924.238 13017.839|7923.175 13018.740|7922.036 13019.540|7922.036 13015.348|7922.029 13012.346|7922.029 13010.856|7922.015 12984.025
1204 4641 128 AV NE,7921.728 12979.677|7935.479 12979.666|7935.479 12973.806|8022.503 12973.773|8041.671 12973.773|8041.678 12992.654|8041.685 13025.311|7962.511 13025.334|7960.665 13025.089|7958.939 13024.400|7957.429 13023.310|7956.247 13021.876|7955.723 13020.941|7955.339 13019.952|7955.101 13018.907|7955.017 13017.839|7951.571 13017.839|7932.592 13017.839|7928.034 13017.839|7924.238 13017.839|7923.175 13018.740|7922.036 13019.540|7922.036 13015.348|7922.029 13012.346|7922.029 13010.856|7922.015 12984.025
1206 4641 128 AV NE,7921.728 12979.677|7935.479 12979.666|7935.479 12973.806|8022.503 12973.773|8041.671 12973.773|8041.678 12992.654|8041.685 13025.311|7962.511 13025.334|7960.665 13025.089|7958.939 13024.400|7957.429 13023.310|7956.247 13021.876|7955.723 13020.941|7955.339 13019.952|7955.101 13018.907|7955.017 13017.839|7951.571 13017.839|7932.592 13017.839|7928.034 13017.839|7924.238 13017.839|7923.175 13018.740|7922.036 13019.540|7922.036 13015.348|7922.029 13012.346|7922.029 13010.856|7922.015 12984.025
1208 4641 128 AV NE,7921.728 12979.677|7935.479 12979.666|7935.479 12973.806|8022.503 12973.773|8041.671 12973.773|8041.678 12992.654|8041.685 13025.311|7962.511 13025.334|7960.665 13025.089|7958.939 13024.400|7957.429 13023.310|7956.247 13021.876|7955.723 13020.941|7955.339 13019.952|7955.101 13018.907|7955.017 13017.839|7951.571 13017.839|7932.592 13017.839|7928.034 13017.839|7924.238 13017.839|7923.175 13018.740|7922.036 13019.540|7922.036 13015.348|7922.029 13012.346|7922.029 13010.856|7922.015 12984.025
1210 4641 128 AV NE,7921.728 12979.677|7935.479 12979.666|7935.479 12973.806|8022.503 12973.773|8041.671 12973.773|8041.678 12992.654|8041.685 13025.311|7962.511 13025.334|7960.665 13025.089|7958.939 13024.400|7957.429 13023.310|7956.247 13021.876|7955.723 13020.941|7955.339 13019.952|7955.101 13018.907|7955.017 13017.839|7951.571 13017.839|7932.592 13017.839|7928.034 13017.839|7924.238 13017.839|7923.175 13018.740|7922.036 13019.540|7922.036 13015.348|7922.029 13012.346|7922.029 13010.856|7922.015 12984.025
1212 4641 128 AV NE,7921.728 12979.677|7935.479 12979.666|7935.479 12973.806|8022.503 12973.773|8041.671 12973.773|8041.678 12992.654|8041.685 13025.311|7962.511 13025.334|7960.665 13025.089|7958.939 13024.400|7957.429 13023.310|7956.247 13021.876|7955.723 13020.941|7955.339 13019.952|7955.101 13018.907|7955.017 13017.839|7951.571 13017.839|7932.592 13017.839|7928.034 13017.839|7924.238 13017.839|7923.175 13018.740|7922.036 13019.540|7922.036 13015.348|7922.029 13012.346|7922.029 13010.856|7922.015 12984.025
1214 4641 128 AV NE,7921.728 12979.677|7935.479 12979.666|7935.479 12973.806|8022.503 12973.773|8041.671 12973.773|8041.678 12992.654|8041.685 13025.311|7962.511 13025.334|7960.665 13025.089|7958.939 13024.400|7957.429 13023.310|7956.247 13021.876|7955.723 13020.941|7955.339 13019.952|7955.101 13018.907|7955.017 13017.839|7951.571 13017.839|7932.592 13017.839|7928.034 13017.839|7924.238 13017.839|7923.175 13018.740|7922.036 13019.540|7922.036 13015.348|7922.029 13012.346|7922.029 13010.856|7922.015 12984.025
1216 4641 128 AV NE,7921.728 12979.677|7935.479 12979.666|7935.479 12973.806|8022.503 12973.773|8041.671 12973.773|8041.678 12992.654|8041.685 13025.311|7962.511 13025.334|7960.665 13025.089|7958.939 13024.400|7957.429 13023.310|7956.247 13021.876|7955.723 13020.941|7955.339 13019.952|7955.101 13018.907|7955.017 13017.839|7951.571 13017.839|7932.592 13017.839|7928.034 13017.839|7924.238 13017.839|7923.175 13018.740|7922.036 13019.540|7922.036 13015.348|7922.029 13012.346|7922.029 13010.856|7922.015 12984.025
