ADDRESS,POINTS
101 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
102 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
103 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
104 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
105 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
106 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
201 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
202 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
203 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
204 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
205 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
206 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
207 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
208 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
301 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
302 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
303 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
304 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
305 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
306 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
307 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
308 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
401 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
402 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
403 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
404 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
405 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
406 108 25 AV SW,527.069 -1950.621|525.832 -1947.052|523.623 -1937.489|521.973 -1931.118|520.113 -1924.802|518.617 -1921.488|512.242 -1913.416|505.965 -1913.126|501.763 -1912.926|486.594 -1912.226|479.016 -1911.881|477.276 -1951.455|484.860 -1951.800|500.044 -1952.501|506.853 -1952.812|522.910 -1953.557|529.208 -1953.846
