ADDRESS,POINTS
100 9449 19 ST SW,-2454.321 -8691.302|-2527.630 -8688.823|-2527.651 -8727.341|-2529.056 -8728.241|-2530.328 -8729.320|-2531.440 -8730.565|-2532.383 -8731.933|-2533.131 -8733.423|-2533.676 -8735.002|-2534.012 -8736.637|-2534.124 -8738.304|-2534.138 -8783.761|-2458.899 -8783.805|-2454.356 -8779.191
101 9449 19 ST SW,-2454.321 -8691.302|-2527.630 -8688.823|-2527.651 -8727.341|-2529.056 -8728.241|-2530.328 -8729.320|-2531.440 -8730.565|-2532.383 -8731.933|-2533.131 -8733.423|-2533.676 -8735.002|-2534.012 -8736.637|-2534.124 -8738.304|-2534.138 -8783.761|-2458.899 -8783.805|-2454.356 -8779.191
102 9449 19 ST SW,-2454.321 -8691.302|-2527.630 -8688.823|-2527.651 -8727.341|-2529.056 -8728.241|-2530.328 -8729.320|-2531.440 -8730.565|-2532.383 -8731.933|-2533.131 -8733.423|-2533.676 -8735.002|-2534.012 -8736.637|-2534.124 -8738.304|-2534.138 -8783.761|-2458.899 -8783.805|-2454.356 -8779.191
103 9449 19 ST SW,-2454.321 -8691.302|-2527.630 -8688.823|-2527.651 -8727.341|-2529.056 -8728.241|-2530.328 -8729.320|-2531.440 -8730.565|-2532.383 -8731.933|-2533.131 -8733.423|-2533.676 -8735.002|-2534.012 -8736.637|-2534.124 -8738.304|-2534.138 -8783.761|-2458.899 -8783.805|-2454.356 -8779.191
104 9449 19 ST SW,-2454.321 -8691.302|-2527.630 -8688.823|-2527.651 -8727.341|-2529.056 -8728.241|-2530.328 -8729.320|-2531.440 -8730.565|-2532.383 -8731.933|-2533.131 -8733.423|-2533.676 -8735.002|-2534.012 -8736.637|-2534.124 -8738.304|-2534.138 -8783.761|-2458.899 -8783.805|-2454.356 -8779.191
105 9449 19 ST SW,-2454.321 -8691.302|-2527.630 -8688.823|-2527.651 -8727.341|-2529.056 -8728.241|-2530.328 -8729.320|-2531.440 -8730.565|-2532.383 -8731.933|-2533.131 -8733.423|-2533.676 -8735.002|-2534.012 -8736.637|-2534.124 -8738.304|-2534.138 -8783.761|-2458.899 -8783.805|-2454.356 -8779.191
106 9449 19 ST SW,-2454.321 -8691.302|-2527.630 -8688.823|-2527.651 -8727.341|-2529.056 -8728.241|-2530.328 -8729.320|-2531.440 -8730.565|-2532.383 -8731.933|-2533.131 -8733.423|-2533.676 -8735.002|-2534.012 -8736.637|-2534.124 -8738.304|-2534.138 -8783.761|-2458.899 -8783.805|-2454.356 -8779.191
107 9449 19 ST SW,-2454.321 -8691.302|-2527.630 -8688.823|-2527.651 -8727.341|-2529.056 -8728.241|-2530.328 -8729.320|-2531.440 -8730.565|-2532.383 -8731.933|-2533.131 -8733.423|-2533.676 -8735.002|-2534.012 -8736.637|-2534.124 -8738.304|-2534.138 -8783.761|-2458.899 -8783.805|-2454.356 -8779.191
108 9449 19 ST SW,-2454.321 -8691.302|-2527.630 -8688.823|-2527.651 -8727.341|-2529.056 -8728.241|-2530.328 -8729.320|-2531.440 -8730.565|-2532.383 -8731.933|-2533.131 -8733.423|-2533.676 -8735.002|-2534.012 -8736.637|-2534.124 -8738.304|-2534.138 -8783.761|-2458.899 -8783.805|-2454.356 -8779.191
109 9449 19 ST SW,-2454.321 -8691.302|-2527.630 -8688.823|-2527.651 -8727.341|-2529.056 -8728.241|-2530.328 -8729.320|-2531.440 -8730.565|-2532.383 -8731.933|-2533.131 -8733.423|-2533.676 -8735.002|-2534.012 -8736.637|-2534.124 -8738.304|-2534.138 -8783.761|-2458.899 -8783.805|-2454.356 -8779.191
