ADDRESS,POINTS
101 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
102 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
103 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
104 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
201 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
202 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
203 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
204 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
205 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
206 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
207 2502 16A ST SW,-1958.276 -1752.605|-1958.276 -1751.327|-1958.283 -1743.777|-1958.283 -1741.041|-1958.283 -1737.994|-1958.290 -1730.389|-1958.290 -1728.565|-1958.290 -1722.783|-1958.290 -1720.948|-1988.377 -1720.937|-1988.377 -1722.772|-1988.377 -1730.378|-1988.377 -1737.983|-1988.377 -1741.030|-1988.384 -1752.594|-1988.384 -1758.988|-1988.384 -1766.594|-1958.269 -1766.594|-1958.276 -1758.988
