ADDRESS,POINTS
101 1811 18A ST SW,-2398.194 -1175.026|-2429.504 -1174.992|-2429.455 -1194.018|-2398.173 -1194.073
102 1811 18A ST SW,-2398.194 -1175.026|-2429.504 -1174.992|-2429.455 -1194.018|-2398.173 -1194.073
104 1811 18A ST SW,-2398.194 -1175.026|-2429.504 -1174.992|-2429.455 -1194.018|-2398.173 -1194.073
103 1811 18A ST SW,-2398.194 -1175.026|-2429.504 -1174.992|-2429.455 -1194.018|-2398.173 -1194.073
201 1811 18A ST SW,-2398.194 -1175.026|-2429.504 -1174.992|-2429.455 -1194.018|-2398.173 -1194.073
202 1811 18A ST SW,-2398.194 -1175.026|-2429.504 -1174.992|-2429.455 -1194.018|-2398.173 -1194.073
204 1811 18A ST SW,-2398.194 -1175.026|-2429.504 -1174.992|-2429.455 -1194.018|-2398.173 -1194.073
203 1811 18A ST SW,-2398.194 -1175.026|-2429.504 -1174.992|-2429.455 -1194.018|-2398.173 -1194.073
301 1811 18A ST SW,-2398.194 -1175.026|-2429.504 -1174.992|-2429.455 -1194.018|-2398.173 -1194.073
302 1811 18A ST SW,-2398.194 -1175.026|-2429.504 -1174.992|-2429.455 -1194.018|-2398.173 -1194.073
304 1811 18A ST SW,-2398.194 -1175.026|-2429.504 -1174.992|-2429.455 -1194.018|-2398.173 -1194.073
303 1811 18A ST SW,-2398.194 -1175.026|-2429.504 -1174.992|-2429.455 -1194.018|-2398.173 -1194.073
401 1811 18A ST SW,-2398.194 -1175.026|-2429.504 -1174.992|-2429.455 -1194.018|-2398.173 -1194.073
402 1811 18A ST SW,-2398.194 -1175.026|-2429.504 -1174.992|-2429.455 -1194.018|-2398.173 -1194.073
404 1811 18A ST SW,-2398.194 -1175.026|-2429.504 -1174.992|-2429.455 -1194.018|-2398.173 -1194.073
403 1811 18A ST SW,-2398.194 -1175.026|-2429.504 -1174.992|-2429.455 -1194.018|-2398.173 -1194.073
