ADDRESS,POINTS
405 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
402 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
401 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
21V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
22V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
23V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
24V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
25V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
26V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
27V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
28V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
29V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
30V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
32V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
33V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
34V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
35V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
39V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
40V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
41V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
42V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
43V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
44V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
45V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
46V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
47V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
48V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
49V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
50V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
204 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
37V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
38V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
104 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
36V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
203 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
31V 4440 14 ST NW,-1578.043 4898.697|-1607.851 4898.686|-1608.997 4897.752|-1610.025 4896.684|-1610.920 4895.517|-1611.668 4894.238|-1612.262 4892.893|-1612.695 4891.480|-1612.954 4890.024|-1613.038 4888.556|-1613.024 4857.188|-1578.050 4857.243|-1578.043 4866.395
