ADDRESS,POINTS
1916 62 AV SE,3920.519 -5543.218|3912.934 -5543.207|3905.350 -5543.207|3905.392 -5582.804|3912.976 -5582.815|3920.561 -5582.815
1920 62 AV SE,3920.561 -5582.815|3928.139 -5582.826|3937.240 -5582.837|3937.205 -5543.241|3928.104 -5543.229|3920.519 -5543.218
