ADDRESS,POINTS
916 16 AV NW,-752.265 2137.894|-752.272 2144.599|-752.307 2147.646|-752.356 2152.216|-752.167 2152.216|-752.167 2153.016|-759.766 2153.016|-767.358 2153.005|-767.302 2116.455|-759.710 2116.466|-752.118 2116.478|-752.118 2118.668|-752.195 2118.668|-752.251 2121.170|-752.328 2121.170
203 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
204 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
205 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
206 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
201 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
202 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
303 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
304 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
305 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
306 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
301 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
302 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
403 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
404 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
405 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
406 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
401 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
402 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
503 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
504 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
505 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
506 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
501 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
502 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
603 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
604 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
605 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
606 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
703 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
704 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
705 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
706 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
701 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
702 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
802 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
804 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
803 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
801 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
601 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
602 1022 16 AV NW,-862.715 2152.905|-900.701 2152.872|-900.603 2116.333|-862.610 2116.366
