ADDRESS,POINTS
1220 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1341 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1343 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1345 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1347 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1349 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1353 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1355 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1357 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
1359 5200 44 AV NE,7826.469 4987.486|7738.179 4987.686|7737.872 4840.620|7742.346 4836.261|7814.061 4838.596|7826.581 4838.996|7826.728 4911.295|7821.646 4911.306|7821.737 4955.051|7826.406 4959.710
