ADDRESS,POINTS
101 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
105 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
107 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
109 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
111 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
113 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
115 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
117 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
119 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
121 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
123 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
125 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
127 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
129 23 MILLRISE DR SW,-164.345 -14735.002|-83.507 -14717.789|-83.277 -14717.734|-94.629 -14664.116|-96.118 -14656.777|-98.579 -14645.112|-114.461 -14648.504|-119.872 -14622.840|-170.084 -14633.526|-171.867 -14634.048|-173.545 -14634.838|-175.083 -14635.883|-176.439 -14637.151|-177.585 -14638.619|-178.487 -14640.242|-179.130 -14641.988|-179.501 -14643.823|-179.577 -14645.679|-178.885 -14666.028|-173.405 -14692.048
