ADDRESS,POINTS
4680 STONEY TR NW,-6512.866 11793.461|-6697.988 11793.661|-6707.767 11793.672|-6761.881 11793.728|-6774.016 11793.739|-6848.234 11793.817|-6864.648 11787.256|-7093.907 11695.587|-7316.316 11679.041|-8119.774 11619.174|-8119.711 11577.175|-8115.230 11551.211|-8113.112 11342.487|-8112.895 11320.971|-7924.215 11335.037|-7922.719 11335.149|-7910.772 11336.038|-7910.269 11336.071|-7827.942 11342.209|-7705.742 11351.316|-7632.384 11356.776|-7608.917 11358.500|-7543.339 11363.414|-7541.549 11363.548|-7533.734 11364.115|-7529.980 11364.415|-7513.776 11365.583|-7502.004 11366.461|-7489.624 11367.384|-7473.057 11368.618|-7454.406 11370.008|-7428.849 11371.910|-7417.315 11372.777|-7406.969 11373.544|-7396.630 11374.311|-7385.683 11375.134|-7375.344 11375.902|-7364.998 11376.669|-7354.058 11377.492|-7343.712 11378.259|-7333.373 11379.037|-7321.846 11379.893|-7315.939 11380.338|-7310.283 11380.761|-7301.741 11381.395|-7298.742 11381.128|-7287.173 11380.105|-7275.625 11379.082|-7264.097 11378.070|-7252.221 11377.013|-7240.721 11376.002|-7229.236 11374.990|-7217.744 11373.978|-7206.195 11372.955|-7194.654 11371.932|-7183.721 11370.976|-7172.781 11370.008|-7161.848 11369.041|-7150.915 11368.073|-7139.981 11367.117|-7129.041 11366.150|-7118.108 11365.182|-7107.175 11364.215|-7095.634 11363.203|-7079.248 11361.758|-7056.508 11359.745|-7035.096 11357.855|-7011.825 11355.809|-6983.989 11353.351|-6978.292 11352.840|-6974.482 11352.517|-6971.839 11352.284|-6945.178 11349.937|-6931.253 11348.714|-6917.845 11347.536|-6905.283 11346.424|-6892.966 11345.345|-6884.745 11344.611|-6881.152 11342.087|-6870.967 11334.915|-6860.998 11327.899|-6851.184 11320.993|-6841.439 11314.133|-6832.729 11307.995|-6824.236 11302.024|-6815.735 11296.041|-6805.571 11288.880|-6795.064 11281.486|-6789.192 11277.349|-6784.390 11273.758|-6779.322 11269.421|-6774.547 11264.762|-6770.073 11259.770|-6765.942 11254.477|-6762.160 11248.906|-6758.763 11243.079|-6755.764 11237.041|-6753.170 11230.803|-6751.010 11224.398|-6749.291 11217.871|-6748.011 11211.255|-6747.180 11204.561|-6746.802 11197.856|-6746.879 11191.140|-6747.068 11188.038|-6754.058 11095.991|-6757.679 11048.477|-6762.111 10989.966|-6761.936 10989.966|-6747.173 10989.955|-6682.678 11233.883|-6671.906 11274.614|-6599.317 11389.200|-6556.892 11400.609|-6519.772 11410.594|-6512.167 11412.640|-6512.754 11735.751|-6512.775 11745.636
4680 STONEY TR NW,-6512.866 11793.461|-6697.988 11793.661|-6707.767 11793.672|-6761.881 11793.728|-6774.016 11793.739|-6848.234 11793.817|-6864.648 11787.256|-7093.907 11695.587|-7316.316 11679.041|-8119.774 11619.174|-8119.711 11577.175|-8115.230 11551.211|-8113.112 11342.487|-8112.895 11320.971|-7924.215 11335.037|-7922.719 11335.149|-7910.772 11336.038|-7910.269 11336.071|-7827.942 11342.209|-7705.742 11351.316|-7632.384 11356.776|-7608.917 11358.500|-7543.339 11363.414|-7541.549 11363.548|-7533.734 11364.115|-7529.980 11364.415|-7513.776 11365.583|-7502.004 11366.461|-7489.624 11367.384|-7473.057 11368.618|-7454.406 11370.008|-7428.849 11371.910|-7417.315 11372.777|-7406.969 11373.544|-7396.630 11374.311|-7385.683 11375.134|-7375.344 11375.902|-7364.998 11376.669|-7354.058 11377.492|-7343.712 11378.259|-7333.373 11379.037|-7321.846 11379.893|-7315.939 11380.338|-7310.283 11380.761|-7301.741 11381.395|-7298.742 11381.128|-7287.173 11380.105|-7275.625 11379.082|-7264.097 11378.070|-7252.221 11377.013|-7240.721 11376.002|-7229.236 11374.990|-7217.744 11373.978|-7206.195 11372.955|-7194.654 11371.932|-7183.721 11370.976|-7172.781 11370.008|-7161.848 11369.041|-7150.915 11368.073|-7139.981 11367.117|-7129.041 11366.150|-7118.108 11365.182|-7107.175 11364.215|-7095.634 11363.203|-7079.248 11361.758|-7056.508 11359.745|-7035.096 11357.855|-7011.825 11355.809|-6983.989 11353.351|-6978.292 11352.840|-6974.482 11352.517|-6971.839 11352.284|-6945.178 11349.937|-6931.253 11348.714|-6917.845 11347.536|-6905.283 11346.424|-6892.966 11345.345|-6884.745 11344.611|-6881.152 11342.087|-6870.967 11334.915|-6860.998 11327.899|-6851.184 11320.993|-6841.439 11314.133|-6832.729 11307.995|-6824.236 11302.024|-6815.735 11296.041|-6805.571 11288.880|-6795.064 11281.486|-6789.192 11277.349|-6784.390 11273.758|-6779.322 11269.421|-6774.547 11264.762|-6770.073 11259.770|-6765.942 11254.477|-6762.160 11248.906|-6758.763 11243.079|-6755.764 11237.041|-6753.170 11230.803|-6751.010 11224.398|-6749.291 11217.871|-6748.011 11211.255|-6747.180 11204.561|-6746.802 11197.856|-6746.879 11191.140|-6747.068 11188.038|-6754.058 11095.991|-6757.679 11048.477|-6762.111 10989.966|-6761.936 10989.966|-6747.173 10989.955|-6682.678 11233.883|-6671.906 11274.614|-6599.317 11389.200|-6556.892 11400.609|-6519.772 11410.594|-6512.167 11412.640|-6512.754 11735.751|-6512.775 11745.636
