ADDRESS,POINTS
101 4944 DALTON DR NW,-5885.247 6025.079|-5809.568 5967.881|-5807.869 5970.416|-5807.366 5971.172|-5762.704 6038.056|-5730.967 6085.569|-5819.180 6144.636|-5830.700 6144.614
103 4944 DALTON DR NW,-5885.247 6025.079|-5809.568 5967.881|-5807.869 5970.416|-5807.366 5971.172|-5762.704 6038.056|-5730.967 6085.569|-5819.180 6144.636|-5830.700 6144.614
105 4944 DALTON DR NW,-5885.247 6025.079|-5809.568 5967.881|-5807.869 5970.416|-5807.366 5971.172|-5762.704 6038.056|-5730.967 6085.569|-5819.180 6144.636|-5830.700 6144.614
108 4944 DALTON DR NW,-5885.247 6025.079|-5809.568 5967.881|-5807.869 5970.416|-5807.366 5971.172|-5762.704 6038.056|-5730.967 6085.569|-5819.180 6144.636|-5830.700 6144.614
111 4944 DALTON DR NW,-5885.247 6025.079|-5809.568 5967.881|-5807.869 5970.416|-5807.366 5971.172|-5762.704 6038.056|-5730.967 6085.569|-5819.180 6144.636|-5830.700 6144.614
113 4944 DALTON DR NW,-5885.247 6025.079|-5809.568 5967.881|-5807.869 5970.416|-5807.366 5971.172|-5762.704 6038.056|-5730.967 6085.569|-5819.180 6144.636|-5830.700 6144.614
114 4944 DALTON DR NW,-5885.247 6025.079|-5809.568 5967.881|-5807.869 5970.416|-5807.366 5971.172|-5762.704 6038.056|-5730.967 6085.569|-5819.180 6144.636|-5830.700 6144.614
102 4944 DALTON DR NW,-5885.247 6025.079|-5809.568 5967.881|-5807.869 5970.416|-5807.366 5971.172|-5762.704 6038.056|-5730.967 6085.569|-5819.180 6144.636|-5830.700 6144.614
104 4944 DALTON DR NW,-5885.247 6025.079|-5809.568 5967.881|-5807.869 5970.416|-5807.366 5971.172|-5762.704 6038.056|-5730.967 6085.569|-5819.180 6144.636|-5830.700 6144.614
110 4944 DALTON DR NW,-5885.247 6025.079|-5809.568 5967.881|-5807.869 5970.416|-5807.366 5971.172|-5762.704 6038.056|-5730.967 6085.569|-5819.180 6144.636|-5830.700 6144.614
112 4944 DALTON DR NW,-5885.247 6025.079|-5809.568 5967.881|-5807.869 5970.416|-5807.366 5971.172|-5762.704 6038.056|-5730.967 6085.569|-5819.180 6144.636|-5830.700 6144.614
