ADDRESS,POINTS
2705 84 ST NE,10855.988 2921.318|10932.590 2921.329|11006.395 2921.340|11122.423 2921.362|11141.277 2921.373|11141.374 3622.657|10876.421 3613.128|10879.085 3528.231|10791.277 3433.826|10782.700 3398.733|10782.721 2921.284
1851 84 ST NE,11141.151 2467.431|11138.159 2467.431|11137.159 2467.442|11041.844 2467.587|10980.691 2482.743|10835.828 2438.153|10929.605 2317.518|10929.696 2225.104|11137.096 2212.417|11141.081 2212.172|11141.088 2237.180
