ADDRESS,POINTS
101 4818 VARSITY DR NW,-5879.102 5071.294|-5876.593 5070.816|-5874.034 5070.760|-5871.503 5071.138|-5869.078 5071.950|-5866.820 5073.162|-5864.807 5074.730|-5863.094 5076.631|-5861.724 5078.788|-5854.356 5092.966|-5888.469 5102.717|-5916.641 5110.779|-5920.633 5111.913|-5921.870 5107.554|-5928.462 5084.381|-5901.339 5077.654|-5896.026 5076.131
102 4818 VARSITY DR NW,-5879.102 5071.294|-5876.593 5070.816|-5874.034 5070.760|-5871.503 5071.138|-5869.078 5071.950|-5866.820 5073.162|-5864.807 5074.730|-5863.094 5076.631|-5861.724 5078.788|-5854.356 5092.966|-5888.469 5102.717|-5916.641 5110.779|-5920.633 5111.913|-5921.870 5107.554|-5928.462 5084.381|-5901.339 5077.654|-5896.026 5076.131
103 4818 VARSITY DR NW,-5879.102 5071.294|-5876.593 5070.816|-5874.034 5070.760|-5871.503 5071.138|-5869.078 5071.950|-5866.820 5073.162|-5864.807 5074.730|-5863.094 5076.631|-5861.724 5078.788|-5854.356 5092.966|-5888.469 5102.717|-5916.641 5110.779|-5920.633 5111.913|-5921.870 5107.554|-5928.462 5084.381|-5901.339 5077.654|-5896.026 5076.131
104 4818 VARSITY DR NW,-5879.102 5071.294|-5876.593 5070.816|-5874.034 5070.760|-5871.503 5071.138|-5869.078 5071.950|-5866.820 5073.162|-5864.807 5074.730|-5863.094 5076.631|-5861.724 5078.788|-5854.356 5092.966|-5888.469 5102.717|-5916.641 5110.779|-5920.633 5111.913|-5921.870 5107.554|-5928.462 5084.381|-5901.339 5077.654|-5896.026 5076.131
105 4818 VARSITY DR NW,-5879.102 5071.294|-5876.593 5070.816|-5874.034 5070.760|-5871.503 5071.138|-5869.078 5071.950|-5866.820 5073.162|-5864.807 5074.730|-5863.094 5076.631|-5861.724 5078.788|-5854.356 5092.966|-5888.469 5102.717|-5916.641 5110.779|-5920.633 5111.913|-5921.870 5107.554|-5928.462 5084.381|-5901.339 5077.654|-5896.026 5076.131
106 4818 VARSITY DR NW,-5879.102 5071.294|-5876.593 5070.816|-5874.034 5070.760|-5871.503 5071.138|-5869.078 5071.950|-5866.820 5073.162|-5864.807 5074.730|-5863.094 5076.631|-5861.724 5078.788|-5854.356 5092.966|-5888.469 5102.717|-5916.641 5110.779|-5920.633 5111.913|-5921.870 5107.554|-5928.462 5084.381|-5901.339 5077.654|-5896.026 5076.131
107 4818 VARSITY DR NW,-5879.102 5071.294|-5876.593 5070.816|-5874.034 5070.760|-5871.503 5071.138|-5869.078 5071.950|-5866.820 5073.162|-5864.807 5074.730|-5863.094 5076.631|-5861.724 5078.788|-5854.356 5092.966|-5888.469 5102.717|-5916.641 5110.779|-5920.633 5111.913|-5921.870 5107.554|-5928.462 5084.381|-5901.339 5077.654|-5896.026 5076.131
108 4818 VARSITY DR NW,-5879.102 5071.294|-5876.593 5070.816|-5874.034 5070.760|-5871.503 5071.138|-5869.078 5071.950|-5866.820 5073.162|-5864.807 5074.730|-5863.094 5076.631|-5861.724 5078.788|-5854.356 5092.966|-5888.469 5102.717|-5916.641 5110.779|-5920.633 5111.913|-5921.870 5107.554|-5928.462 5084.381|-5901.339 5077.654|-5896.026 5076.131
201 4818 VARSITY DR NW,-5879.102 5071.294|-5876.593 5070.816|-5874.034 5070.760|-5871.503 5071.138|-5869.078 5071.950|-5866.820 5073.162|-5864.807 5074.730|-5863.094 5076.631|-5861.724 5078.788|-5854.356 5092.966|-5888.469 5102.717|-5916.641 5110.779|-5920.633 5111.913|-5921.870 5107.554|-5928.462 5084.381|-5901.339 5077.654|-5896.026 5076.131
202 4818 VARSITY DR NW,-5879.102 5071.294|-5876.593 5070.816|-5874.034 5070.760|-5871.503 5071.138|-5869.078 5071.950|-5866.820 5073.162|-5864.807 5074.730|-5863.094 5076.631|-5861.724 5078.788|-5854.356 5092.966|-5888.469 5102.717|-5916.641 5110.779|-5920.633 5111.913|-5921.870 5107.554|-5928.462 5084.381|-5901.339 5077.654|-5896.026 5076.131
