ADDRESS,POINTS
111 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
108 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
114 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
105 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
117 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
102 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
109 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
107 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
106 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
104 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
103 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
101 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
118 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
116 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
115 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
113 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
112 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
110 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
208 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
205 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
211 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
202 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
206 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
204 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
203 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
201 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
212 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
210 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
209 3500 VARSITY DR NW,-4760.675 4502.109|-4527.591 4501.798|-4523.753 4501.853|-4519.930 4502.054|-4516.106 4502.365|-4512.296 4502.821|-4509.940 4519.578|-4568.730 4613.882|-4818.178 4844.412|-4867.398 4707.108|-4867.426 4603.530|-4817.298 4603.519|-4793.124 4629.772|-4770.161 4629.761|-4770.168 4614.238|-4805.211 4576.176|-4805.225 4543.273
