ADDRESS,POINTS
1 68 BAYCREST PL SW,-3023.961 -7957.104|-3023.968 -7937.990|-3023.989 -7891.310|-3163.602 -7891.677|-3163.546 -8040.901|-3137.178 -8040.812|-3111.286 -8040.723|-3087.029 -8040.645|-3077.633 -8040.612|-3075.970 -8040.734|-3074.334 -8041.090|-3072.775 -8041.690|-3071.314 -8042.513|-3069.993 -8043.536|-3068.839 -8044.748|-3067.868 -8046.116|-3067.113 -8047.606|-3063.471 -8056.313|-3056.438 -8073.103|-3044.582 -8101.447|-3023.891 -8101.380|-3023.898 -8088.681|-3023.926 -8024.633|-3023.933 -8007.454
2 68 BAYCREST PL SW,-3023.961 -7957.104|-3023.968 -7937.990|-3023.989 -7891.310|-3163.602 -7891.677|-3163.546 -8040.901|-3137.178 -8040.812|-3111.286 -8040.723|-3087.029 -8040.645|-3077.633 -8040.612|-3075.970 -8040.734|-3074.334 -8041.090|-3072.775 -8041.690|-3071.314 -8042.513|-3069.993 -8043.536|-3068.839 -8044.748|-3067.868 -8046.116|-3067.113 -8047.606|-3063.471 -8056.313|-3056.438 -8073.103|-3044.582 -8101.447|-3023.891 -8101.380|-3023.898 -8088.681|-3023.926 -8024.633|-3023.933 -8007.454
3 68 BAYCREST PL SW,-3023.961 -7957.104|-3023.968 -7937.990|-3023.989 -7891.310|-3163.602 -7891.677|-3163.546 -8040.901|-3137.178 -8040.812|-3111.286 -8040.723|-3087.029 -8040.645|-3077.633 -8040.612|-3075.970 -8040.734|-3074.334 -8041.090|-3072.775 -8041.690|-3071.314 -8042.513|-3069.993 -8043.536|-3068.839 -8044.748|-3067.868 -8046.116|-3067.113 -8047.606|-3063.471 -8056.313|-3056.438 -8073.103|-3044.582 -8101.447|-3023.891 -8101.380|-3023.898 -8088.681|-3023.926 -8024.633|-3023.933 -8007.454
4 68 BAYCREST PL SW,-3023.961 -7957.104|-3023.968 -7937.990|-3023.989 -7891.310|-3163.602 -7891.677|-3163.546 -8040.901|-3137.178 -8040.812|-3111.286 -8040.723|-3087.029 -8040.645|-3077.633 -8040.612|-3075.970 -8040.734|-3074.334 -8041.090|-3072.775 -8041.690|-3071.314 -8042.513|-3069.993 -8043.536|-3068.839 -8044.748|-3067.868 -8046.116|-3067.113 -8047.606|-3063.471 -8056.313|-3056.438 -8073.103|-3044.582 -8101.447|-3023.891 -8101.380|-3023.898 -8088.681|-3023.926 -8024.633|-3023.933 -8007.454
5 68 BAYCREST PL SW,-3023.961 -7957.104|-3023.968 -7937.990|-3023.989 -7891.310|-3163.602 -7891.677|-3163.546 -8040.901|-3137.178 -8040.812|-3111.286 -8040.723|-3087.029 -8040.645|-3077.633 -8040.612|-3075.970 -8040.734|-3074.334 -8041.090|-3072.775 -8041.690|-3071.314 -8042.513|-3069.993 -8043.536|-3068.839 -8044.748|-3067.868 -8046.116|-3067.113 -8047.606|-3063.471 -8056.313|-3056.438 -8073.103|-3044.582 -8101.447|-3023.891 -8101.380|-3023.898 -8088.681|-3023.926 -8024.633|-3023.933 -8007.454
6 68 BAYCREST PL SW,-3023.961 -7957.104|-3023.968 -7937.990|-3023.989 -7891.310|-3163.602 -7891.677|-3163.546 -8040.901|-3137.178 -8040.812|-3111.286 -8040.723|-3087.029 -8040.645|-3077.633 -8040.612|-3075.970 -8040.734|-3074.334 -8041.090|-3072.775 -8041.690|-3071.314 -8042.513|-3069.993 -8043.536|-3068.839 -8044.748|-3067.868 -8046.116|-3067.113 -8047.606|-3063.471 -8056.313|-3056.438 -8073.103|-3044.582 -8101.447|-3023.891 -8101.380|-3023.898 -8088.681|-3023.926 -8024.633|-3023.933 -8007.454
7 68 BAYCREST PL SW,-3023.961 -7957.104|-3023.968 -7937.990|-3023.989 -7891.310|-3163.602 -7891.677|-3163.546 -8040.901|-3137.178 -8040.812|-3111.286 -8040.723|-3087.029 -8040.645|-3077.633 -8040.612|-3075.970 -8040.734|-3074.334 -8041.090|-3072.775 -8041.690|-3071.314 -8042.513|-3069.993 -8043.536|-3068.839 -8044.748|-3067.868 -8046.116|-3067.113 -8047.606|-3063.471 -8056.313|-3056.438 -8073.103|-3044.582 -8101.447|-3023.891 -8101.380|-3023.898 -8088.681|-3023.926 -8024.633|-3023.933 -8007.454
8 68 BAYCREST PL SW,-3023.961 -7957.104|-3023.968 -7937.990|-3023.989 -7891.310|-3163.602 -7891.677|-3163.546 -8040.901|-3137.178 -8040.812|-3111.286 -8040.723|-3087.029 -8040.645|-3077.633 -8040.612|-3075.970 -8040.734|-3074.334 -8041.090|-3072.775 -8041.690|-3071.314 -8042.513|-3069.993 -8043.536|-3068.839 -8044.748|-3067.868 -8046.116|-3067.113 -8047.606|-3063.471 -8056.313|-3056.438 -8073.103|-3044.582 -8101.447|-3023.891 -8101.380|-3023.898 -8088.681|-3023.926 -8024.633|-3023.933 -8007.454
9 68 BAYCREST PL SW,-3023.961 -7957.104|-3023.968 -7937.990|-3023.989 -7891.310|-3163.602 -7891.677|-3163.546 -8040.901|-3137.178 -8040.812|-3111.286 -8040.723|-3087.029 -8040.645|-3077.633 -8040.612|-3075.970 -8040.734|-3074.334 -8041.090|-3072.775 -8041.690|-3071.314 -8042.513|-3069.993 -8043.536|-3068.839 -8044.748|-3067.868 -8046.116|-3067.113 -8047.606|-3063.471 -8056.313|-3056.438 -8073.103|-3044.582 -8101.447|-3023.891 -8101.380|-3023.898 -8088.681|-3023.926 -8024.633|-3023.933 -8007.454
10 68 BAYCREST PL SW,-3023.961 -7957.104|-3023.968 -7937.990|-3023.989 -7891.310|-3163.602 -7891.677|-3163.546 -8040.901|-3137.178 -8040.812|-3111.286 -8040.723|-3087.029 -8040.645|-3077.633 -8040.612|-3075.970 -8040.734|-3074.334 -8041.090|-3072.775 -8041.690|-3071.314 -8042.513|-3069.993 -8043.536|-3068.839 -8044.748|-3067.868 -8046.116|-3067.113 -8047.606|-3063.471 -8056.313|-3056.438 -8073.103|-3044.582 -8101.447|-3023.891 -8101.380|-3023.898 -8088.681|-3023.926 -8024.633|-3023.933 -8007.454
11 68 BAYCREST PL SW,-3023.961 -7957.104|-3023.968 -7937.990|-3023.989 -7891.310|-3163.602 -7891.677|-3163.546 -8040.901|-3137.178 -8040.812|-3111.286 -8040.723|-3087.029 -8040.645|-3077.633 -8040.612|-3075.970 -8040.734|-3074.334 -8041.090|-3072.775 -8041.690|-3071.314 -8042.513|-3069.993 -8043.536|-3068.839 -8044.748|-3067.868 -8046.116|-3067.113 -8047.606|-3063.471 -8056.313|-3056.438 -8073.103|-3044.582 -8101.447|-3023.891 -8101.380|-3023.898 -8088.681|-3023.926 -8024.633|-3023.933 -8007.454
12 68 BAYCREST PL SW,-3023.961 -7957.104|-3023.968 -7937.990|-3023.989 -7891.310|-3163.602 -7891.677|-3163.546 -8040.901|-3137.178 -8040.812|-3111.286 -8040.723|-3087.029 -8040.645|-3077.633 -8040.612|-3075.970 -8040.734|-3074.334 -8041.090|-3072.775 -8041.690|-3071.314 -8042.513|-3069.993 -8043.536|-3068.839 -8044.748|-3067.868 -8046.116|-3067.113 -8047.606|-3063.471 -8056.313|-3056.438 -8073.103|-3044.582 -8101.447|-3023.891 -8101.380|-3023.898 -8088.681|-3023.926 -8024.633|-3023.933 -8007.454
