ADDRESS,POINTS
43 34 AV SW,646.998 -2763.056|642.831 -2763.056|634.562 -2763.056|613.611 -2809.124|620.133 -2813.005|623.454 -2814.973
47 34 AV SW,634.562 -2763.056|626.285 -2763.045|618.015 -2763.045|600.553 -2801.363|607.082 -2805.243|613.611 -2809.124
