ADDRESS,POINTS
226 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
223 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
211 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
208 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
205 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
202 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
102 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
101 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
2507 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
2511 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
68V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
214 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
217 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
220 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
