ADDRESS,POINTS
101 20 SIERRA MORENA ME SW,-7138.164 -3619.313|-7131.921 -3602.733|-7131.928 -3537.873|-7141.240 -3541.231|-7150.614 -3544.389|-7160.051 -3547.358|-7169.551 -3550.116|-7181.910 -3553.307|-7194.346 -3556.154|-7194.332 -3587.266|-7184.238 -3587.266|-7181.757 -3587.266|-7179.275 -3587.266|-7176.800 -3587.266|-7174.319 -3587.266|-7171.837 -3587.266|-7167.587 -3587.255|-7167.580 -3600.265|-7171.236 -3600.209|-7171.488 -3617.289|-7171.508 -3618.890
102 20 SIERRA MORENA ME SW,-7138.164 -3619.313|-7131.921 -3602.733|-7131.928 -3537.873|-7141.240 -3541.231|-7150.614 -3544.389|-7160.051 -3547.358|-7169.551 -3550.116|-7181.910 -3553.307|-7194.346 -3556.154|-7194.332 -3587.266|-7184.238 -3587.266|-7181.757 -3587.266|-7179.275 -3587.266|-7176.800 -3587.266|-7174.319 -3587.266|-7171.837 -3587.266|-7167.587 -3587.255|-7167.580 -3600.265|-7171.236 -3600.209|-7171.488 -3617.289|-7171.508 -3618.890
103 20 SIERRA MORENA ME SW,-7138.164 -3619.313|-7131.921 -3602.733|-7131.928 -3537.873|-7141.240 -3541.231|-7150.614 -3544.389|-7160.051 -3547.358|-7169.551 -3550.116|-7181.910 -3553.307|-7194.346 -3556.154|-7194.332 -3587.266|-7184.238 -3587.266|-7181.757 -3587.266|-7179.275 -3587.266|-7176.800 -3587.266|-7174.319 -3587.266|-7171.837 -3587.266|-7167.587 -3587.255|-7167.580 -3600.265|-7171.236 -3600.209|-7171.488 -3617.289|-7171.508 -3618.890
104 20 SIERRA MORENA ME SW,-7138.164 -3619.313|-7131.921 -3602.733|-7131.928 -3537.873|-7141.240 -3541.231|-7150.614 -3544.389|-7160.051 -3547.358|-7169.551 -3550.116|-7181.910 -3553.307|-7194.346 -3556.154|-7194.332 -3587.266|-7184.238 -3587.266|-7181.757 -3587.266|-7179.275 -3587.266|-7176.800 -3587.266|-7174.319 -3587.266|-7171.837 -3587.266|-7167.587 -3587.255|-7167.580 -3600.265|-7171.236 -3600.209|-7171.488 -3617.289|-7171.508 -3618.890
105 20 SIERRA MORENA ME SW,-7138.164 -3619.313|-7131.921 -3602.733|-7131.928 -3537.873|-7141.240 -3541.231|-7150.614 -3544.389|-7160.051 -3547.358|-7169.551 -3550.116|-7181.910 -3553.307|-7194.346 -3556.154|-7194.332 -3587.266|-7184.238 -3587.266|-7181.757 -3587.266|-7179.275 -3587.266|-7176.800 -3587.266|-7174.319 -3587.266|-7171.837 -3587.266|-7167.587 -3587.255|-7167.580 -3600.265|-7171.236 -3600.209|-7171.488 -3617.289|-7171.508 -3618.890
106 20 SIERRA MORENA ME SW,-7138.164 -3619.313|-7131.921 -3602.733|-7131.928 -3537.873|-7141.240 -3541.231|-7150.614 -3544.389|-7160.051 -3547.358|-7169.551 -3550.116|-7181.910 -3553.307|-7194.346 -3556.154|-7194.332 -3587.266|-7184.238 -3587.266|-7181.757 -3587.266|-7179.275 -3587.266|-7176.800 -3587.266|-7174.319 -3587.266|-7171.837 -3587.266|-7167.587 -3587.255|-7167.580 -3600.265|-7171.236 -3600.209|-7171.488 -3617.289|-7171.508 -3618.890
107 20 SIERRA MORENA ME SW,-7138.164 -3619.313|-7131.921 -3602.733|-7131.928 -3537.873|-7141.240 -3541.231|-7150.614 -3544.389|-7160.051 -3547.358|-7169.551 -3550.116|-7181.910 -3553.307|-7194.346 -3556.154|-7194.332 -3587.266|-7184.238 -3587.266|-7181.757 -3587.266|-7179.275 -3587.266|-7176.800 -3587.266|-7174.319 -3587.266|-7171.837 -3587.266|-7167.587 -3587.255|-7167.580 -3600.265|-7171.236 -3600.209|-7171.488 -3617.289|-7171.508 -3618.890
108 20 SIERRA MORENA ME SW,-7138.164 -3619.313|-7131.921 -3602.733|-7131.928 -3537.873|-7141.240 -3541.231|-7150.614 -3544.389|-7160.051 -3547.358|-7169.551 -3550.116|-7181.910 -3553.307|-7194.346 -3556.154|-7194.332 -3587.266|-7184.238 -3587.266|-7181.757 -3587.266|-7179.275 -3587.266|-7176.800 -3587.266|-7174.319 -3587.266|-7171.837 -3587.266|-7167.587 -3587.255|-7167.580 -3600.265|-7171.236 -3600.209|-7171.488 -3617.289|-7171.508 -3618.890
109 20 SIERRA MORENA ME SW,-7138.164 -3619.313|-7131.921 -3602.733|-7131.928 -3537.873|-7141.240 -3541.231|-7150.614 -3544.389|-7160.051 -3547.358|-7169.551 -3550.116|-7181.910 -3553.307|-7194.346 -3556.154|-7194.332 -3587.266|-7184.238 -3587.266|-7181.757 -3587.266|-7179.275 -3587.266|-7176.800 -3587.266|-7174.319 -3587.266|-7171.837 -3587.266|-7167.587 -3587.255|-7167.580 -3600.265|-7171.236 -3600.209|-7171.488 -3617.289|-7171.508 -3618.890
110 20 SIERRA MORENA ME SW,-7138.164 -3619.313|-7131.921 -3602.733|-7131.928 -3537.873|-7141.240 -3541.231|-7150.614 -3544.389|-7160.051 -3547.358|-7169.551 -3550.116|-7181.910 -3553.307|-7194.346 -3556.154|-7194.332 -3587.266|-7184.238 -3587.266|-7181.757 -3587.266|-7179.275 -3587.266|-7176.800 -3587.266|-7174.319 -3587.266|-7171.837 -3587.266|-7167.587 -3587.255|-7167.580 -3600.265|-7171.236 -3600.209|-7171.488 -3617.289|-7171.508 -3618.890
