ADDRESS,POINTS
5 REDSTONE HT NE,7537.469 13987.014|7540.034 13983.701|7542.747 13980.498|7545.599 13977.429|7548.584 13974.482|7551.695 13971.669|7554.924 13969.001|7558.273 13966.476|7561.733 13964.097|7565.319 13961.884|7566.696 13965.153|7573.456 13981.199|7580.579 13998.089|7582.110 14036.818|7582.103 14085.455|7566.703 14085.466|7497.910 14079.651|7497.441 14077.805|7486.417 14034.283|7485.544 14030.825|7491.157 14028.023|7496.582 14024.865|7502.426 14021.006|7508.088 14016.870|7513.547 14012.489|7518.804 14007.852|7523.830 14002.971|7528.619 13997.867|7533.170 13992.541
3130 235 RED EMBERS WY NE,7956.527 13143.200|7956.520 13087.169|7965.810 13087.169|7968.208 13087.169|8056.414 13087.147|8056.400 13110.309|8063.202 13110.309|8100.251 13110.287|8100.279 13198.064|8067.417 13198.064|8063.300 13198.064|8060.231 13198.064|7967.509 13198.064|7961.064 13198.064|7958.666 13195.718|7956.534 13193.627|7956.534 13190.158
4165 235 RED EMBERS WY NE,7956.527 13143.200|7956.520 13087.169|7965.810 13087.169|7968.208 13087.169|8056.414 13087.147|8056.400 13110.309|8063.202 13110.309|8100.251 13110.287|8100.279 13198.064|8067.417 13198.064|8063.300 13198.064|8060.231 13198.064|7967.509 13198.064|7961.064 13198.064|7958.666 13195.718|7956.534 13193.627|7956.534 13190.158
4140 235 RED EMBERS WY NE,7956.527 13143.200|7956.520 13087.169|7965.810 13087.169|7968.208 13087.169|8056.414 13087.147|8056.400 13110.309|8063.202 13110.309|8100.251 13110.287|8100.279 13198.064|8067.417 13198.064|8063.300 13198.064|8060.231 13198.064|7967.509 13198.064|7961.064 13198.064|7958.666 13195.718|7956.534 13193.627|7956.534 13190.158
4110 235 RED EMBERS WY NE,7956.527 13143.200|7956.520 13087.169|7965.810 13087.169|7968.208 13087.169|8056.414 13087.147|8056.400 13110.309|8063.202 13110.309|8100.251 13110.287|8100.279 13198.064|8067.417 13198.064|8063.300 13198.064|8060.231 13198.064|7967.509 13198.064|7961.064 13198.064|7958.666 13195.718|7956.534 13193.627|7956.534 13190.158
3125 235 RED EMBERS WY NE,7956.527 13143.200|7956.520 13087.169|7965.810 13087.169|7968.208 13087.169|8056.414 13087.147|8056.400 13110.309|8063.202 13110.309|8100.251 13110.287|8100.279 13198.064|8067.417 13198.064|8063.300 13198.064|8060.231 13198.064|7967.509 13198.064|7961.064 13198.064|7958.666 13195.718|7956.534 13193.627|7956.534 13190.158
2125 235 RED EMBERS WY NE,7956.527 13143.200|7956.520 13087.169|7965.810 13087.169|7968.208 13087.169|8056.414 13087.147|8056.400 13110.309|8063.202 13110.309|8100.251 13110.287|8100.279 13198.064|8067.417 13198.064|8063.300 13198.064|8060.231 13198.064|7967.509 13198.064|7961.064 13198.064|7958.666 13195.718|7956.534 13193.627|7956.534 13190.158
2115 235 RED EMBERS WY NE,7956.527 13143.200|7956.520 13087.169|7965.810 13087.169|7968.208 13087.169|8056.414 13087.147|8056.400 13110.309|8063.202 13110.309|8100.251 13110.287|8100.279 13198.064|8067.417 13198.064|8063.300 13198.064|8060.231 13198.064|7967.509 13198.064|7961.064 13198.064|7958.666 13195.718|7956.534 13193.627|7956.534 13190.158
4150 235 RED EMBERS WY NE,7956.527 13143.200|7956.520 13087.169|7965.810 13087.169|7968.208 13087.169|8056.414 13087.147|8056.400 13110.309|8063.202 13110.309|8100.251 13110.287|8100.279 13198.064|8067.417 13198.064|8063.300 13198.064|8060.231 13198.064|7967.509 13198.064|7961.064 13198.064|7958.666 13195.718|7956.534 13193.627|7956.534 13190.158
4145 235 RED EMBERS WY NE,7956.527 13143.200|7956.520 13087.169|7965.810 13087.169|7968.208 13087.169|8056.414 13087.147|8056.400 13110.309|8063.202 13110.309|8100.251 13110.287|8100.279 13198.064|8067.417 13198.064|8063.300 13198.064|8060.231 13198.064|7967.509 13198.064|7961.064 13198.064|7958.666 13195.718|7956.534 13193.627|7956.534 13190.158
3110 235 RED EMBERS WY NE,7956.527 13143.200|7956.520 13087.169|7965.810 13087.169|7968.208 13087.169|8056.414 13087.147|8056.400 13110.309|8063.202 13110.309|8100.251 13110.287|8100.279 13198.064|8067.417 13198.064|8063.300 13198.064|8060.231 13198.064|7967.509 13198.064|7961.064 13198.064|7958.666 13195.718|7956.534 13193.627|7956.534 13190.158
4170 235 RED EMBERS WY NE,7956.527 13143.200|7956.520 13087.169|7965.810 13087.169|7968.208 13087.169|8056.414 13087.147|8056.400 13110.309|8063.202 13110.309|8100.251 13110.287|8100.279 13198.064|8067.417 13198.064|8063.300 13198.064|8060.231 13198.064|7967.509 13198.064|7961.064 13198.064|7958.666 13195.718|7956.534 13193.627|7956.534 13190.158
3150 235 RED EMBERS WY NE,7956.527 13143.200|7956.520 13087.169|7965.810 13087.169|7968.208 13087.169|8056.414 13087.147|8056.400 13110.309|8063.202 13110.309|8100.251 13110.287|8100.279 13198.064|8067.417 13198.064|8063.300 13198.064|8060.231 13198.064|7967.509 13198.064|7961.064 13198.064|7958.666 13195.718|7956.534 13193.627|7956.534 13190.158
