ADDRESS,POINTS
4812 CENTRE ST NE,673.051 5265.918|642.636 5265.918|642.622 5248.561|642.608 5231.192|673.023 5231.203|673.037 5248.561
4828 CENTRE ST NE,673.051 5265.918|673.072 5283.276|673.086 5304.603|673.100 5325.919|650.290 5325.908|648.808 5325.763|647.375 5325.330|646.061 5324.629|644.907 5323.673|643.964 5322.528|643.258 5321.204|642.831 5319.781|642.684 5318.291|642.670 5304.592|642.650 5283.276|642.636 5265.918
5211 4 ST NE,1227.375 5702.091|1189.598 5704.237|1184.502 5612.468|1214.771 5610.789|1222.754 5617.917
5219 4 ST NE,1227.375 5702.091|1189.598 5704.237|1184.502 5612.468|1214.771 5610.789|1222.754 5617.917
5225 4 ST NE,1227.375 5702.091|1189.598 5704.237|1184.502 5612.468|1214.771 5610.789|1222.754 5617.917
