ADDRESS,POINTS
31 3910 19 AV SW,-4999.399 -1267.162|-5064.222 -1267.073|-5064.222 -1269.319|-5119.007 -1269.241|-5117.105 -1298.819|-5102.852 -1333.690|-5064.614 -1314.775|-4999.427 -1301.766
27 3910 19 AV SW,-4999.399 -1267.162|-5064.222 -1267.073|-5064.222 -1269.319|-5119.007 -1269.241|-5117.105 -1298.819|-5102.852 -1333.690|-5064.614 -1314.775|-4999.427 -1301.766
23 3910 19 AV SW,-4999.399 -1267.162|-5064.222 -1267.073|-5064.222 -1269.319|-5119.007 -1269.241|-5117.105 -1298.819|-5102.852 -1333.690|-5064.614 -1314.775|-4999.427 -1301.766
19 3910 19 AV SW,-4999.399 -1267.162|-5064.222 -1267.073|-5064.222 -1269.319|-5119.007 -1269.241|-5117.105 -1298.819|-5102.852 -1333.690|-5064.614 -1314.775|-4999.427 -1301.766
15 3910 19 AV SW,-4999.399 -1267.162|-5064.222 -1267.073|-5064.222 -1269.319|-5119.007 -1269.241|-5117.105 -1298.819|-5102.852 -1333.690|-5064.614 -1314.775|-4999.427 -1301.766
11 3910 19 AV SW,-4999.399 -1267.162|-5064.222 -1267.073|-5064.222 -1269.319|-5119.007 -1269.241|-5117.105 -1298.819|-5102.852 -1333.690|-5064.614 -1314.775|-4999.427 -1301.766
7 3910 19 AV SW,-4999.399 -1267.162|-5064.222 -1267.073|-5064.222 -1269.319|-5119.007 -1269.241|-5117.105 -1298.819|-5102.852 -1333.690|-5064.614 -1314.775|-4999.427 -1301.766
3 3910 19 AV SW,-4999.399 -1267.162|-5064.222 -1267.073|-5064.222 -1269.319|-5119.007 -1269.241|-5117.105 -1298.819|-5102.852 -1333.690|-5064.614 -1314.775|-4999.427 -1301.766
28 3910 19 AV SW,-4999.399 -1267.162|-5064.222 -1267.073|-5064.222 -1269.319|-5119.007 -1269.241|-5117.105 -1298.819|-5102.852 -1333.690|-5064.614 -1314.775|-4999.427 -1301.766
24 3910 19 AV SW,-4999.399 -1267.162|-5064.222 -1267.073|-5064.222 -1269.319|-5119.007 -1269.241|-5117.105 -1298.819|-5102.852 -1333.690|-5064.614 -1314.775|-4999.427 -1301.766
20 3910 19 AV SW,-4999.399 -1267.162|-5064.222 -1267.073|-5064.222 -1269.319|-5119.007 -1269.241|-5117.105 -1298.819|-5102.852 -1333.690|-5064.614 -1314.775|-4999.427 -1301.766
12 3910 19 AV SW,-4999.399 -1267.162|-5064.222 -1267.073|-5064.222 -1269.319|-5119.007 -1269.241|-5117.105 -1298.819|-5102.852 -1333.690|-5064.614 -1314.775|-4999.427 -1301.766
8 3910 19 AV SW,-4999.399 -1267.162|-5064.222 -1267.073|-5064.222 -1269.319|-5119.007 -1269.241|-5117.105 -1298.819|-5102.852 -1333.690|-5064.614 -1314.775|-4999.427 -1301.766
4 3910 19 AV SW,-4999.399 -1267.162|-5064.222 -1267.073|-5064.222 -1269.319|-5119.007 -1269.241|-5117.105 -1298.819|-5102.852 -1333.690|-5064.614 -1314.775|-4999.427 -1301.766
21 3906 19 AV SW,-4999.399 -1267.162|-5064.222 -1267.073|-5064.222 -1269.319|-5119.007 -1269.241|-5117.105 -1298.819|-5102.852 -1333.690|-5064.614 -1314.775|-4999.427 -1301.766
17 3906 19 AV SW,-4999.399 -1267.162|-5064.222 -1267.073|-5064.222 -1269.319|-5119.007 -1269.241|-5117.105 -1298.819|-5102.852 -1333.690|-5064.614 -1314.775|-4999.427 -1301.766
15 3906 19 AV SW,-4999.399 -1267.162|-5064.222 -1267.073|-5064.222 -1269.319|-5119.007 -1269.241|-5117.105 -1298.819|-5102.852 -1333.690|-5064.614 -1314.775|-4999.427 -1301.766
9 3906 19 AV SW,-4999.399 -1267.162|-5064.222 -1267.073|-5064.222 -1269.319|-5119.007 -1269.241|-5117.105 -1298.819|-5102.852 -1333.690|-5064.614 -1314.775|-4999.427 -1301.766
5 3906 19 AV SW,-4999.399 -1267.162|-5064.222 -1267.073|-5064.222 -1269.319|-5119.007 -1269.241|-5117.105 -1298.819|-5102.852 -1333.690|-5064.614 -1314.775|-4999.427 -1301.766
22 3906 19 AV SW,-4999.399 -1267.162|-5064.222 -1267.073|-5064.222 -1269.319|-5119.007 -1269.241|-5117.105 -1298.819|-5102.852 -1333.690|-5064.614 -1314.775|-4999.427 -1301.766
18 3906 19 AV SW,-4999.399 -1267.162|-5064.222 -1267.073|-5064.222 -1269.319|-5119.007 -1269.241|-5117.105 -1298.819|-5102.852 -1333.690|-5064.614 -1314.775|-4999.427 -1301.766
14 3906 19 AV SW,-4999.399 -1267.162|-5064.222 -1267.073|-5064.222 -1269.319|-5119.007 -1269.241|-5117.105 -1298.819|-5102.852 -1333.690|-5064.614 -1314.775|-4999.427 -1301.766
10 3906 19 AV SW,-4999.399 -1267.162|-5064.222 -1267.073|-5064.222 -1269.319|-5119.007 -1269.241|-5117.105 -1298.819|-5102.852 -1333.690|-5064.614 -1314.775|-4999.427 -1301.766
6 3906 19 AV SW,-4999.399 -1267.162|-5064.222 -1267.073|-5064.222 -1269.319|-5119.007 -1269.241|-5117.105 -1298.819|-5102.852 -1333.690|-5064.614 -1314.775|-4999.427 -1301.766
