ADDRESS,POINTS
2 AUBURN BAY LI SE,8273.979 -18278.874|8280.361 -18278.129|8262.521 -18261.694|8255.985 -18262.906|8258.292 -18269.189|8258.774 -18270.334|8259.341 -18271.435|8260.005 -18272.491|8260.746 -18273.492|8261.570 -18274.415|8262.472 -18275.271|8263.437 -18276.060|8264.465 -18276.750|8265.548 -18277.361|8266.674 -18277.873|8267.841 -18278.295|8269.043 -18278.618|8270.267 -18278.829|8271.497 -18278.951|8272.741 -18278.963
17 AUBURN BAY ST SE,8498.806 -18220.163|8499.792 -18219.874|8500.750 -18219.496|8501.672 -18219.029|8502.546 -18218.495|8503.378 -18217.872|8504.147 -18217.194|8504.860 -18216.449|8505.503 -18215.637|8506.076 -18214.781|8506.580 -18213.880|8506.992 -18212.935|8507.335 -18211.957|8507.586 -18210.956|8507.747 -18209.944|8507.824 -18208.910|8507.810 -18207.876|8507.516 -18202.160|8501.239 -18202.650|8488.307 -18222.854
