ADDRESS,POINTS
210 4637 MACLEOD TR SW,273.098 -3976.726|271.707 -3981.519|251.889 -4049.859|288.435 -4060.490|294.265 -4062.191|324.681 -4071.053|328.889 -4067.461|348.819 -3998.787|315.195 -3988.991
212 4637 MACLEOD TR SW,273.098 -3976.726|271.707 -3981.519|251.889 -4049.859|288.435 -4060.490|294.265 -4062.191|324.681 -4071.053|328.889 -4067.461|348.819 -3998.787|315.195 -3988.991
214 4637 MACLEOD TR SW,273.098 -3976.726|271.707 -3981.519|251.889 -4049.859|288.435 -4060.490|294.265 -4062.191|324.681 -4071.053|328.889 -4067.461|348.819 -3998.787|315.195 -3988.991
211 4637 MACLEOD TR SW,273.098 -3976.726|271.707 -3981.519|251.889 -4049.859|288.435 -4060.490|294.265 -4062.191|324.681 -4071.053|328.889 -4067.461|348.819 -3998.787|315.195 -3988.991
209 4637 MACLEOD TR SW,273.098 -3976.726|271.707 -3981.519|251.889 -4049.859|288.435 -4060.490|294.265 -4062.191|324.681 -4071.053|328.889 -4067.461|348.819 -3998.787|315.195 -3988.991
207 4637 MACLEOD TR SW,273.098 -3976.726|271.707 -3981.519|251.889 -4049.859|288.435 -4060.490|294.265 -4062.191|324.681 -4071.053|328.889 -4067.461|348.819 -3998.787|315.195 -3988.991
205 4637 MACLEOD TR SW,273.098 -3976.726|271.707 -3981.519|251.889 -4049.859|288.435 -4060.490|294.265 -4062.191|324.681 -4071.053|328.889 -4067.461|348.819 -3998.787|315.195 -3988.991
203 4637 MACLEOD TR SW,273.098 -3976.726|271.707 -3981.519|251.889 -4049.859|288.435 -4060.490|294.265 -4062.191|324.681 -4071.053|328.889 -4067.461|348.819 -3998.787|315.195 -3988.991
201 4637 MACLEOD TR SW,273.098 -3976.726|271.707 -3981.519|251.889 -4049.859|288.435 -4060.490|294.265 -4062.191|324.681 -4071.053|328.889 -4067.461|348.819 -3998.787|315.195 -3988.991
202 4637 MACLEOD TR SW,273.098 -3976.726|271.707 -3981.519|251.889 -4049.859|288.435 -4060.490|294.265 -4062.191|324.681 -4071.053|328.889 -4067.461|348.819 -3998.787|315.195 -3988.991
204 4637 MACLEOD TR SW,273.098 -3976.726|271.707 -3981.519|251.889 -4049.859|288.435 -4060.490|294.265 -4062.191|324.681 -4071.053|328.889 -4067.461|348.819 -3998.787|315.195 -3988.991
302 4637 MACLEOD TR SW,273.098 -3976.726|271.707 -3981.519|251.889 -4049.859|288.435 -4060.490|294.265 -4062.191|324.681 -4071.053|328.889 -4067.461|348.819 -3998.787|315.195 -3988.991
304 4637 MACLEOD TR SW,273.098 -3976.726|271.707 -3981.519|251.889 -4049.859|288.435 -4060.490|294.265 -4062.191|324.681 -4071.053|328.889 -4067.461|348.819 -3998.787|315.195 -3988.991
