ADDRESS,POINTS
5410 17 AV SE,8027.047 -1110.488|8026.991 -1045.161|8026.984 -1041.269|8026.984 -1037.667|7946.174 -1037.756|7946.188 -1045.372|7988.697 -1045.317|7988.739 -1110.522
5310 17 AV SE,7946.174 -1037.756|7914.892 -1037.800|7914.892 -1068.557|7914.899 -1100.125|7915.039 -1101.959|7915.451 -1103.761|7916.136 -1105.473|7917.066 -1107.074|7918.233 -1108.509|7919.596 -1109.743|7921.134 -1110.766|7922.812 -1111.544|7923.672 -1111.856|7945.300 -1111.834|7988.739 -1111.800|7988.739 -1110.522|7988.697 -1045.317|7946.188 -1045.372
118V 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
102 5430 17 AV SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
104 5430 17 AV SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
108 5430 17 AV SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
112 5430 17 AV SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
120 5430 17 AV SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
124 5430 17 AV SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
128 5430 17 AV SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
132 5430 17 AV SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
136 5430 17 AV SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
140 5430 17 AV SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
116 5430 17 AV SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
