ADDRESS,POINTS
1V 333 RIVERFRONT AV SE,1114.220 217.780|1114.227 218.536|1111.550 222.539|1069.544 237.572|977.689 270.453|976.333 270.764|974.935 270.753|973.586 270.419|972.341 269.786|971.286 268.874|970.468 267.751|969.930 266.461|969.706 265.082|967.847 224.440|970.272 224.329|977.808 223.996|985.421 223.640|992.963 223.306|991.055 180.685|998.633 180.340|1006.210 179.985|1013.788 179.640|1021.366 179.295|1028.950 178.939|1036.528 178.595|1044.099 178.250|1046.021 220.882|1068.754 219.848|1083.909 219.159
2V 333 RIVERFRONT AV SE,1114.220 217.780|1114.227 218.536|1111.550 222.539|1069.544 237.572|977.689 270.453|976.333 270.764|974.935 270.753|973.586 270.419|972.341 269.786|971.286 268.874|970.468 267.751|969.930 266.461|969.706 265.082|967.847 224.440|970.272 224.329|977.808 223.996|985.421 223.640|992.963 223.306|991.055 180.685|998.633 180.340|1006.210 179.985|1013.788 179.640|1021.366 179.295|1028.950 178.939|1036.528 178.595|1044.099 178.250|1046.021 220.882|1068.754 219.848|1083.909 219.159
3V 333 RIVERFRONT AV SE,1114.220 217.780|1114.227 218.536|1111.550 222.539|1069.544 237.572|977.689 270.453|976.333 270.764|974.935 270.753|973.586 270.419|972.341 269.786|971.286 268.874|970.468 267.751|969.930 266.461|969.706 265.082|967.847 224.440|970.272 224.329|977.808 223.996|985.421 223.640|992.963 223.306|991.055 180.685|998.633 180.340|1006.210 179.985|1013.788 179.640|1021.366 179.295|1028.950 178.939|1036.528 178.595|1044.099 178.250|1046.021 220.882|1068.754 219.848|1083.909 219.159
4V 333 RIVERFRONT AV SE,1114.220 217.780|1114.227 218.536|1111.550 222.539|1069.544 237.572|977.689 270.453|976.333 270.764|974.935 270.753|973.586 270.419|972.341 269.786|971.286 268.874|970.468 267.751|969.930 266.461|969.706 265.082|967.847 224.440|970.272 224.329|977.808 223.996|985.421 223.640|992.963 223.306|991.055 180.685|998.633 180.340|1006.210 179.985|1013.788 179.640|1021.366 179.295|1028.950 178.939|1036.528 178.595|1044.099 178.250|1046.021 220.882|1068.754 219.848|1083.909 219.159
5V 333 RIVERFRONT AV SE,1114.220 217.780|1114.227 218.536|1111.550 222.539|1069.544 237.572|977.689 270.453|976.333 270.764|974.935 270.753|973.586 270.419|972.341 269.786|971.286 268.874|970.468 267.751|969.930 266.461|969.706 265.082|967.847 224.440|970.272 224.329|977.808 223.996|985.421 223.640|992.963 223.306|991.055 180.685|998.633 180.340|1006.210 179.985|1013.788 179.640|1021.366 179.295|1028.950 178.939|1036.528 178.595|1044.099 178.250|1046.021 220.882|1068.754 219.848|1083.909 219.159
6V 333 RIVERFRONT AV SE,1114.220 217.780|1114.227 218.536|1111.550 222.539|1069.544 237.572|977.689 270.453|976.333 270.764|974.935 270.753|973.586 270.419|972.341 269.786|971.286 268.874|970.468 267.751|969.930 266.461|969.706 265.082|967.847 224.440|970.272 224.329|977.808 223.996|985.421 223.640|992.963 223.306|991.055 180.685|998.633 180.340|1006.210 179.985|1013.788 179.640|1021.366 179.295|1028.950 178.939|1036.528 178.595|1044.099 178.250|1046.021 220.882|1068.754 219.848|1083.909 219.159
7V 333 RIVERFRONT AV SE,1114.220 217.780|1114.227 218.536|1111.550 222.539|1069.544 237.572|977.689 270.453|976.333 270.764|974.935 270.753|973.586 270.419|972.341 269.786|971.286 268.874|970.468 267.751|969.930 266.461|969.706 265.082|967.847 224.440|970.272 224.329|977.808 223.996|985.421 223.640|992.963 223.306|991.055 180.685|998.633 180.340|1006.210 179.985|1013.788 179.640|1021.366 179.295|1028.950 178.939|1036.528 178.595|1044.099 178.250|1046.021 220.882|1068.754 219.848|1083.909 219.159
8V 333 RIVERFRONT AV SE,1114.220 217.780|1114.227 218.536|1111.550 222.539|1069.544 237.572|977.689 270.453|976.333 270.764|974.935 270.753|973.586 270.419|972.341 269.786|971.286 268.874|970.468 267.751|969.930 266.461|969.706 265.082|967.847 224.440|970.272 224.329|977.808 223.996|985.421 223.640|992.963 223.306|991.055 180.685|998.633 180.340|1006.210 179.985|1013.788 179.640|1021.366 179.295|1028.950 178.939|1036.528 178.595|1044.099 178.250|1046.021 220.882|1068.754 219.848|1083.909 219.159
9V 333 RIVERFRONT AV SE,1114.220 217.780|1114.227 218.536|1111.550 222.539|1069.544 237.572|977.689 270.453|976.333 270.764|974.935 270.753|973.586 270.419|972.341 269.786|971.286 268.874|970.468 267.751|969.930 266.461|969.706 265.082|967.847 224.440|970.272 224.329|977.808 223.996|985.421 223.640|992.963 223.306|991.055 180.685|998.633 180.340|1006.210 179.985|1013.788 179.640|1021.366 179.295|1028.950 178.939|1036.528 178.595|1044.099 178.250|1046.021 220.882|1068.754 219.848|1083.909 219.159
10V 333 RIVERFRONT AV SE,1114.220 217.780|1114.227 218.536|1111.550 222.539|1069.544 237.572|977.689 270.453|976.333 270.764|974.935 270.753|973.586 270.419|972.341 269.786|971.286 268.874|970.468 267.751|969.930 266.461|969.706 265.082|967.847 224.440|970.272 224.329|977.808 223.996|985.421 223.640|992.963 223.306|991.055 180.685|998.633 180.340|1006.210 179.985|1013.788 179.640|1021.366 179.295|1028.950 178.939|1036.528 178.595|1044.099 178.250|1046.021 220.882|1068.754 219.848|1083.909 219.159
