ADDRESS,POINTS
111 355 TARALAKE WY NE,10314.010 7874.384|10263.839 7874.440|10263.825 7852.334|10263.818 7846.719|10232.955 7846.741|10230.487 7846.741|10230.473 7785.395|10230.473 7777.511|10230.466 7771.918|10230.466 7770.417|10230.466 7766.914|10314.065 7766.881|10314.003 7768.427|10314.010 7870.893
113 355 TARALAKE WY NE,10314.010 7874.384|10263.839 7874.440|10263.825 7852.334|10263.818 7846.719|10232.955 7846.741|10230.487 7846.741|10230.473 7785.395|10230.473 7777.511|10230.466 7771.918|10230.466 7770.417|10230.466 7766.914|10314.065 7766.881|10314.003 7768.427|10314.010 7870.893
115 355 TARALAKE WY NE,10314.010 7874.384|10263.839 7874.440|10263.825 7852.334|10263.818 7846.719|10232.955 7846.741|10230.487 7846.741|10230.473 7785.395|10230.473 7777.511|10230.466 7771.918|10230.466 7770.417|10230.466 7766.914|10314.065 7766.881|10314.003 7768.427|10314.010 7870.893
117 355 TARALAKE WY NE,10314.010 7874.384|10263.839 7874.440|10263.825 7852.334|10263.818 7846.719|10232.955 7846.741|10230.487 7846.741|10230.473 7785.395|10230.473 7777.511|10230.466 7771.918|10230.466 7770.417|10230.466 7766.914|10314.065 7766.881|10314.003 7768.427|10314.010 7870.893
119 355 TARALAKE WY NE,10314.010 7874.384|10263.839 7874.440|10263.825 7852.334|10263.818 7846.719|10232.955 7846.741|10230.487 7846.741|10230.473 7785.395|10230.473 7777.511|10230.466 7771.918|10230.466 7770.417|10230.466 7766.914|10314.065 7766.881|10314.003 7768.427|10314.010 7870.893
121 355 TARALAKE WY NE,10314.010 7874.384|10263.839 7874.440|10263.825 7852.334|10263.818 7846.719|10232.955 7846.741|10230.487 7846.741|10230.473 7785.395|10230.473 7777.511|10230.466 7771.918|10230.466 7770.417|10230.466 7766.914|10314.065 7766.881|10314.003 7768.427|10314.010 7870.893
123 355 TARALAKE WY NE,10314.010 7874.384|10263.839 7874.440|10263.825 7852.334|10263.818 7846.719|10232.955 7846.741|10230.487 7846.741|10230.473 7785.395|10230.473 7777.511|10230.466 7771.918|10230.466 7770.417|10230.466 7766.914|10314.065 7766.881|10314.003 7768.427|10314.010 7870.893
125 355 TARALAKE WY NE,10314.010 7874.384|10263.839 7874.440|10263.825 7852.334|10263.818 7846.719|10232.955 7846.741|10230.487 7846.741|10230.473 7785.395|10230.473 7777.511|10230.466 7771.918|10230.466 7770.417|10230.466 7766.914|10314.065 7766.881|10314.003 7768.427|10314.010 7870.893
127 355 TARALAKE WY NE,10314.010 7874.384|10263.839 7874.440|10263.825 7852.334|10263.818 7846.719|10232.955 7846.741|10230.487 7846.741|10230.473 7785.395|10230.473 7777.511|10230.466 7771.918|10230.466 7770.417|10230.466 7766.914|10314.065 7766.881|10314.003 7768.427|10314.010 7870.893
126 355 TARALAKE WY NE,10314.010 7874.384|10263.839 7874.440|10263.825 7852.334|10263.818 7846.719|10232.955 7846.741|10230.487 7846.741|10230.473 7785.395|10230.473 7777.511|10230.466 7771.918|10230.466 7770.417|10230.466 7766.914|10314.065 7766.881|10314.003 7768.427|10314.010 7870.893
