ADDRESS,POINTS
1829 RANCHLANDS BV NW,-8766.309 8260.197|-8763.072 8262.933|-8759.969 8265.813|-8757.005 8268.826|-8754.180 8271.984|-8723.031 8308.534|-8721.493 8310.702|-8720.354 8313.093|-8719.641 8315.650|-8719.389 8318.297|-8719.599 8320.943|-8720.263 8323.512|-8721.367 8325.925|-8722.870 8328.115|-8736.383 8344.494|-8845.231 8437.442|-8847.112 8438.765|-8849.202 8439.699|-8851.432 8440.233|-8853.725 8440.344|-8855.990 8440.011|-8858.164 8439.266|-8860.149 8438.132|-8861.890 8436.630|-8875.116 8422.920|-8904.972 8378.587|-8867.559 8346.629
7712 RANCHVIEW DR NW,-7529.931 8028.701|-7518.285 8028.256|-7515.636 8028.389|-7513.049 8028.979|-7510.603 8030.002|-7508.373 8031.447|-7506.429 8033.249|-7504.828 8035.361|-7503.619 8037.719|-7502.836 8040.254|-7498.355 8061.014|-7496.356 8113.175|-7515.454 8112.219|-7534.098 8111.274
27 7750 RANCHVIEW DR NW,-7529.931 8028.701|-7534.098 8111.274|-7542.207 8110.863|-7555.579 8110.184|-7568.945 8109.517|-7582.318 8108.839|-7595.684 8108.161|-7609.056 8107.482|-7622.429 8106.815|-7635.795 8106.137|-7637.424 8106.059|-7649.168 8105.459|-7662.534 8104.780|-7675.906 8104.113|-7689.985 8103.401|-7690.544 8096.885|-7691.516 8090.425|-7699.576 8046.292|-7695.913 8040.977|-7680.450 8038.364|-7664.924 8036.162|-7649.350 8034.383|-7633.733 8033.037|-7623.694 8032.381|-7613.642 8031.914
25 7750 RANCHVIEW DR NW,-7529.931 8028.701|-7534.098 8111.274|-7542.207 8110.863|-7555.579 8110.184|-7568.945 8109.517|-7582.318 8108.839|-7595.684 8108.161|-7609.056 8107.482|-7622.429 8106.815|-7635.795 8106.137|-7637.424 8106.059|-7649.168 8105.459|-7662.534 8104.780|-7675.906 8104.113|-7689.985 8103.401|-7690.544 8096.885|-7691.516 8090.425|-7699.576 8046.292|-7695.913 8040.977|-7680.450 8038.364|-7664.924 8036.162|-7649.350 8034.383|-7633.733 8033.037|-7623.694 8032.381|-7613.642 8031.914
24 7750 RANCHVIEW DR NW,-7529.931 8028.701|-7534.098 8111.274|-7542.207 8110.863|-7555.579 8110.184|-7568.945 8109.517|-7582.318 8108.839|-7595.684 8108.161|-7609.056 8107.482|-7622.429 8106.815|-7635.795 8106.137|-7637.424 8106.059|-7649.168 8105.459|-7662.534 8104.780|-7675.906 8104.113|-7689.985 8103.401|-7690.544 8096.885|-7691.516 8090.425|-7699.576 8046.292|-7695.913 8040.977|-7680.450 8038.364|-7664.924 8036.162|-7649.350 8034.383|-7633.733 8033.037|-7623.694 8032.381|-7613.642 8031.914
23 7750 RANCHVIEW DR NW,-7529.931 8028.701|-7534.098 8111.274|-7542.207 8110.863|-7555.579 8110.184|-7568.945 8109.517|-7582.318 8108.839|-7595.684 8108.161|-7609.056 8107.482|-7622.429 8106.815|-7635.795 8106.137|-7637.424 8106.059|-7649.168 8105.459|-7662.534 8104.780|-7675.906 8104.113|-7689.985 8103.401|-7690.544 8096.885|-7691.516 8090.425|-7699.576 8046.292|-7695.913 8040.977|-7680.450 8038.364|-7664.924 8036.162|-7649.350 8034.383|-7633.733 8033.037|-7623.694 8032.381|-7613.642 8031.914
18 7750 RANCHVIEW DR NW,-7529.931 8028.701|-7534.098 8111.274|-7542.207 8110.863|-7555.579 8110.184|-7568.945 8109.517|-7582.318 8108.839|-7595.684 8108.161|-7609.056 8107.482|-7622.429 8106.815|-7635.795 8106.137|-7637.424 8106.059|-7649.168 8105.459|-7662.534 8104.780|-7675.906 8104.113|-7689.985 8103.401|-7690.544 8096.885|-7691.516 8090.425|-7699.576 8046.292|-7695.913 8040.977|-7680.450 8038.364|-7664.924 8036.162|-7649.350 8034.383|-7633.733 8033.037|-7623.694 8032.381|-7613.642 8031.914
17A 7750 RANCHVIEW DR NW,-7529.931 8028.701|-7534.098 8111.274|-7542.207 8110.863|-7555.579 8110.184|-7568.945 8109.517|-7582.318 8108.839|-7595.684 8108.161|-7609.056 8107.482|-7622.429 8106.815|-7635.795 8106.137|-7637.424 8106.059|-7649.168 8105.459|-7662.534 8104.780|-7675.906 8104.113|-7689.985 8103.401|-7690.544 8096.885|-7691.516 8090.425|-7699.576 8046.292|-7695.913 8040.977|-7680.450 8038.364|-7664.924 8036.162|-7649.350 8034.383|-7633.733 8033.037|-7623.694 8032.381|-7613.642 8031.914
16 7750 RANCHVIEW DR NW,-7529.931 8028.701|-7534.098 8111.274|-7542.207 8110.863|-7555.579 8110.184|-7568.945 8109.517|-7582.318 8108.839|-7595.684 8108.161|-7609.056 8107.482|-7622.429 8106.815|-7635.795 8106.137|-7637.424 8106.059|-7649.168 8105.459|-7662.534 8104.780|-7675.906 8104.113|-7689.985 8103.401|-7690.544 8096.885|-7691.516 8090.425|-7699.576 8046.292|-7695.913 8040.977|-7680.450 8038.364|-7664.924 8036.162|-7649.350 8034.383|-7633.733 8033.037|-7623.694 8032.381|-7613.642 8031.914
15 7750 RANCHVIEW DR NW,-7529.931 8028.701|-7534.098 8111.274|-7542.207 8110.863|-7555.579 8110.184|-7568.945 8109.517|-7582.318 8108.839|-7595.684 8108.161|-7609.056 8107.482|-7622.429 8106.815|-7635.795 8106.137|-7637.424 8106.059|-7649.168 8105.459|-7662.534 8104.780|-7675.906 8104.113|-7689.985 8103.401|-7690.544 8096.885|-7691.516 8090.425|-7699.576 8046.292|-7695.913 8040.977|-7680.450 8038.364|-7664.924 8036.162|-7649.350 8034.383|-7633.733 8033.037|-7623.694 8032.381|-7613.642 8031.914
14 7750 RANCHVIEW DR NW,-7529.931 8028.701|-7534.098 8111.274|-7542.207 8110.863|-7555.579 8110.184|-7568.945 8109.517|-7582.318 8108.839|-7595.684 8108.161|-7609.056 8107.482|-7622.429 8106.815|-7635.795 8106.137|-7637.424 8106.059|-7649.168 8105.459|-7662.534 8104.780|-7675.906 8104.113|-7689.985 8103.401|-7690.544 8096.885|-7691.516 8090.425|-7699.576 8046.292|-7695.913 8040.977|-7680.450 8038.364|-7664.924 8036.162|-7649.350 8034.383|-7633.733 8033.037|-7623.694 8032.381|-7613.642 8031.914
13 7750 RANCHVIEW DR NW,-7529.931 8028.701|-7534.098 8111.274|-7542.207 8110.863|-7555.579 8110.184|-7568.945 8109.517|-7582.318 8108.839|-7595.684 8108.161|-7609.056 8107.482|-7622.429 8106.815|-7635.795 8106.137|-7637.424 8106.059|-7649.168 8105.459|-7662.534 8104.780|-7675.906 8104.113|-7689.985 8103.401|-7690.544 8096.885|-7691.516 8090.425|-7699.576 8046.292|-7695.913 8040.977|-7680.450 8038.364|-7664.924 8036.162|-7649.350 8034.383|-7633.733 8033.037|-7623.694 8032.381|-7613.642 8031.914
