ADDRESS,POINTS
69V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
70V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
71V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
72V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
73V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
74V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
75V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
76V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
77V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
78V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
79V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
80V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
81V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
82V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
83V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
84V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
85V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
86V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
87S 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
88S 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
89S 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
90S 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
91V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
92V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
93V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
94V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
95V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
96V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
97V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
98V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
99V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
100V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
101V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
102V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
103V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
104V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
105V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
106V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
107V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
108V 2505 17 AV SW,-3260.455 -1150.529|-3298.421 -1150.529|-3298.351 -1191.038|-3293.367 -1191.027|-3260.386 -1191.016
