ADDRESS,POINTS
106 29 AV NW,595.534 3449.760|577.240 3449.794|577.247 3442.177|577.254 3434.560|577.261 3425.431|595.548 3425.398|595.541 3434.527|595.541 3442.143
2925 CENTRE ST NW,609.207 3388.436|609.200 3396.042|609.186 3405.260|577.289 3405.316|577.303 3396.098|577.317 3388.481
106 26 AV NW,609.431 3144.230|577.547 3144.252|577.554 3136.635|577.568 3127.495|609.452 3127.473|609.445 3136.613
