ADDRESS,POINTS
115 17 AV NW,556.359 2161.022|556.317 2199.084|552.514 2199.073|544.923 2199.062|544.958 2161.011|552.563 2161.011
1819 CENTRE ST NW,610.479 2287.473|610.472 2292.655|610.465 2300.272|572.479 2300.205|572.486 2292.588|572.493 2287.418
104 1777 1 ST NE,767.464 2161.278|792.546 2161.311|792.518 2199.385|767.430 2199.351
102 1777 1 ST NE,767.464 2161.278|792.546 2161.311|792.518 2199.385|767.430 2199.351
101 1777 1 ST NE,767.464 2161.278|792.546 2161.311|792.518 2199.385|767.430 2199.351
103 1777 1 ST NE,767.464 2161.278|792.546 2161.311|792.518 2199.385|767.430 2199.351
105 1777 1 ST NE,767.464 2161.278|792.546 2161.311|792.518 2199.385|767.430 2199.351
204 1777 1 ST NE,767.464 2161.278|792.546 2161.311|792.518 2199.385|767.430 2199.351
202 1777 1 ST NE,767.464 2161.278|792.546 2161.311|792.518 2199.385|767.430 2199.351
201 1777 1 ST NE,767.464 2161.278|792.546 2161.311|792.518 2199.385|767.430 2199.351
203 1777 1 ST NE,767.464 2161.278|792.546 2161.311|792.518 2199.385|767.430 2199.351
205 1777 1 ST NE,767.464 2161.278|792.546 2161.311|792.518 2199.385|767.430 2199.351
304 1777 1 ST NE,767.464 2161.278|792.546 2161.311|792.518 2199.385|767.430 2199.351
302 1777 1 ST NE,767.464 2161.278|792.546 2161.311|792.518 2199.385|767.430 2199.351
301 1777 1 ST NE,767.464 2161.278|792.546 2161.311|792.518 2199.385|767.430 2199.351
303 1777 1 ST NE,767.464 2161.278|792.546 2161.311|792.518 2199.385|767.430 2199.351
