ADDRESS,POINTS
506 10 ST NW,-1004.412 987.115|-969.473 987.360|-969.536 994.977|-969.606 1002.582|-969.676 1010.199|-969.739 1017.805|-1004.670 1017.538|-1004.607 1009.932|-1004.538 1002.327|-1004.475 994.721
506A 10 ST NW,-1004.412 987.115|-1004.475 994.721|-1004.538 1002.327|-1004.607 1009.932|-1004.670 1017.538|-1006.194 1017.527|-1006.124 1009.921|-1006.062 1002.316|-1005.992 994.710|-1005.929 987.104
