ADDRESS,POINTS
8500 84 ST SE,11429.242 -7996.556|11429.305 -7652.341|11168.924 -7652.530|11168.875 -7996.745
8920 84 ST SE,11168.826 -8389.697|11344.741 -8309.537|11389.781 -8243.331|11168.847 -8243.387
