ADDRESS,POINTS
1111 58 AV SE,2191.851 -5475.234|2197.073 -5465.426|2202.043 -5455.497|2206.769 -5445.445|2211.243 -5435.270|2212.641 -5435.882|2216.304 -5427.008|2219.771 -5418.057|2223.050 -5409.028|2226.132 -5399.944|2229.019 -5390.792|2231.711 -5381.574|2234.206 -5372.301|2236.499 -5362.982|2238.596 -5353.609|2240.491 -5344.202|2242.183 -5334.750|2243.671 -5325.265|2244.951 -5315.758|2246.034 -5306.217|2246.908 -5296.655|2247.579 -5287.081|2253.689 -5184.337|2250.648 -5184.337|2249.550 -5184.337|2242.567 -5184.337|2238.673 -5184.337|2230.893 -5184.337|2229.376 -5184.337|2223.497 -5184.337|2213.053 -5184.348|2203.078 -5184.348|2198.974 -5184.348|2059.361 -5184.225|2032.112 -5328.946|2012.371 -5352.675|2003.374 -5358.101|1979.627 -5371.934|1927.450 -5364.517|1883.501 -5490.056|1842.076 -5608.379|1807.207 -5707.976|1800.832 -5726.190|1796.204 -5739.411|1795.197 -5742.291|1792.226 -5750.775|1753.702 -5860.824|1768.347 -5861.269|1911.302 -5907.437|1924.060 -5787.703|1925.591 -5773.392|1934.636 -5773.347|1940.760 -5773.325|2016.376 -5773.047|2014.020 -5783.955|2011.944 -5794.908|2010.141 -5805.927|2008.617 -5816.980|2007.372 -5828.066|2006.401 -5839.175|2005.709 -5850.316|2005.296 -5861.469|2004.667 -5887.033|2005.855 -5878.171|2007.177 -5869.331|2008.631 -5860.502|2010.211 -5851.706|2011.930 -5842.933|2013.776 -5834.182|2015.747 -5825.464|2017.858 -5816.780|2020.361 -5807.106|2023.031 -5797.477|2024.709 -5791.706|2029.120 -5777.528|2033.873 -5763.462|2038.543 -5750.675|2043.499 -5738.010|2047.679 -5727.913|2048.295 -5726.479|2052.678 -5716.471|2058.067 -5704.840|2063.702 -5693.320|2069.588 -5681.934|2075.711 -5670.670|2081.402 -5660.696|2087.281 -5650.833|2093.355 -5641.081|2099.612 -5631.451|2104.813 -5623.757|2108.797 -5618.008|2117.885 -5605.443|2127.301 -5593.123|2136.780 -5581.314|2146.560 -5569.761|2228.733 -5475.278
1111 58 AV SE,2191.851 -5475.234|2197.073 -5465.426|2202.043 -5455.497|2206.769 -5445.445|2211.243 -5435.270|2212.641 -5435.882|2216.304 -5427.008|2219.771 -5418.057|2223.050 -5409.028|2226.132 -5399.944|2229.019 -5390.792|2231.711 -5381.574|2234.206 -5372.301|2236.499 -5362.982|2238.596 -5353.609|2240.491 -5344.202|2242.183 -5334.750|2243.671 -5325.265|2244.951 -5315.758|2246.034 -5306.217|2246.908 -5296.655|2247.579 -5287.081|2253.689 -5184.337|2250.648 -5184.337|2249.550 -5184.337|2242.567 -5184.337|2238.673 -5184.337|2230.893 -5184.337|2229.376 -5184.337|2223.497 -5184.337|2213.053 -5184.348|2203.078 -5184.348|2198.974 -5184.348|2059.361 -5184.225|2032.112 -5328.946|2012.371 -5352.675|2003.374 -5358.101|1979.627 -5371.934|1927.450 -5364.517|1883.501 -5490.056|1842.076 -5608.379|1807.207 -5707.976|1800.832 -5726.190|1796.204 -5739.411|1795.197 -5742.291|1792.226 -5750.775|1753.702 -5860.824|1768.347 -5861.269|1911.302 -5907.437|1924.060 -5787.703|1925.591 -5773.392|1934.636 -5773.347|1940.760 -5773.325|2016.376 -5773.047|2014.020 -5783.955|2011.944 -5794.908|2010.141 -5805.927|2008.617 -5816.980|2007.372 -5828.066|2006.401 -5839.175|2005.709 -5850.316|2005.296 -5861.469|2004.667 -5887.033|2005.855 -5878.171|2007.177 -5869.331|2008.631 -5860.502|2010.211 -5851.706|2011.930 -5842.933|2013.776 -5834.182|2015.747 -5825.464|2017.858 -5816.780|2020.361 -5807.106|2023.031 -5797.477|2024.709 -5791.706|2029.120 -5777.528|2033.873 -5763.462|2038.543 -5750.675|2043.499 -5738.010|2047.679 -5727.913|2048.295 -5726.479|2052.678 -5716.471|2058.067 -5704.840|2063.702 -5693.320|2069.588 -5681.934|2075.711 -5670.670|2081.402 -5660.696|2087.281 -5650.833|2093.355 -5641.081|2099.612 -5631.451|2104.813 -5623.757|2108.797 -5618.008|2117.885 -5605.443|2127.301 -5593.123|2136.780 -5581.314|2146.560 -5569.761|2228.733 -5475.278
