ADDRESS,POINTS
1101 MILLRISE PT SW,-176.026 -14104.327|-190.105 -14104.316|-190.133 -14131.336|-190.140 -14137.430|-235.641 -14137.419|-235.620 -14172.445|-235.613 -14192.549|-235.522 -14227.509|-235.592 -14233.647|-235.578 -14264.170|-231.104 -14268.662|-159.913 -14268.629|-152.930 -14268.640|-148.840 -14268.640|-148.749 -14225.707|-148.826 -14219.725|-152.986 -14219.714|-158.955 -14219.692|-176.159 -14219.647|-176.138 -14198.676|-176.131 -14192.493|-176.117 -14180.284|-176.089 -14158.079|-179.340 -14142.711|-176.068 -14142.022
1103 MILLRISE PT SW,-176.026 -14104.327|-190.105 -14104.316|-190.133 -14131.336|-190.140 -14137.430|-235.641 -14137.419|-235.620 -14172.445|-235.613 -14192.549|-235.522 -14227.509|-235.592 -14233.647|-235.578 -14264.170|-231.104 -14268.662|-159.913 -14268.629|-152.930 -14268.640|-148.840 -14268.640|-148.749 -14225.707|-148.826 -14219.725|-152.986 -14219.714|-158.955 -14219.692|-176.159 -14219.647|-176.138 -14198.676|-176.131 -14192.493|-176.117 -14180.284|-176.089 -14158.079|-179.340 -14142.711|-176.068 -14142.022
1105 MILLRISE PT SW,-176.026 -14104.327|-190.105 -14104.316|-190.133 -14131.336|-190.140 -14137.430|-235.641 -14137.419|-235.620 -14172.445|-235.613 -14192.549|-235.522 -14227.509|-235.592 -14233.647|-235.578 -14264.170|-231.104 -14268.662|-159.913 -14268.629|-152.930 -14268.640|-148.840 -14268.640|-148.749 -14225.707|-148.826 -14219.725|-152.986 -14219.714|-158.955 -14219.692|-176.159 -14219.647|-176.138 -14198.676|-176.131 -14192.493|-176.117 -14180.284|-176.089 -14158.079|-179.340 -14142.711|-176.068 -14142.022
1107 MILLRISE PT SW,-176.026 -14104.327|-190.105 -14104.316|-190.133 -14131.336|-190.140 -14137.430|-235.641 -14137.419|-235.620 -14172.445|-235.613 -14192.549|-235.522 -14227.509|-235.592 -14233.647|-235.578 -14264.170|-231.104 -14268.662|-159.913 -14268.629|-152.930 -14268.640|-148.840 -14268.640|-148.749 -14225.707|-148.826 -14219.725|-152.986 -14219.714|-158.955 -14219.692|-176.159 -14219.647|-176.138 -14198.676|-176.131 -14192.493|-176.117 -14180.284|-176.089 -14158.079|-179.340 -14142.711|-176.068 -14142.022
1113 MILLRISE PT SW,-176.026 -14104.327|-190.105 -14104.316|-190.133 -14131.336|-190.140 -14137.430|-235.641 -14137.419|-235.620 -14172.445|-235.613 -14192.549|-235.522 -14227.509|-235.592 -14233.647|-235.578 -14264.170|-231.104 -14268.662|-159.913 -14268.629|-152.930 -14268.640|-148.840 -14268.640|-148.749 -14225.707|-148.826 -14219.725|-152.986 -14219.714|-158.955 -14219.692|-176.159 -14219.647|-176.138 -14198.676|-176.131 -14192.493|-176.117 -14180.284|-176.089 -14158.079|-179.340 -14142.711|-176.068 -14142.022
1115 MILLRISE PT SW,-176.026 -14104.327|-190.105 -14104.316|-190.133 -14131.336|-190.140 -14137.430|-235.641 -14137.419|-235.620 -14172.445|-235.613 -14192.549|-235.522 -14227.509|-235.592 -14233.647|-235.578 -14264.170|-231.104 -14268.662|-159.913 -14268.629|-152.930 -14268.640|-148.840 -14268.640|-148.749 -14225.707|-148.826 -14219.725|-152.986 -14219.714|-158.955 -14219.692|-176.159 -14219.647|-176.138 -14198.676|-176.131 -14192.493|-176.117 -14180.284|-176.089 -14158.079|-179.340 -14142.711|-176.068 -14142.022
1116 MILLRISE PT SW,-176.026 -14104.327|-190.105 -14104.316|-190.133 -14131.336|-190.140 -14137.430|-235.641 -14137.419|-235.620 -14172.445|-235.613 -14192.549|-235.522 -14227.509|-235.592 -14233.647|-235.578 -14264.170|-231.104 -14268.662|-159.913 -14268.629|-152.930 -14268.640|-148.840 -14268.640|-148.749 -14225.707|-148.826 -14219.725|-152.986 -14219.714|-158.955 -14219.692|-176.159 -14219.647|-176.138 -14198.676|-176.131 -14192.493|-176.117 -14180.284|-176.089 -14158.079|-179.340 -14142.711|-176.068 -14142.022
1114 MILLRISE PT SW,-176.026 -14104.327|-190.105 -14104.316|-190.133 -14131.336|-190.140 -14137.430|-235.641 -14137.419|-235.620 -14172.445|-235.613 -14192.549|-235.522 -14227.509|-235.592 -14233.647|-235.578 -14264.170|-231.104 -14268.662|-159.913 -14268.629|-152.930 -14268.640|-148.840 -14268.640|-148.749 -14225.707|-148.826 -14219.725|-152.986 -14219.714|-158.955 -14219.692|-176.159 -14219.647|-176.138 -14198.676|-176.131 -14192.493|-176.117 -14180.284|-176.089 -14158.079|-179.340 -14142.711|-176.068 -14142.022
1112 MILLRISE PT SW,-176.026 -14104.327|-190.105 -14104.316|-190.133 -14131.336|-190.140 -14137.430|-235.641 -14137.419|-235.620 -14172.445|-235.613 -14192.549|-235.522 -14227.509|-235.592 -14233.647|-235.578 -14264.170|-231.104 -14268.662|-159.913 -14268.629|-152.930 -14268.640|-148.840 -14268.640|-148.749 -14225.707|-148.826 -14219.725|-152.986 -14219.714|-158.955 -14219.692|-176.159 -14219.647|-176.138 -14198.676|-176.131 -14192.493|-176.117 -14180.284|-176.089 -14158.079|-179.340 -14142.711|-176.068 -14142.022
1111 MILLRISE PT SW,-176.026 -14104.327|-190.105 -14104.316|-190.133 -14131.336|-190.140 -14137.430|-235.641 -14137.419|-235.620 -14172.445|-235.613 -14192.549|-235.522 -14227.509|-235.592 -14233.647|-235.578 -14264.170|-231.104 -14268.662|-159.913 -14268.629|-152.930 -14268.640|-148.840 -14268.640|-148.749 -14225.707|-148.826 -14219.725|-152.986 -14219.714|-158.955 -14219.692|-176.159 -14219.647|-176.138 -14198.676|-176.131 -14192.493|-176.117 -14180.284|-176.089 -14158.079|-179.340 -14142.711|-176.068 -14142.022
