ADDRESS,POINTS
417 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
415 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
413 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
411 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
409 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
407 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
405 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
403 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
401 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
402 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
404 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
406 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
408 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
410 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
416 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
418 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
104V 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
105V 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
106V 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
107V 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
108V 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
109V 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
110V 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
111V 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
112V 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
113V 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
114V 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
115V 1727 54 ST SE,8027.047 -1110.488|8087.808 -1110.421|8087.787 -1086.348|8087.780 -1083.301|8087.745 -1037.600|8028.781 -1037.667|8026.984 -1037.667|8026.984 -1041.269|8026.991 -1045.161
