ADDRESS,POINTS
96 WOODFIELD DR SW,-3369.752 -12176.796|-3447.884 -12176.763|-3484.493 -12191.051|-3484.710 -12196.600|-3485.199 -12202.126|-3485.961 -12207.620|-3486.982 -12213.079|-3488.275 -12218.472|-3489.827 -12223.798|-3491.637 -12229.036|-3493.707 -12234.184|-3496.021 -12239.232|-3498.579 -12244.147|-3501.375 -12248.940|-3504.402 -12253.587|-3507.653 -12258.080|-3511.120 -12262.405|-3514.790 -12266.553|-3518.663 -12270.522|-3510.078 -12290.760|-3503.843 -12305.460|-3497.992 -12319.259|-3489.799 -12338.563|-3485.821 -12347.936|-3485.821 -12357.432|-3485.814 -12373.422|-3485.814 -12397.941|-3487.185 -12400.609|-3499.991 -12425.450|-3502.766 -12430.843|-3491.875 -12431.833|-3483.004 -12432.900|-3474.168 -12434.213|-3463.759 -12436.058|-3453.400 -12438.182|-3443.096 -12440.573|-3432.862 -12443.242|-3393.876 -12453.916|-3384.543 -12456.329|-3375.155 -12458.509|-3365.711 -12460.443|-3356.218 -12462.122|-3348.410 -12463.290|-3340.559 -12464.224|-3330.968 -12465.102|-3321.356 -12465.736|-3311.724 -12466.114|-3302.091 -12466.237|-3288.543 -12466.226|-3286.467 -12466.037|-3284.454 -12465.492|-3282.566 -12464.613|-3280.861 -12463.412|-3279.393 -12461.933|-3278.197 -12460.221|-3277.316 -12458.331|-3276.785 -12456.307|-3273.255 -12436.236|-3273.206 -12195.299|-3273.353 -12193.842|-3273.772 -12192.430|-3274.464 -12191.140|-3275.394 -12189.995|-3276.527 -12189.061|-3277.820 -12188.372|-3279.225 -12187.949|-3280.679 -12187.805|-3322.943 -12187.805|-3322.915 -12176.807
96 WOODFIELD DR SW,-3369.752 -12176.796|-3447.884 -12176.763|-3484.493 -12191.051|-3484.710 -12196.600|-3485.199 -12202.126|-3485.961 -12207.620|-3486.982 -12213.079|-3488.275 -12218.472|-3489.827 -12223.798|-3491.637 -12229.036|-3493.707 -12234.184|-3496.021 -12239.232|-3498.579 -12244.147|-3501.375 -12248.940|-3504.402 -12253.587|-3507.653 -12258.080|-3511.120 -12262.405|-3514.790 -12266.553|-3518.663 -12270.522|-3510.078 -12290.760|-3503.843 -12305.460|-3497.992 -12319.259|-3489.799 -12338.563|-3485.821 -12347.936|-3485.821 -12357.432|-3485.814 -12373.422|-3485.814 -12397.941|-3487.185 -12400.609|-3499.991 -12425.450|-3502.766 -12430.843|-3491.875 -12431.833|-3483.004 -12432.900|-3474.168 -12434.213|-3463.759 -12436.058|-3453.400 -12438.182|-3443.096 -12440.573|-3432.862 -12443.242|-3393.876 -12453.916|-3384.543 -12456.329|-3375.155 -12458.509|-3365.711 -12460.443|-3356.218 -12462.122|-3348.410 -12463.290|-3340.559 -12464.224|-3330.968 -12465.102|-3321.356 -12465.736|-3311.724 -12466.114|-3302.091 -12466.237|-3288.543 -12466.226|-3286.467 -12466.037|-3284.454 -12465.492|-3282.566 -12464.613|-3280.861 -12463.412|-3279.393 -12461.933|-3278.197 -12460.221|-3277.316 -12458.331|-3276.785 -12456.307|-3273.255 -12436.236|-3273.206 -12195.299|-3273.353 -12193.842|-3273.772 -12192.430|-3274.464 -12191.140|-3275.394 -12189.995|-3276.527 -12189.061|-3277.820 -12188.372|-3279.225 -12187.949|-3280.679 -12187.805|-3322.943 -12187.805|-3322.915 -12176.807
