ADDRESS,POINTS
4 1411 33 ST NE,5961.669 1850.444|5961.655 1885.192|5952.539 1894.288|5793.638 1893.610|5787.564 1893.576|5764.775 1893.476|5764.796 1825.025|5860.810 1825.436|5961.683 1825.870|5961.676 1847.397
3 1411 33 ST NE,5961.669 1850.444|5961.655 1885.192|5952.539 1894.288|5793.638 1893.610|5787.564 1893.576|5764.775 1893.476|5764.796 1825.025|5860.810 1825.436|5961.683 1825.870|5961.676 1847.397
8A 1411 33 ST NE,5961.669 1850.444|5961.655 1885.192|5952.539 1894.288|5793.638 1893.610|5787.564 1893.576|5764.775 1893.476|5764.796 1825.025|5860.810 1825.436|5961.683 1825.870|5961.676 1847.397
8 1411 33 ST NE,5961.669 1850.444|5961.655 1885.192|5952.539 1894.288|5793.638 1893.610|5787.564 1893.576|5764.775 1893.476|5764.796 1825.025|5860.810 1825.436|5961.683 1825.870|5961.676 1847.397
6D 1411 33 ST NE,5961.669 1850.444|5961.655 1885.192|5952.539 1894.288|5793.638 1893.610|5787.564 1893.576|5764.775 1893.476|5764.796 1825.025|5860.810 1825.436|5961.683 1825.870|5961.676 1847.397
6C 1411 33 ST NE,5961.669 1850.444|5961.655 1885.192|5952.539 1894.288|5793.638 1893.610|5787.564 1893.576|5764.775 1893.476|5764.796 1825.025|5860.810 1825.436|5961.683 1825.870|5961.676 1847.397
6B 1411 33 ST NE,5961.669 1850.444|5961.655 1885.192|5952.539 1894.288|5793.638 1893.610|5787.564 1893.576|5764.775 1893.476|5764.796 1825.025|5860.810 1825.436|5961.683 1825.870|5961.676 1847.397
6A 1411 33 ST NE,5961.669 1850.444|5961.655 1885.192|5952.539 1894.288|5793.638 1893.610|5787.564 1893.576|5764.775 1893.476|5764.796 1825.025|5860.810 1825.436|5961.683 1825.870|5961.676 1847.397
6 1411 33 ST NE,5961.669 1850.444|5961.655 1885.192|5952.539 1894.288|5793.638 1893.610|5787.564 1893.576|5764.775 1893.476|5764.796 1825.025|5860.810 1825.436|5961.683 1825.870|5961.676 1847.397
1B 1411 33 ST NE,5961.669 1850.444|5961.655 1885.192|5952.539 1894.288|5793.638 1893.610|5787.564 1893.576|5764.775 1893.476|5764.796 1825.025|5860.810 1825.436|5961.683 1825.870|5961.676 1847.397
1A 1411 33 ST NE,5961.669 1850.444|5961.655 1885.192|5952.539 1894.288|5793.638 1893.610|5787.564 1893.576|5764.775 1893.476|5764.796 1825.025|5860.810 1825.436|5961.683 1825.870|5961.676 1847.397
1 1411 33 ST NE,5961.669 1850.444|5961.655 1885.192|5952.539 1894.288|5793.638 1893.610|5787.564 1893.576|5764.775 1893.476|5764.796 1825.025|5860.810 1825.436|5961.683 1825.870|5961.676 1847.397
