ADDRESS,POINTS
2102 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2104 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2105 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2106 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2108 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2110 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2112 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2114 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2116 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2118 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2117 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2115 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2113 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2111 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2109 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2103 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2101 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2202 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2204 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2205 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2206 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2208 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2210 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2212 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2214 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2216 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2218 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2217 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2215 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2213 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2211 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2209 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2207 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2203 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2201 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2302 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2304 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2305 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2306 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2308 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2310 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2312 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2314 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2316 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2318 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2317 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2315 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2313 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2311 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2309 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2307 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2303 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
2301 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
107V 2000 TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
108V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
109V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
110V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
111V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
112V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
113V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
114V TUSCARORA MR NW,-11419.803 9226.848|-11450.596 9304.451|-11473.693 9295.267|-11453.120 9243.416|-11454.581 9240.003|-11476.042 9231.474|-11466.793 9208.168
